city,name,stars,total_reviews,avg_stars
"Apollo Beach","Circles Waterfront at Lands End Marina",4,1644,4
"Apollo Beach","Latitudes Apollo",4,350,4
"Apollo Beach","The Vineyards Trattoria",4,308,4
"Apollo Beach","Massimos Pizza Subs and Salads",4,228,4
"Apollo Beach","Salty Shamrock",3.5,228,3.5
"Apollo Beach","Mi Viejo",4.5,198,4.5
"Apollo Beach","Apollo's Bistro",3.5,184,3.5
"Apollo Beach","Asian Fusion Buffet",2.5,150,2.5
"Apollo Beach","Alpha Pizza House",3.5,146,3.5
"Apollo Beach","San Remo's Pizzeria & Restaurant",3.5,142,3.5
"Apollo Beach","Zpan Hibachi And Sushi Bar",3.5,130,3.5
"Apollo Beach","Waterset Landing Café",4,106,4
"Apollo Beach","Ricky's Apollo Beach",3.5,104,3.5
"Apollo Beach","Apollo Beach Diner",4.5,104,4.5
"Apollo Beach","Beef 'O' Brady's",2.5,98,2.5
"Apollo Beach","Little Greek",3.5,92,3.5
"Apollo Beach","E Sushi & Grill",4.5,88,4.5
"Apollo Beach","Apollo Family Restaurant",3.5,86,3.5
"Apollo Beach","China Wok",3,76,3
"Apollo Beach","China Star",4,64,4
"Apollo Beach","Marco's Pizza",3.5,58,3.5
"Apollo Beach","China 1",3.5,52,3.5
"Apollo Beach","Incognito Lounge",3.5,38,3.5
"Apollo Beach","Kaz's Seafood Dive",2.5,38,2.5
"Apollo Beach","Burger King",2,38,2
"Apollo Beach","The Boulevard",2,36,2
"Apollo Beach","Westshore Pizza",3.5,36,3.5
"Apollo Beach","Faith Latin Cuisine",5,34,5
"Apollo Beach","Ricky T's",3.5,34,3.5
"Apollo Beach","Domino's Pizza",2.5,26,2.5
"Apollo Beach","Hungry Howie's Pizza & Subs",3.5,26,3.5
"Apollo Beach","Salty Shamrock Fishing Charters and Events",4,24,4
"Apollo Beach","Taco Bell",2.5,24,2.5
"Apollo Beach","Inception Bar and Grill",2.5,24,2.5
"Apollo Beach","The Mullet Shack",5,22,5
"Apollo Beach","Peck's Flame Broiled Chicken",3.5,20,3.5
"Apollo Beach","Shenaniganz Chill and Grill",3,18,3
"Apollo Beach","Papa John's Pizza",2,18,2
"Apollo Beach","Oasis on the Boulevard",1,16,1
"Apollo Beach","Wild N Smokey Bbq",2,12,2
"Apollo Beach","Yanagi Oriental Garden",4,12,4
"Apollo Beach","Tokyo  Express",4.5,10,4.5
Balm,"Goodson Farms",4.5,208,4.5
"Bayonet Point",Denny's,3,76,3
"Bayonet Point","Get Hooked",4,10,4
"Belleair Blf","Cody's Original Roadhouse",2.5,320,2.5
"Belleair Blf","Le Bouchon",3.5,30,3.5
"Belleair Bluffs","E & E Stakeout Grill",4,596,4
"Belleair Bluffs","Maggie Mae's on the Bluffs",4,492,4
"Belleair Bluffs","Marlin Darlin Key West Grill",3.5,414,3.5
"Belleair Bluffs","Seaweed Steaks Seafood & Sushi",3.5,368,3.5
"Belleair Bluffs","Bonefish Grill",3.5,320,3.5
"Belleair Bluffs","Belleair Coffee Company",4.5,188,4.5
"Belleair Bluffs","Westshore Pizza",2.5,174,2.5
"Belleair Bluffs","Chez Colette",4.5,122,4.5
"Belleair Bluffs","Astoria Pastry Shop",4.5,98,4.5
"Belleair Bluffs","Panera Bread",2.5,90,2.5
"Belleair Bluffs","Jewel Cafe & Tea Room",4.5,72,4.5
"Belleair Bluffs","Belleair Market",4.5,30,4.5
"Belleair Bluffs","Roxy's Frozen Yogurt Cafe",5,10,5
"Belleair Bluffs","Sekushi At The Plaza",4,10,4
Brandon,"The Stein & Vine",4.5,1816,4.5
Brandon,"Ford's Garage",3.5,1678,3.5
Brandon,"Portillo's Hot Dogs",3.5,1488,3.5
Brandon,"Tibby's New Orleans Kitchen",4,1300,4
Brandon,"Moreno Bakery",4,1218,4
Brandon,"Shells Seafood Restaurant - Brandon",4.5,888,4.5
Brandon,"Sushi Maru",4.5,870,4.5
Brandon,"Mellow Mushroom - Brandon",4,782,4
Brandon,"The Cheesecake Factory",3.5,762,3.5
Brandon,"Capital Tacos",4,680,4
Brandon,"Black Rock Bar & Grill",3.5,668,3.5
