name,city,address,state,postal_code,stars,review_count
Which Wich Superior Sandwiches,Oro Valley,"10565 N Oracle Rd, Ste 111",AZ,85737,4,30
Papa Murphy's,Tucson,"7245 E Tanque Verde Road, Suite 155",AZ,85715,3.5,22
Cactus Moon Cafe,Tucson,5470 E Broadway Blvd,AZ,85711,3,11
Copper Rock Craft Eatery,Tucson,445 S Alvernon Way,AZ,85711,4,27
Subway,Green Valley,18680 S Nogales Hwy,AZ,85614,3,11
Lucky Strike Bowl,Tucson,4015 E Speedway Blvd,AZ,85712,3.5,81
Lucky Chinese Restaurant,Tucson,1027 N Park Ave,AZ,85719,3,15
IQ Fresh,Tucson,1303 E University Blvd,AZ,85719,3,9
Spice Garden Indian Cuisine,Tucson,"5815 W Arizona Pavillions Dr, Ste 155",AZ,85743,4.5,105
Little Anthony's Diner,Tucson,7010 E Broadway Blvd,AZ,85710,4,343
Nick's Sari-Sari Store,Tucson,2001 S Craycroft Rd,AZ,85711,4,44
Silver Mine Subs,Tucson,"4280 N Oracle Rd, Ste 120",AZ,85705,3,43
Viro's Real Italian Bakery,Tucson,8301 E 22nd St,AZ,85710,3.5,90
Rosatis Pizza,Tucson,8814 E Tanque Verde Rd,AZ,85749,3.5,55
El Parador,Tucson,2744 E Broadway Blvd,AZ,85716,2.5,42
Americano Mexicano,Tucson,"800 E University Blvd, Ste 104",AZ,85719,3,51
El Beto,Tucson,32 N Campbell Ave,AZ,85719,3,41
Taqueria Alamos,Tucson,2000 E Drexel Rd Tucson,AZ,85706,4.5,12
Fatman Kitchen,Tucson,2610 N 1st Ave,AZ,85719,4,147
Garrett's Family Steakhouse,Tucson,"9431 E 22nd St, Ste 157",AZ,85710,3.5,163
C.I. Chu's Mongolian Barbeque,Tucson,4540 E Broadway Blvd,AZ,85711,3.5,177
Candela Restaurant,Tucson,5845 N Oracle Rd,AZ,85704,4.5,10
Fresh Cafe and Catering,Tucson,"2404 E River Rd, Ste 132",AZ,85718,4,43
