name,city,address,state,postal_code,stars,review_count
D'Angelo's Bakery,Santa Barbara,25 W Gutierrez St,CA,93190,3.5,433
Santa Barbara Public Market,Santa Barbara,38 W Victoria St,CA,93101,4,270
Tony's Restaurant,Carpinteria,699 Linden Ave,CA,93013,3,72
Giovanni's of Santa Barbara,Santa Barbara,3020 State St,CA,93105,3.5,131
Coast Restaurant & Bar,Santa Barbara,"Canary Hotel, 31 W Carrillo St",CA,93101,3.5,55
Woodstock's Pizza Isla Vista,Isla Vista,928 Embarcadero Del Norte,CA,93117,4,485
Baba Small Batch,Goleta,103 Sant Felicia Dr,CA,93117,4.5,10
Mezza Thyme,Santa Barbara,20 E Cota St,CA,93101,5,46
Kyle's Kitchen,Goleta,5723 Calle Real,CA,93117,4,443
Garrett's Old Fashioned Restaurant,Santa Barbara,2001 State St,CA,93105,4,510
Madam Lu,Santa Barbara,3524 State St,CA,93105,3.5,136
Caffè,Santa Barbara,8301 Hollister Ave,CA,93117,3,8
Taqueria Santa Barbara,Santa Barbara,"1213 State St, Ste A",CA,93101,4.5,95
The Black Sheep,Santa Barbara,26 E Ortega St,CA,93101,4.5,983
Pizza Online Company,Goleta,5756 Calle Real,CA,93117,4.5,105
El Zarape,Santa Barbara,1435 San Andres St,CA,93101,4,86
Billies,Santa Barbara,"413 State St, Cross St Gutierrez",CA,93101,4,8
Hibachi Steak House & Sushi Bar,Santa Barbara,502 State St,CA,93101,3.5,488
Norton's Pastrami & Deli,Santa Barbara,18 W Figueroa St,CA,93101,4.5,492
Ruby's Cafe Santa Barbara,Santa Barbara,734 State St,CA,93101,3.5,24
Bitterman's Deli,Santa Barbara,5 W Canon Perdido St,CA,93101,3.5,28
Rusty's Pizza Parlor,Goleta,6025 Calle Real,CA,93117,2.5,24
El Pollo Loco,Goleta,5796 Calle Real,CA,93117,2,30
Blackbird,Santa Barbara,36 State St,CA,93101,4,155
Lilsy Wood Fired Pizza,Santa Barbara,2840-B De La Vina St,CA,93105,4,46
Pollofino's,Goleta,6831 Hollister Ave,CA,93117,4,127
Belmond El Encanto,Santa Barbara,800 Alvarado Pl,CA,93103,4,331
Kaiju,Isla Vista,901 Embarcadero Del Mar,CA,93117,4,64
Taqueria El Buen Gusto,Santa Barbara,836 N Milpas St,CA,93103,4.5,88
Ana's Taco Bar,Santa Barbara,505 State St,CA,93101,3,85
Fosters Freeze,Carpinteria,5205 Carpinteria Ave,CA,93013,2.5,66
Goodland Kitchen,Goleta,231 S Magnolia Ave,CA,93117,3.5,110
Altamiranos Restaurant,Goleta,5838 Hollister Ave,CA,93117,4,126
Lure Fish House,Santa Barbara,"3815 State St, Ste G131",CA,93105,4.5,1453
Mediterra Market and Cafe,Goleta,5575 Hollister Ave,CA,93118,4,19
The Natural Cafe,Santa Barbara,361 Hitchcock Way,CA,93105,4,164
Ca’Dario - Montecito,Montecito,1187 Coast Village Rd,CA,93108,4,33
Sam's To Go,Goleta,6831 Hollister Ave,CA,93117,3,27
Holdren's Grill,Goleta,6920 Market Pl Dr,CA,93117,2.5,49
Cesar's Place,Santa Barbara,712 N Milpas St,CA,93103,4,117
Le Petit Bistro,Santa Barbara,532 State St,CA,93105,2,7
Peabody's,Santa Barbara,1198 Coast Village Rd,CA,93108,3.5,25
The Honey B,Santa Barbara,602 Anacapa St,CA,93101,4.5,215
Northstar Coffee,Santa Barbara,918 State St,CA,93101,4,23
Breakfast Culture Club,Santa Barbara,711 Chapala St,CA,93101,4,108
Olio E Limone Ristorante,Santa Barbara,"11 W Victoria St, Ste 17",CA,93101,4,488
El Paseo Mexican Restaurant,Santa Barbara,10 El Paseo,CA,93101,3.5,262
Subway,Santa Barbara,"3967 State St Space 4, Space 4",CA,93105,3.5,8
Goleta Sushi House,Goleta,5744 Hollister Ave,CA,93117,4,468
State & Fig,Santa Barbara,"1114 State St, Ste 18",CA,93101,4,519
Vons,Montecito,1040 Coast Village Rd,CA,93108,2.5,74
La Casa De Maria,Santa Barbara,800 El Bosque Rd,CA,93108,4.5,12
Oat Bakery,Santa Barbara,5 W Haley St,CA,93101,5,123
Bluewater Grill - Santa Barbara,Santa Barbara,15 East Cabrillo Blvd,CA,93101,4,768
