name,city,address,state,postal_code,stars,review_count
Del Pez Mexican Gastropub,Wilmington,400 Justison St,DE,19801,3.5,290
Tropical Smoothie Cafe,Newark,3252 Fashion Center Blvd,DE,19702,2.5,12
Porto-Fino Pizza & Restaurant,New Castle,730 Ferry Cut Off St,DE,19720,4,38
Drop Squad Kitchen,Wilmington,928 Justison St,DE,19801,4,282
Delta Restaurant,Wilmington,304 W 9th St,DE,19801,4,27
Capt'n Chucky's Crab Cake,Wilmington,1732 Marsh Rd,DE,19810,4,6
Chelsea Tavern,Wilmington,821 N Market St,DE,19801,3.5,277
Ciao's Trolley Pizza & Grill,Wilmington,1600 Delaware Ave,DE,19806,4,77
Dragon Cuisine,Wilmington,401 N Market St,DE,19801,3.5,15
Mazzella's Italian Restaurant,Wilmington,729 Philadelphia Pike,DE,19809,4,151
Basil Bar & Grill,Wilmington,422 Delaware Ave,DE,19801,2.5,11
Wawa,Newark,4651 Stanton Ogletown Rd,DE,19713,3,7
Claymont Steak Shop,Claymont,3526 Philadelphia Pike,DE,19703,3,171
Tokyo Sushi,Wilmington,3 S Orange St,DE,19801,3.5,17
PureBread Deli,Wilmington,4001 Kennett Pike,DE,19807,4,56
Luigi's Cafe,Hockessin,723 Ace Memorial Dr,DE,19707,4.5,63
Carmen's Kitchen,Wilmington,1644 W 4th St,DE,19805,4.5,12
Lucky's Coffee Shop,Wilmington,4003 Concord Pike,DE,19803,3.5,233
Chipotle Mexican Grill,New Castle,115A S Dupont Hwy,DE,19720,2,14
Days Inn by Wyndham Newark Wilmington,Newark,900 Churchmans Road,DE,19713,2,18
Chili's,Newark,425 Stanton Christiana Rd,DE,19713,2,20
Brew Haha,Wilmington,27 Trolley Sq,DE,19806,3,7
Tutto Fresco - Italian Eatery,Wilmington,514 Philadelphia Pike,DE,19809,4,71
L & G Southern Soul Food,New Castle,317 S Dupont Hwy,DE,19720,3,52
McDonald's,Wilmington,700 W 4th St,DE,19801,2,16
Lucy's Pizza & Restaurant,Wilmington,3840 N Market St,DE,19802,3.5,27
Drip Cafe,Hockessin,144 Lantana Dr,DE,19707,4,241
Brew Haha,Wilmington,"5329 Limestone Rd, Ste B",DE,19808,4,26
Dunkin',Wilmington,701 Philadelphia Pike,DE,19809,3,9
Kegler's,New Castle,3031 New Castle Ave,DE,19720,4,8
Hunter's Den Restaurant,Wilmington,3517 Old Capitol Trl,DE,19808,2.5,31
Salvatore's Bistro & Brick Oven Pizza,Newark,4621 Ogletown Stanton Rd,DE,19713,3,6
Nal Restaurant,Hockessin,"1304 Old Lancaster Pike, Ste B",DE,19707,4,31
Capital One 360 Café,Wilmington,802 Delaware Ave,DE,19801,4,5
Cantina di Napoli,Trolley Square,7 Trolley Sq,DE,19806,4,33
Boston Market,Newark,300 University Plz,DE,19702,3.5,12
ShopRite of Christina Crossing,Wilmington,501 S Walnut St,DE,19801,2.5,31
Pike Creek Pizza Company,Wilmington,5337 Limestone Rd,DE,19808,2,12
Pho Bami,Wilmington,2113 Concord Pike,DE,19803,4.5,90
Taco Grande,Wilmington,600 Justison St,DE,19801,3.5,33
No. 1 China Restaurant,Wilmington,1531 Maryland Ave,DE,19805,3,12
Mrs. Robino's Restaurant,Wilmington,520 N Union St,DE,19805,3.5,188
Famous Dave's Bar-B-Que,Wilmington,303 Rocky Run Pkwy,DE,19803,3.5,51
The Back Burner,Hockessin,425 Hockessin Corner,DE,19707,3.5,91
Capriotti's Sandwich Shop,Wilmington,708 W Basin Rd,DE,19720,3.5,44
Nick's Pizzeria & Italian Restaurant,Wilmington,"722 Philadelphia Pike, Ste A",DE,19809,4,18
Sweeneys Bakery And Ice Cream,Wilmington,2068 Naamans Road,DE,19810,3.5,22
Friendly's,Wilmington,5331 Brandywine Pkwy,DE,19803,3,35
DH4 Jamaican Cuisine Restaurant,Wilmington,10 E 4th St,DE,19801,4,16
