name,city,address,state,postal_code,stars,review_count
Yuki Japanese Steak House,Clearwater,13505 Icot Blvd,FL,33760,3,10
Rowdies Den,St. Petersburg,200 1st Ave S,FL,33701,3,56
Blessed Cup,Clearwater Beach,"483 Mandalay Ave, Unit 200",FL,33767,4.5,33
Carlo's Sandwich Shop,Tampa,5713 E Columbus Dr,FL,33619,5,15
Papa John's Pizza,St. Petersburg,5170 66Th Street North,FL,33709,3.5,9
Pinellas Grill,Pinellas Park,9721 66th Steet N,FL,33782,4.5,29
Taps & Tequila,Saint Petersburg,1235 Central Ave,FL,33705,3.5,17
Outpost 611 Eatery & Taphouse,Clearwater,"2454 McMullen Booth Rd, Ste 103",FL,33759,4.5,99
Breakfast Club,Port Richey,10150 US Highway 19,FL,34668,4.5,80
Gator's Dockside - Tampa,Tampa,5840 E Fowler Ave,FL,33617,3.5,158
IHOP,NEW PORT RICHEY,4736 US Hwy 19,FL,34652,2.5,29
Cuenelli's Peruvian Restaurant,Tampa,4801 W Hillsborough Ave,FL,33614,4,249
Domino's Pizza,Tampa,11406 N Dale Mabry Hwy,FL,33618,2.5,11
City Market Eats,Tampa,206 N Morgan St,FL,33602,4.5,8
Angelos Pizza,Holiday,2621 US Hwy 19,FL,34691,4,115
Sweet Brewnette,Madeira Beach,"13999 Gulf Blvd, Ste C2",FL,33708,4.5,539
Geoffrey's Floral Design and Bakery Cafe,Tampa,1112 Channelside Dr,FL,33602,2.5,11
Eve's Family Restaurant,Oldsmar,"3150 Tampa Rd, Ste 12",FL,34677,3.5,91
Sbarro,Tampa,2223 W Shore Blvd N,FL,33602,2.5,5
Xilo Mexican,Tampa,1701 N Franklin St,FL,33602,4,12
Rice N Roll,Lutz,19243 N Dale Mabry Hwy,FL,33548,3.5,80
Dolce Speakeasy & Supperclub,Clearwater,1343 Cleveland St,FL,33755,4,61
Westshore Pizza,Belleair Bluffs,2989 W Bay Dr,FL,33770,2.5,87
California Pizza Kitchen,Brandon,827 Brandon Town Center Mall,FL,33511,3.5,45
Livingston Deli,Lutz,18440 Livingston Ave,FL,33559,5,9
Fresh Factory,St Pete Beach,7350 Gulf Blvd,FL,33706,4,43
Mr Empanada,Tampa,10023 N Dale Mabry Hwy,FL,33618,4,56
Calypso Queen Tropical Cruise,Clearwater,25 Causeway Blvd,FL,33767,3.5,111
Super Sardo's Pizza,Largo,10839 Ulmerton Rd,FL,33778,4,173
Taco Baby,Dunedin,235 Main St,FL,34698,4,64
Bay Breeze Cafe,Tampa,5426 Bay Center Dr,FL,33609,3,5
Chipotle Mexican Grill,Tampa,533 S Howard Ave,FL,33606,2.5,138
Marco's Pizza,Tampa,6102 Gunn Hwy,FL,33625,3,38
Genaro Coffee Company,St. Petersburg,1047 Central Ave,FL,33705,4,101
Olive Garden Italian Restaurant,Tampa,2801 E Busch Blvd,FL,33612,3,112
Banyan Cafe And Catering,Saint Petersburg,701 Central Ave,FL,33701,4,101
Marco's Pizza,Palm Harbor,2657 E Lake Rd,FL,34685,2.5,21
Los Mexicanos,Tarpon Springs,38954 US Hwy 19 N,FL,34689,3,75
Yard of Ale Soho,Tampa,406 S Howard Ave,FL,33606,3,102
TGI Fridays,Tampa,18001 Highwoods Preserve Pkwy,FL,33647,2.5,125
Johnson's Barbeque,Plant City,1401 W Dr Mrtn Lthr Kng Jr,FL,33563,4.5,238
The Hotel Zamora,St. Pete Beach,3701 Gulf Blvd,FL,33706,3.5,227
Wendy's,Largo,8770 Ulmerton Road,FL,33771,2.5,12
Bayou Bodega,Tampa,241 E Davis Blvd,FL,33606,4.5,14
DeNunzio's Pizza,St Petersburg,2701 4th St N,FL,33704,3.5,32
Pascal's Artisan Bistro & Gourmet Coffee,Tampa,241 E Davis Blvd,FL,33606,4.5,62
Tequila's Mexican Grill & Cantina,Clearwater,422 Cleveland St,FL,33755,3.5,228
Strokers Sports Bar & Grill,Palm Harbor,30901 US Hwy 19 N,FL,34684,4,28
Pho Loc Tho,Riverview,11262 Boyette Rd,FL,33569,4.5,190
Crabby's Bar & Grill,Clearwater Beach,333 S Gulfview Blvd,FL,33767,3.5,662
Hogan's Hangout,Clearwater,499 Mandalay Ave,FL,33767,3,48
Moxie's Joint Cafe & Grille,Temple Terrace,13020 Telecom Pkwy N,FL,33637,4.5,5
Perry's B B Q,Tampa,12310 University Mall Ct,FL,33612,4.5,9
Anchor's Bar and Grille,New Port Richey,5015 US 19 N,FL,34652,2.5,9
Fresh Kitchen,Tampa,1350 S Howard Ave,FL,33606,4.5,663
Earl of Sandwich,St. Petersburg,5004 4th St N,FL,33703,3,77
Spanish Tapas Cafe,Tampa,"1202 Tech Blvd, Ste 100",FL,33619,4,36
