name,city,address,state,postal_code,stars,review_count
Smoky Mountain Pizzeria Grill,Boise,1805 W State St,ID,83702,3,71
Papa John's Pizza,Eagle,613 E State Street,ID,83616,3.5,9
Kindness,Boise,1109 W Main St,ID,83702,3.5,88
Good Burger,Boise,7610 W State St,ID,83714,2.5,10
Dry Creek Mercantile,Boise,5892 W Hidden Springs Dr,ID,83714,3.5,31
Confucius Restaurant,Boise,8775 W Fairview Ave,ID,83704,2.5,41
Pineapple Express,Meridian,499 S Main St,ID,83642,3.5,36
Yokozuna Teriyaki,Boise,824 S Vista Ave,ID,83705,3.5,96
River City Coffee & Cafe,Boise,5517 W State St,ID,83703,3.5,41
Garbonzo's Pizza,Meridian,710 W Ustick Rd,ID,83646,3.5,26
Cazba,Boise,211 N 8th St,ID,83702,4,49
Happy Teriyaki - Broadway BSU,Boise,1011 Broadway Ave,ID,83706,3.5,14
Mount Everest Momo Cafe,Boise,2144 S Broadway Ave,ID,83706,4.5,269
Tacos El Rey #2,Garden City,4116 W Chinden Blvd,ID,83714,4,38
Koco Bell,Boise,"13601 W McMillan Rd, Ste 104",ID,83713,5,55
Sonic Drive-In,Boise,851 N Orchard,ID,83706,1.5,20
Shari's Cafe & Pies,Meridian,895 S Progress Ave,ID,83642,3,42
Frog's Fix Coffee Parlor,Boise,701 S Latah,ID,83705,4.5,54
Jimmy John's,Boise,7300 W State St,ID,83714,2.5,26
O'michael's Pub & Grill,Boise,2433 N Bogus Basin Rd,ID,83702,3.5,23
Sunshine Spice Bakery & Cafe,Boise,6911 W Fairview Ave,ID,83704,5,41
Bittercreek Alehouse,Boise,246 N 8th St,ID,83702,4.5,998
Taqueria El Torito,Boise,4628 W State St,ID,83703,4,74
Das Alpenhaus Delikatessen,Boise,1340 S Vista Ave,ID,83705,4.5,71
Burger King,Boise,8515 W Fairview Ave,ID,83704,3,12
Doug's Burger Den,Eagle,231 E State St,ID,83616,2.5,30
Taco John's,Meridian,1410 W Mcmillan Rd,ID,83646,3,22
