name,city,address,state,postal_code,stars,review_count
Fairview Lounge,Fairview Heights,10616 Lincoln Trl,IL,62208,4.5,140
Johnsons Corner,Alton,2000 State St,IL,62002,3.5,30
Applebee's Grill + Bar,Wood River,1921 Vaughn Rd,IL,62095,3,17
Taco Bell,Troy,908 Edwardsville Road,IL,62294,2,10
Morrison's Irish Pub,Alton,200 State St,IL,62002,4.5,48
The Perfect 10 Pub & Grill,Alton,180 E Center Dr,IL,62002,3.5,33
Gauchos Argentinian Steakhouse,Fairview Heights,"823 Lincoln Hwy, Ste 105",IL,62208,4.5,118
My Bowl Korean BBQ,O'Fallon,747 Seibert Rd,IL,62269,4.5,76
Cured And Cultured,Belleville,6401 W Main St,IL,62223,4.5,19
New China Restaurant,Swansea,4543 N Illinois St,IL,62226,3,18
Bandana's Bar-B Q - Collinsville,Collinsville,4 Commerce Dr,IL,62234,4,112
Fazoli's,Alton,210 E. Homer Adams Pkwy.,IL,62002,4.5,14
IHOP,Wood River,1201 Edwardsville Rd,IL,62095,2.5,10
Outback Steakhouse,Swansea,4390 N Illinois St,IL,62226,3,80
Franks Restaurant,Alton,2611 College Ave,IL,62002,3.5,8
Shooters,O'Fallon,113 E 1st St,IL,62269,3.5,80
Pizza Hut,Edwardsville,2386 Troy Rd,IL,62025,2,17
Sacred Grounds,Edwardsville,233 N Main St,IL,62025,4,78
Hop House Southern Eatery,O'Fallon,1214 Central Park Dr,IL,62269,4,407
Nick and Vito's,Belleville,8201 W Main St,IL,62223,5,10
1818 Chophouse,O'Fallon,"1405 N Green Mount Rd, Ste 100",IL,62269,4,145
Golden Dragon Chinese Restaurant,Belleville,128 W Main St,IL,62220,3.5,16
Dairy Queen Grill & Chill,Lebanon,412 S Madison St,IL,62254,4.5,11
Oriental Spoon,Edwardsville,229 Harvard Dr,IL,62025,4.5,128
Riviera Maya Restaurant,Alton,2704 Corner Ct,IL,62002,4,44
China King,Alton,1837 Homer Adams Pkwy,IL,62002,3.5,19
Sonic Drive-In,Belleville,6208 W Main St,IL,62223,1.5,9
Red Lobster,Fairview Heights,110 Ludwig Dr,IL,62208,3,79
4 Hermanos Mexican Cuisine,Edwardsville,"4 Club Centre Ct, Ste A",IL,62025,4,12
Sherry J's Homestyle Cooking,East Saint Louis,4815 Bunkum Rd,IL,62204,4,7
The Red Bar,Collinsville,416 Belt Line Rd,IL,62234,3,33
Los Alamos Mexican Restaurant,Wood River,57 W Edwardsville Rd,IL,62095,4,11
The Diner,East St Louis,401 Monsanto Ave,IL,62201,4,14
Marco's Pizza,Collinsville,108 St Louis Rd,IL,62234,3,7
Lam's Garden,Granite City,3144 Nameoki Rd,IL,62040,3,12
Mr. Pancho’s,East Alton,119 East Gate Plz,IL,62024,4.5,27
Pizza Hut,Waterloo,903 N Illinois Rte 3,IL,62298,2.5,7
Waffle House,Collinsville,505 Bluff Rd,IL,62234,3.5,53
