name,city,address,state,postal_code,stars,review_count
The Libertine Liquor Bar,Indianapolis,38 E Washington St,IN,46204,4,208
India Palace,Indianapolis,4213 Lafayette Rd,IN,46254,3.5,167
R&R Extreme Wings,Indianapolis,8320 N Michigan Rd,IN,46268,4,29
White Castle,Indianapolis,8740 N Michigan Rd,IN,46268,2.5,26
Three Carrots Fountain Square,Indianapolis,920 Virginia Ave,IN,46203,4.5,246
Khoury's Mediterranean Island,Indianapolis,1850 E Broadripple Ave,IN,46220,3,21
Conner's Kitchen + Bar,Indianapolis,350 West Maryland St,IN,46225,4,365
Papa Murphy's,Greenwood,2150 Independence Dr,IN,46143,2,6
HotBox Pizza,Indianapolis,1264 West 86th St,IN,46260,3.5,11
Petite Chou Bistro and Champagne Bar,Indianapolis,823 Westfield Blvd,IN,46220,4,400
Stacked Pickle - Fishers 37,Fishers,"13204 Market Square Dr, Ste 102",IN,46036,2.5,23
The Missing Brick,Indianapolis,"6404 Rucker Rd, Ste 105",IN,46220,4.5,167
Pita Pit,Indianapolis,"1 N Pennsylvania St, Ste 120",IN,46204,4,62
Cooper's Hawk Winery & Restaurant - Indianapolis,Indianapolis,3815 E 96th St,IN,46240,4,669
Jet's Pizza,Indianapolis,1490 E 86th St,IN,46240,3.5,25
Arby's,Indianapolis,2130 E County Line Rd,IN,46227,2.5,7
Pizza King,Greenwood,"520 N State Rd 135, Ste S",IN,46142,3,15
El Mr Camaron,Indianapolis,420 S Sherman Dr,IN,46201,5,23
Yokohama,Greenwood,67 N Madison Ave,IN,46142,4.5,128
Krenolies Donuts,Noblesville,"14300 Mundy Dr, Ste 400",IN,46060,3,47
Capriotti's Sandwich Shop,Indianapolis,"5320 E 82nd St, Ste 105",IN,46250,4,149
Naisa Pan-Asian Cafe,Indianapolis,1025 Virginia Ave,IN,46203,4.5,230
Kroger,Greenwood,2200 Independence Dr,IN,46143,4.5,11
Domino's Pizza,Indianapolis,1350 W. Southport,IN,46217,2,5
Country Heritage Winery - Plainfield,Plainfield,6291 Cambridge Way,IN,46168,3.5,60
O'Charley's Restaurant & Bar,Indianapolis,6930 S Emerson Ave,IN,46237,3,65
Sunny's Chicken,Greenwood,1030 US Hwy 31 S,IN,46143,4.5,49
Culver's,Brownsburg,1225 N Green St,IN,46112,2.5,18
Tienda y Taqueria Don Miguel,Indianapolis,"3940 S Keystone Ave, Ste 9",IN,46227,4,6
Cracker Barrel Old Country Store,Indianapolis,9340 Michigan Rd,IN,46268,3,76
Oca SKS Carmel,Carmel,351 Monon Blvd,IN,46202,4,10
China Garden,Carmel,13624 N Meridian,IN,46032,3.5,45
Rolyno's Original,Indianapolis,5516 Arabian Run,IN,46228,4,7
Auntie Anne's,Indianapolis,"6020 E 82nd St, Spc 138A",IN,46250,3,7
A Stone's Throw,Brownsburg,36 E Main St,IN,46112,2.5,15
Arby's,Plainfield,6007 Gateway Dr,IN,46168,3.5,5
Black Leaf Vegan,Indianapolis,2432 Dr Martin Luther King Jr St,IN,46208,4.5,7
101 Beer Kitchen,Fishers,"9708 District North Dr, Ste 910",IN,46037,4.5,214
Pizza Hut,Indianapolis,5914 E 10th St,IN,46219,1.5,20
McDonald's,Indianapolis,5199 N Keystone Ave,IN,46205,1.5,45
Subway,Indianapolis,"111 W Washington St, Ste 171",IN,46204,3.5,11
Dad’s Kitchen,Indianapolis,6336 Guilford Ave,IN,46220,4.5,35
Mandarin House,Carmel,1370  S Range Line Rd,IN,46032,3,115
Century Cafe,Indianapolis,10202 E Washington St,IN,46229,4.5,9
La Peep,Carmel,12213 N Meridian St,IN,46032,4,5
The Vanguard,Indianapolis,6319 Guilford Ave,IN,46220,4,108
Foon Ying Chinese Restaurant,Indianapolis,3770 N Shadeland Ave,IN,46226,4,76
Dragon House,Indianapolis,2436 Lake Circle Dr,IN,46268,3.5,45
Taco Express,Indianapolis,8626 Pendleton Pike,IN,46226,4,25
Los Patios,Indianapolis,5051 Kentucky Ave,IN,46221,4,87
Papa John's Pizza,Indianapolis,"5035 West 71St Street, Suite K, Ste K",IN,46268,2,12
Papa's Pizzeria and Italian Cuisine,Brownsburg,1430 N Green St,IN,46112,4.5,54
Augustino's Italian Restaraunt,Indianapolis,8028 S Emerson Ave,IN,46237,3.5,28
El Rodeo,Avon,8128 E US Hwy 36,IN,46123,3.5,45
Milano Inn,Indianapolis,231 S College Ave,IN,46202,3.5,118
Uptown Cafe,Carmel,2271 Point Pkwy,IN,46032,4,11
Illinois Street Food Emporium,Indianapolis,5550 N Illinois St,IN,46208,4,142
Mousetrap Bar & Grill,Indianapolis,5565 N Keystone Ave,IN,46220,4,90
Courses Bakery,Indianapolis,2820 N Meridian,IN,46208,4,19
Bar Louie - Greenwood Park Mall,Greenwood,1251 US 31 N,IN,46142,3.5,156
Buffalo Wings & Rings,Indianapolis,111 W Maryland St,IN,46225,2,13
Eagle Creek Pizza,Indianapolis,5510 Lafayetter Rd,IN,46254,3,5
The Iron Skillet,Indianapolis,2489 W 30th St,IN,46222,4.5,102
Miracle Sushi and Modern Asian Cuisine,Carmel,"12505 Old Meridian St, Ste 140",IN,46032,4,206
Hotcakes Emporium East,Indianapolis,11915 Pendleton Pike,IN,46236,4,71
Lucky Louie's Sausage & Hot Dogs,Indianapolis,6541 Sunset Ln,IN,46260,4,6
White Castle,Indianapolis,5501 W 38th St,IN,46254,2.5,12
Red Lobster,Indianapolis,6410 E 82nd St,IN,46250,3,102
Twin Peaks,Indianapolis,6880 E 82nd St,IN,46250,3.5,257
King Ribs Bar-B-Q,Indianapolis,5610 Georgetown Rd,IN,46254,3,20
McDonald's,Indianapolis,3745 N Post Rd,IN,46226,1,12
Joe's Crab Shack,Indianapolis,8250 Dean Rd,IN,46240,3,62
Hardee's,Indianapolis,8601 Allisonville Rd,IN,46250,1.5,15
MCL Restaurant & Bakery,Indianapolis,5520 Castleton Corner Ln,IN,46250,4,41
China Buffet,Avon,120 N State Road 267,IN,46123,2.5,30
Tegry Bistro,Indianapolis,"6010 W 86th St, Ste 140",IN,46278,4,124
Le Peep Restaurant,Indianapolis,301 N Illinois St,IN,46204,3.5,171
El Chivo Jaliciense Taqueria y Birrieria,Indianapolis,4002 E Washington St,IN,46201,5,5
Morton's The Steakhouse,Indianapolis,41 E Washington St,IN,46204,4,149
Krab Kingz,Indianapolis,10537 E Washington St,IN,46229,3.5,34
Small Batch Soups by Soupremacy,Indianapolis,7 E Market St,IN,46204,4,305
Papa John's Pizza,Indianapolis,"10537 E. Washington St, Ste G",IN,46229,3.5,9
Double Eagle Cafe,Indianapolis,650 N Meridian St,IN,46204,4,8
Yummy Bowl,Indianapolis,"8810 S Emerson Ave, Ste 150",IN,46237,4.5,49
Hong Kong China Restaurant,Indianapolis,1524 N Illinois St,IN,46202,3.5,92
Emmy's Original Pancake House & Grill,Avon,"7508 Beechwood Centre Rd, Ste 300",IN,46123,4,117
Chipotle Mexican Grill,Indianapolis,601 Oscar Robertson Blvd,IN,46202,2.5,33
Foundry Provisions,Indianapolis,236 E 16th St,IN,46202,4,280
Tavern on South,Indianapolis,423 W South St,IN,46225,3.5,260
Taste Budds Soul Food,Indianapolis,2853 E 25th St,IN,46218,4.5,10
Nature's Pharm,Indianapolis,8215 US 31 S,IN,46227,4,8
Ukiyo,Indianapolis,4907 N College Ave,IN,46205,4,205
Puccini's Pizza Pasta - Fishers,Fishers,8993 E 116th St,IN,46038,3.5,141
Tequila Sunrise,Fishers,11653 Fishers Station Dr,IN,46038,3.5,136
Subway,Carmel,"4000 W 106th St, Ste 130",IN,46032,4,9
Room Four,Indianapolis,4907 N College Ave,IN,46205,4.5,33
India Garden Restaurant,Indianapolis,830 Broad Ripple Ave,IN,46220,4,117
Jet's Pizza,Indianapolis,7538 N Shadeland Ave,IN,46250,3.5,41
Red Eye Cafe,Indianapolis,1904 Broadripple Ave,IN,46220,2.5,15
Kuma's Corner,Indianapolis,1127 Prospect St,IN,46203,4,628
Revolucion,Indianapolis,1132 Prospect St,IN,46203,3.5,456
Boondogglers,Zionsville,65 Boone Village,IN,46077,3.5,10
Glass Chimney,Carmel,12901 Old Meridian St,IN,46032,3.5,5
Five Guys,Fishers,11680 Commercial Dr,IN,46038,4,47
