name,city,address,state,postal_code,stars,review_count
Mr John's Steakhouse,New Orleans,2111 St Charles Ave,LA,70130,4,294
Gulf Seafood,Kenner,2121 25th St,LA,70062,4.5,40
Johnny's Jamaican Grill,New Orleans,,LA,70113,4.5,13
French Quarter Phantoms,New Orleans,718 N Rampart St,LA,70116,4.5,1481
The Grill Room,New Orleans,300 Gravier St,LA,70130,4,96
Manning's Sports Bar and Grill,New Orleans,519 Fulton St,LA,70130,3,774
Seven Woks,Kenner,1000 W Esplanade Ave,LA,70065,4,13
701 Bar & Restaurant,New Orleans,701 Tchoupitoulas St,LA,70130,3.5,70
Envie Espresso Bar & Cafe,New Orleans,308 Decatur St,LA,70130,4.5,248
Two Sisters Kitchen,New Orleans,223 N Derbigny St,LA,70112,3.5,34
Crescent City Steak House,New Orleans,1001 N Broad St,LA,70119,3.5,226
Porter & Luke's,Metairie,1517 Metairie Rd,LA,70005,3.5,100
Armond's Eatery,Chalmette,808 E Judge Perez Dr,LA,70043,3.5,9
McDonald's,Metairie,301 Veterans Hwy,LA,70005,1.5,53
Hot Tin,New Orleans,"2031 St Charles Ave, Fl 14",LA,70130,4,226
Gambino's Bakery,New Orleans,5242 Elysian Fields Ave,LA,70122,3,14
Chap's Chicken,Metairie,"3343 Metairie Rd, Ste 1",LA,70001,4.5,35
Lovage,New Orleans,610 Carondelet St,LA,70130,4,10
Salú Bistro and Bar,New Orleans,3226 Magazine St,LA,70115,3.5,286
Bozo's Restaurant,Metairie,3117 21st St,LA,70002,3.5,18
Smoothies N Things Café,New Orleans,"401 S Claiborne Ave, Ste D",LA,70112,4.5,10
Pyramids Cafe,New Orleans,3149 Calhoun St,LA,70125,4,142
Gita Pita,New Orleans,2733 Baronne St,LA,70113,4.5,16
French Press Coffee House,Metairie,2120 David Dr,LA,70003,3,54
Fred's Bbq & Soul Food,New Orleans,3336 S Claiborne Ave,LA,70125,4.5,32
Prytania Hall Coffee,New Orleans,"3445 Prytania St, Ste B",LA,70115,5,6
Gyu-Kaku Japanese BBQ,New Orleans,"400 Lafayette St, Ste 101",LA,70130,4.5,319
Big O's Original Pops,New Orleans,3300 Royal St,LA,70117,5,8
Desi Vega's Seafood and Prime Steaks,Metairie,"111 Veterans Blvd, Ste 150",LA,70005,4,54
Carre Restaurant and Bar,New Orleans,239 Decatur St,LA,70130,4.5,11
Two Sisters on Da Westbank,Gretna,1601 Franklin Ave,LA,70053,4,13
Primitivo,New Orleans,1800 Oretha Castle Haley Blvd,LA,70113,4,105
Honeydeux,New Orleans,1912 Magazine St,LA,70130,3.5,88
Wingstop,Metairie,4704 Veterans Memorial Blvd,LA,70006,2.5,87
Turmeric Indian Cuisine,Gretna,1025 Westbank Expy,LA,70053,4.5,120
Cafe Du Monde,Metairie,"3301 Veterans Memorial Blvd, Ste 104",LA,70002,4,127
LSUHSC Cafeteria,New Orleans,"1901 Perdido St, Fl 3",LA,70112,4,10
The Little Kitchen,Westwego,1360 4th St,LA,70094,5,5
Wolfe's,New Orleans,1041 Dumaine St,LA,70116,4,5
Yummy Sushi & Hibachi,New Orleans,6100 Hamburg St,LA,70122,4,104
Wood Pizza Bistro and Taphouse,New Orleans,404 Andrew Higgins Dr,LA,70130,3.5,266
Johnny's Po-Boys,New Orleans,511 St Louis St,LA,70130,3.5,1451
Wendy's,New Orleans,1301 St. Charles Ave.,LA,70130,2,53
Broussard's,New Orleans,819 Conti St,LA,70112,4,653
Pho My A Restaurant,New Orleans,4021 Behrman Pl,LA,70114,3.5,5
Big Al's Seafood & Spirits,New Orleans,"1440 Westbank Expy, Ste B",LA,70058,3.5,27
The Store,New Orleans,814 Gravier St,LA,70112,4,141
Sweet Things & Grill,Arabi,6617 W Judge Perez Dr,LA,70032,3,5
Tanjariné Kitchen,New Orleans,,LA,70130,5,9
Tastee Donuts,Metairie,5000 W Esplanade Ave,LA,70006,3,30
Dirty Dishes,New Orleans,2381 St Claude Ave,LA,70117,4.5,16
Wow Cafe,New Orleans,5359 Mounes St,LA,70123,2.5,15
The Market Cafe,New Orleans,1000 Decatur St,LA,70116,3.5,615
The Bombay Club,New Orleans,830 Conti St,LA,70112,4,510
The Tequila House,New Orleans,419 Bourbon St,LA,70112,3.5,146
El Patron Mexican Grill and Cantina,Gretna,101 Lapalco Blvd,LA,70056,4,198
Stuph'D Beignets & Burgers,New Orleans,3325 St. Claude Ave,LA,70117,4.5,89
Cochon,New Orleans,930 Tchoupitoulas St,LA,70130,4,4421
Ice House Express,Kenner,2151 Williams Blvd,LA,70062,3.5,10
Popeyes Louisiana Kitchen,New Orleans,3825 General Degaulle Dr,LA,70114,2.5,18
Wendy's,Harvey,2500 Manhattan Blvd,LA,70058,1,16
Revelator Paloma Cafe,New Orleans,800 Louisa St.,LA,70118,4,71
Louise,New Orleans,2440 Chartres St,LA,70117,4,52
Charlie's Steak House,New Orleans,4510 Dryades St,LA,70115,3.5,156
Street Car Cafe,New Orleans,110 Carondelet St,LA,70130,3.5,49
Burger King,Harvey,1840 Lapalco Blvd,LA,70058,1,6
CreAsian,New Orleans,930 Canal St,LA,70112,3,54
The Munch Factory,New Orleans,6514 Congress Dr,LA,70126,4.5,21
Tomasito's,New Orleans,755 Tchoupitoulas St,LA,70130,3.5,7
Siam Cafe,New Orleans,435 Esplanade Ave,LA,70116,4,9
Shake Shack,New Orleans,333 Canal St,LA,70130,3.5,63
Taj Mahal Indian Cuisine,Metairie,"923 Metairie Rd, Ste C",LA,70005,3.5,208
Merchant,New Orleans,800 Common St,LA,70112,4,649
Ding Tea Nola,Harvey,1440 Lapalco Blvd,LA,70058,4,31
Acme Oyster House,Metairie,3000 Veterans Blvd,LA,70002,4,775
Waffle House,Bridge City,940 Wayne Ave,LA,70094,3,11
P.F. Chang's,Metairie,"3301 Veterans Memorial Blvd, Unit  63",LA,70002,3,262
Las Delicias Restaurant,Harvey,2012 Manhattan Blvd,LA,70058,4,12
The Wandering Buddha,New Orleans,2239 St Claude Ave,LA,70117,4.5,45
Dino's Bar & Grill,New Orleans,1128 Tchoupitoulas St,LA,70130,4,74
