name,city,address,state,postal_code,stars,review_count
Morgan Street Brewery,Saint Louis,721 N 2nd St,MO,63102,3,288
Via Vino Enoteca,Frontenac,10427 Clayton Rd,MO,63131,3.5,13
Pietro's,St. Louis,3801 Watson Rd,MO,63109,4,109
Real McCoy’s Grill,Florissant,3827 Vaile Ave,MO,63034,5,16
Simply CookingWithDonna,St. Louis,800 N Tucker Blvd,MO,63101,4.5,13
Napoli 2,Town And Country,1054 Town And Country Crossing Dr,MO,63017,4,122
Chick-fil-A,St. Louis,4125 Lemay Ferry Rd,MO,63129,3.5,27
Llywelyn's Pub,Saint Louis,4747 McPherson Ave,MO,63108,3.5,151
Hardee's,Saint Charles,2023 Zumbehl Rd,MO,63303,2,15
Tengo Hambre,Saint Louis,"Ball Park Saint Louis Village, 601 Clark Ave, Ste 103",MO,63101,3,9
First Watch,Creve Coeur,742 N New Ballas Rd,MO,63141,4,213
QuikTrip,St Charles,1500 Zumbehl rd,MO,63303,3.5,7
Midtown Sushi and Ramen,Saint Louis,3674 Forest Park Ave,MO,63108,4,288
La Dolce Via Bakery & Cafe,Saint Louis,4470 Arco Ave,MO,63110,4,39
Korean Cafe,Chesterfield,13365 Olive Blvd,MO,63017,4,13
Jersey Mike's Subs,Des Peres,12113 Manchester Rd,MO,63131,4,30
Starbucks,Creve Coeur,11464 Olive St,MO,63141,3,68
Nobu's Japanese Restaurant,Saint Louis,8643 Olive Blvd,MO,63132,4,145
Game 6 Honky Tonk Joint,St. Louis,756 S 4th St,MO,63102,5,25
Subway,Des Peres,1183-85 Colonnade Ctr,MO,63131,3,6
Bakers Dozen Donuts,Saint Louis,9601 Page Ave,MO,63132,4.5,30
Kyoto Sushi & Grill,Fenton,657 Gravois Rd,MO,63026,3.5,35
Imo's Pizza,Maplewood,2600 S Big Bend Blvd,MO,63143,2.5,43
Taste-D-Burger,Saint Louis,,MO,63114,3.5,12
Reavis Pizza,St Louis,9163 Reavis Barracks Rd,MO,63123,3.5,31
Red Guitar Bread,St. Louis,3215 Cherokee St,MO,63118,4.5,16
McLain Bbq & Pizza,Saint Louis,1200 Telegraph Rd,MO,63125,4.5,7
White Castle,University City,7380 Olive Blvd,MO,63130,3,14
King Edwards Chicken,Saint Charles,1201 S Duchesne Dr,MO,63301,3.5,50
The Fryer's Daughter Chicken Restaurant,Kirkwood,10332 Manchester Rd,MO,63122,2.5,7
Circa Pub and grill,Des Peres,1090 Old Des Peres Rd,MO,63131,3.5,131
sunny china,St. Louis,9934 Kennerly Rd,MO,63128,4,13
Chuy Arzola's,Saint Louis,3701 Lindell Blvd,MO,63108,2,35
Park Chop Suey,Saint Louis,1321 Chouteau Ave,MO,63103,3.5,54
Juice Bar Ladue,Ladue,10283 Clayton Rd,MO,63124,4,34
Orkeed Restaurant,Saint Louis,3191 S Grand Blvd,MO,63116,3.5,22
Chicken’s Place,St Charles,142 N Main St,MO,63301,4,55
Lone Star Steakhouse,Bridgeton,Orchard Bend Shpg Ctr 11969 St Charles Rock Rd,MO,63044,3,33
Chinese Express,Saint Charles,1610 Country Club Plaza Dr,MO,63303,2.5,14
Smokehouse BBQ,Saint Louis,6903 Page Ave,MO,63133,4,21
Culpeppers In Kirkwood,Saint Louis,312 S Kirkwood Rd,MO,63122,2.5,18
HoteLumiere at the Arch,Saint Louis,999 N 2nd St,MO,63102,2,164
Michael's Bar & Grill,Saint Louis,7101 Manchester Ave,MO,63143,4,230
