name,city,address,state,postal_code,stars,review_count
Wawa,Gloucester,2 Somerdale Rd,NJ,8012,3,9
White House Restaurant,Moorestown,4 W Camden Ave,NJ,8057,3.5,56
Taylor's Restaurant & Bar,Williamstown,2021 N Black Horse Pike,NJ,8094,2.5,15
Collingswood Diner,Collingswood,201 Crescent Blvd,NJ,8107,2,20
Chick-fil-A,Voorhees,1530 The Mall At Voorhees,NJ,8043,3,10
Filomena Cucina Rustica,Berlin,13 Cross Keys Rd,NJ,8009,3.5,107
Acciuga's Pizzeria,Blackwood,75 S Black Horse Pike,NJ,8012,4.5,21
Po-Po No 1 Chinese Restaurant,Trenton,8 N Broad St,NJ,8608,2.5,5
Tony Roni's,Mount Ephraim,1 N Black Horse Pike,NJ,8059,3.5,16
ShopRite of Union Mill Road,Mount Laurel,892 Union Mill Rd,NJ,8054,3,18
Sfizio Pizza,Bordentown,1032 US Hwy 206,NJ,8505,3.5,30
Wawa,Williamstown,332 South Black Horse Pk,NJ,8094,4.5,6
Wawa,Paulsboro,51 Berkley Rd,NJ,8066,3,7
Sabor Latino,Penns Grove,169-B State St,NJ,8069,4.5,18
Romero's Breakfast & Mexican,Berlin,41 Clementon Rd,NJ,8009,4.5,8
Hardee's,Willingboro,4368 US 130,NJ,8046,3,20
Seasons Pizza,Stratford,1014 N White Horse Pike,NJ,8084,3.5,26
The Vault Bar and Restaurant,Runnemede,810 E Clements Bridge Rd,NJ,8078,3.5,26
F & M Caterers,Mount Laurel,3701 Church Rd,NJ,8054,3.5,5
A Little Slice of New York,Camden,120 N 3rd St,NJ,8102,3.5,22
Russ Ayres Hot Dog Stand,Bordentown,680 US Hwy 206,NJ,8505,3,29
Redhouse Bagels - Audubon,Audubon,294 S White Horse Pike,NJ,8106,4,65
Cooper House,Pennsauken Township,5300 N Park Dr,NJ,8109,2.5,75
Nick's Pizzeria,Williamstown,47 S Main St,NJ,8094,3,29
Bella Vita Pizzeria,Laurel Springs,809 W Atlantic Ave,NJ,8021,3.5,15
Pats Select Pizza & Grill,Marlton,101 Rte 73 S,NJ,8053,3,83
Bill & Eileen's Market,West Deptford,1 Red Bank Avenue,NJ,8086,4.5,12
Foysters Dockside BYOB,Delran,73 Norman Ave,NJ,8075,4,7
Wawa,Pennsauken,2290 Clement Ave,NJ,8109,2.5,5
Centanni Pizza & Italian Grill,Collingswood,563 Haddon Ave,NJ,8108,4,37
Endgrain Coffee Roasters,Pitman,10 Pitman Ave,NJ,8071,4.5,71
Divincenzo's Pizza,Cinnaminson,1101 Cinnaminson Ave,NJ,8077,4,20
McDonald's,Lawrence Township,301 Brunswick Cir,NJ,8648,2.5,5
Arby's,Marlton,220 N Maple Ave,NJ,8053,4,12
Ariana - Voorhees,Voorhees,"700 Haddonfield Berlin Rd, Ste 14",NJ,8043,3.5,34
La Chapinita,Trenton,804 Chambers St,NJ,8611,4,6
Luigi's Pizza City,Blackwood,138 Fries Mill Rd,NJ,8012,3.5,12
Primohoagies,Moorestown,41 E Main St,NJ,8057,2.5,5
Frankie's Pizza,Westville,1070 Delsea Dr,NJ,8093,3,13
ShopRite of Marlton,Marlton,307 W Rte 70,NJ,8053,3,62
McDonald's,Trenton,1885 N Olden Ave,NJ,8638,2.5,18
Fuji Japanese Restaurant,Haddonfield,116 Kings Hwy E,NJ,8033,4,119
Oaklyn Manor Bar & Grill,Oaklyn,198 W Clinton Ave,NJ,8107,3.5,54
Terra Nova,Sewell,590 Delsea Dr,NJ,8080,3.5,159
Guatelinda Restaurant,Trenton,1234 S Clinton Ave,NJ,8611,4.5,19
Happy Garden Chinese Carry-Out Restaurant,Lindenwold,786 Emerson St,NJ,8021,4,6
Dunkin',Trenton,"410 Lalor St, Ste A1",NJ,8611,2.5,6
Ammon Mediterranean Market,Cherry Hill,853 Cooper Landing Rd,NJ,8002,5,9
Chick-fil-A,Audubon,"110 Black Horse Pike, Ste 850",NJ,8106,3.5,30
Jaritza's Restaurant,Camden,2206 Federal St,NJ,8105,4,9
Villagio Pizza & Grille,Pennsauken Township,3018 Union Ave,NJ,8109,3,13
Dunkin',Somerdale,150 S White Horse Pike,NJ,8083,4,6
Burger King,Penns Grove,1 S New Jersey Tpke,NJ,8069,1.5,11
Capri Pizza,Sicklerville,665 Cross Keys Rd,NJ,8081,4,66
Ott's,Medford,656 Stokes Rd,NJ,8055,3.5,72
Catelli Duo - Voorhees,Voorhees,12101 Town Center Blvd,NJ,8043,3,281
Popeyes Louisiana Kitchen,Maple Shade,2788 Route 73 N,NJ,8052,2,36
Pizza Hut,Marlton,789 Rt 70 E,NJ,8053,2,20
Capital Pizza,Haddon Township,615 White Horse Pike,NJ,8107,3.5,20
Harper's Pub & Restaurant,Clementon,1 Gibbsboro Rd,NJ,8021,3.5,29
McDonald's,Cherry Hill,24 W Marlton Pike,NJ,8034,1,11
New China Moon,Cherry Hill,906 Marlton Pike W,NJ,8002,4,8
Jersey Java and Tea,Haddonfield,140 N Haddon Ave,NJ,8033,3.5,134
Bricco Coal Fired Pizza,Westmont,128 Haddon Ave,NJ,8108,4,286
Crown Fried Chicken,Glassboro,110 Delsea Dr,NJ,8028,3,11
Knight's  Bistro,Collingswood,700 Haddon Ave,NJ,8108,2.5,36
Charley's Other Brother,Mount Holly,1383 Monmouth Rd,NJ,8060,2.5,51
Debbie's Deli,Trenton,1720 Liberty St,NJ,8629,4.5,5
Mayflower Chinese Restaurant,Marlton,"230 N Maple Ave, Ste A8",NJ,8053,3.5,28
Eagle Diner,Cinnaminson,1202 Burlington Pike,NJ,8077,3.5,17
Sam's Cafe Grill,Logan Township,"525 Beckett Rd, Ste 13 & 14",NJ,8085,3.5,5
QDOBA Mexican Eats,Mount Laurel,"7000 Midlantic Dr, Ste 400",NJ,8054,3.5,7
Caffe Galleria Restaurant Market,Lambertville,23 N Union St,NJ,8530,4,217
Mario & Joe's Pizzeria,Pine Hill,321 W Branch Ave,NJ,8021,3,6
Arby's Restaurant,Woodbury,1335 Hurffville Rd,NJ,8096,3,13
Carrabba's Italian Grill,Marlton,903 Rte 73 S,NJ,8053,3,50
Sol Sazon,Willingboro,4324 Route 130 N,NJ,8046,3.5,32
Ming Kui Lau,Brooklawn,700 Crescent Blvd,NJ,8030,3,12
Pancheros Mexican Grill,West Berlin,115 N Route 73,NJ,8091,3,22
Olden Deli,Trenton,1715 N Olden Ave,NJ,8638,4.5,13
honeygrow,Cherry Hill,1586 Kings Hwy N,NJ,8034,3.5,152
Ploy Siam,Westampton,897 Rancocas Mt Holly Rd,NJ,8060,4.5,70
Cap'ns Corner,Woodbury,455 S Evergreen Ave,NJ,8096,4,27
Empire Buffet,Cherry Hill,2100 Rt 38,NJ,8002,2.5,5
Seven Star Diner,Sewell,1890 Hurfville Rd,NJ,8080,2.5,196
Penn Queen Diner,Pennsauken,7349 N Crescent Blvd,NJ,8110,3,70
Iron Hill Brewery & Restaurant,Maple Shade,124 East Kings Hwy,NJ,8052,4,384
Maggio's Pizza and Pasta,Deptford,"1450 Clements Bridge Rd, Ste 32",NJ,8096,3.5,25
Broad Street Diner,Trenton,2654 S Broad St,NJ,8610,3.5,92
Ruby Buffet,Cherry Hill,2100 Rt 38,NJ,8002,2.5,153
Dubai Restaurant and Lounge,Trenton,931 New York Ave,NJ,8638,2,9
Corinne's Place,Camden,1254 Haddon Ave,NJ,8103,4.5,100
Tony Soprano's Pizza,Medford,11 Jackson Rd,NJ,8055,2.5,26
Wawa,Mount Laurel,720 South Church Rd,NJ,8054,3,5
Redstone American Grill,Marlton,500 Rte 73 S,NJ,8053,4,554
Peter's Diner,Williamstown,1741 S Black Horse Pike,NJ,8094,2.5,151
Wendy's,Woodbury Hts.,704 Mantua Pike,NJ,8097,1.5,10
Fresh Fruits & Salads,Camden,114 N 3rd St,NJ,8102,4.5,6
Palo De Azucar Cafe,Trenton,862 S Broad St,NJ,8611,5,5
Clancy's By The Creek,Brooklawn,304 Crescent Blvd,NJ,8031,3.5,21
Orange Blossom Cafe & Bakery,Riverton,308 Broad St,NJ,8077,3.5,54
ShopRite of Burlington,Burlington,1817 Mount Holly Rd,NJ,8016,2,32
Nick's Pizza,Lumberton,1603 NJ-38,NJ,8048,2,11
Ye Olde Centerton Inn,Pittsgrove,1136 Almond Rd,NJ,8318,3.5,20
Don Tequila,Lindenwold,817 Blackwood Clementon Rd,NJ,8021,3,79
All Star Bagel,Southampton Township,1716 Rte 206,NJ,8088,4,7
John Henry Seafood Restaurant,Trenton,2 Mifflin St,NJ,8611,4,7
Inn of the Hawke,Lambertville,74 S Union St,NJ,8530,3.5,156
The Sticky Wicket,Trenton,2465 S Broad St,NJ,8610,3,41
Sarku Japan,Deptford Township,1750 Deptford Center Rd,NJ,8096,4,5
The Pub,Pennsauken,7600 Kaighn Ave,NJ,8109,3,370
Osushi Japanese Restaurant,Marlton,101 Rt 73 S,NJ,8053,4,139
Mount Masala,Voorhees Township,300 White Horse Rd,NJ,8043,4.5,145
Sugarpuddin's,Clementon,311 N White Horse Pike,NJ,8021,4,104
Jersey Crab,Clementon,5 Gibbsboro Rd,NJ,8021,3.5,7
Old Country Buffet,Deptford,1350 Hurffville Rd,NJ,8096,2,13
Verona Ristorante Italiano,Haddonfield,141 Kings Hwy E,NJ,8033,4.5,62
Checkers,Glassboro,701 N Delsea Dr,NJ,8028,2.5,9
Marsilio's Kitchen,West Trenton,71 W Upper Ferry Rd,NJ,8628,4,129
Humble Plant-Based Cafe + Bakery,Lambertville,7 N Main St,NJ,8530,5,13
Supreme Pizza & Grill,Lumberton,1599 Rt 38,NJ,8048,2,22
Whistlers Inn,Cinnaminson,901 Rt 130 S,NJ,8077,3.5,133
Saladworks,West Berlin,"116 Walker Ave, Ste B",NJ,8091,2,7
Catelli Ristorante & Caffe,Voorhees,Evesham & Kresson Rd,NJ,8043,4,8
Crab Du Jour,Lumberton,"1636 NJ-38, Ste 46",NJ,8060,3,18
Taco Bell,Mount Ephraim,710 N Black Horse Pike,NJ,8059,2.5,20
Wawa,Voorhees,2999 East Evesham Rd,NJ,8043,3,5
The Turning Point of Marlton,Marlton,300 Rte 73 S,NJ,8053,4,410
The Madison,Riverside,33 Lafayette St,NJ,8075,3.5,112
LaScala's Birra,Pennsauken Township,5300 N Park Dr,NJ,8109,4,121
Crown Fried Chicken,Lindenwold,"103 Blackwood Clementon Rd, Ste B",NJ,8021,3.5,8
Tan's Tasty Cakes,Hamilton Township,1700 Nottingham Way,NJ,8619,4,54
Wawa Food Markets,Glassboro,109 Delsea Dr N,NJ,8028,4,5
Big John's Cheesesteaks and More,West Berlin,185 N Rt 73,NJ,8091,3,6
Panera Bread,Cherry Hill,"2010 Marlton Pike W, Bldg F - Ste A",NJ,8003,3,76
Trenton Social,Trenton,449 S Broad St,NJ,8611,4,78
Dunleavy's Restaurant & Cocktail Lounge,Hainesport,1440 Rt 38,NJ,8036,4,93
Tang's Garden Chinese Restaurant,Sewell,259 Fish Pond Rd,NJ,8080,4.5,11
Dolsot House,Cherry Hill,404 Marlton Pike E,NJ,8034,4,665
King of Pizza,Gloucester City,1311 US 130 & Market St,NJ,8030,3.5,26
El Chapin,Trenton,802 Lamberton St,NJ,8611,4,41
McDonald's,Mount Holly,1660 State Hwy 38,NJ,8060,2,25
The Laughing Fox Tavern,Magnolia,510 S White Horse Pike,NJ,8049,3,68
Rodriguez Peruvian Restaurant,Berlin,"41 Clementon Rd, Unit 301",NJ,8009,4.5,7
Juanita's Mexican Cuisine,Riverton,517 Howard St,NJ,8077,4,135
Bhan Thai - Mount Laurel,Mount Laurel,4301 Dearborn Cir,NJ,8054,4,255
A Happy Family,Trenton,1342 Brunswick Ave,NJ,8638,2,13
Mirabella Cafe,Cherry Hill,"Barclay Farms Shopping Center, 210 E Rt 70",NJ,8034,3,17
Tony Sopranos Pizza,Voorhees Township,900 Centennial Blvd,NJ,8043,1.5,6
La Terrazza Ristorante Italiano,Cherry Hill,1401 Marlton Pike E,NJ,8034,3,31
IHOP,Burlington,2703 Mount Holly Rd,NJ,8016,2,52
Epiro's Pizza,Sicklerville,1785 Williamstown Erial Rd,NJ,8081,3,12
Vera Bar & Grill,Cherry Hill,2310 Marlton Pike W,NJ,8002,2.5,98
Cafe Antonio II,Collingswood,827 Haddon Ave,NJ,8108,3.5,74
Tarshishi's New York Style Deli,Burlington,2528 Mount Holly Rd,NJ,8016,4,6
Sabrina's Café,Collingswood,714 Haddon Ave,NJ,8108,4,570
Jjang Ga Nae,Cherry Hill,2431 Church Rd,NJ,8002,4,40
Chinatown Chinese Restaurant,Berlin,229 S White Horse Pike,NJ,8009,3,8
Hunan Wok,Glassboro,325 Mullica Hill Rd,NJ,8028,2.5,16
Chipotle Mexican Grill,Marlton,"500 Route 73 S, Ste D-18",NJ,8053,3,75
In My Grandmother's Kitchen,Merchantville,111 Oak Ter,NJ,8109,5,6
Philly Pretzel Factory,Haddon Heights,301 Black Horse Pike,NJ,8035,3.5,10
Guillermo's Italian Cuisine,Sewell,Salina Harbour Plz,NJ,8080,3.5,6
Evergreen Dairy Bar,Vincentown,1643 RT-70,NJ,8088,4.5,66
Marlton Tavern,Marlton,65 E Main St,NJ,8053,3,77
Dunkin',Cinnaminson,1102 N. Rt 130,NJ,8077,2.5,10
Diamond Diner,Hainesport,1390 New Jersey 38,NJ,8036,3,70
Charlie Brown's Steakhouse,Woodbury,111 N Broad St,NJ,8096,3.5,93
Sunshine Restaurant,Trenton,901 Pennington Ave,NJ,8618,4.5,8
The Juice Bar,Merchantville,22 S Centre St,NJ,8109,5,37
Cono Pizza & Ice Cream,Glassboro,111 E High St,NJ,8028,2,22
The Pelican Restaurant,Sewell,508 Hurffville Crosskeys Rd,NJ,8080,4,71
Royal Mandarin Chinese Restaurant & Sushi Bar,Woodbury,1907 Deptford Ctr Rd,NJ,8096,3.5,19
JB Bakery,Burlington,712 S High St,NJ,8016,4,77
Taco Bell,Sicklerville,845 Williamstown Erial Road,NJ,8081,2.5,7
China Garden,Trenton,856 S Broad St,NJ,8611,3.5,5
Fiesta Mexicana,Haddon Township,2898 Mount Ephraim Ave,NJ,8104,3.5,8
Cocina Azteca,Mount Laurel,1155 Rt 73,NJ,8054,3.5,224
Library IV,Williamstown,1030 N Black Horse Pike,NJ,8094,3,76
Moe's Southwest Grill,Deptford,1692 Clements Bridge Rd,NJ,8096,2,90
City Market,Lambertville,74 N Main St,NJ,8530,3.5,41
Emma's Steak and Pizza Joint,West Deptford,931W Redbank Ave,NJ,8096,3.5,12
Firecreek,Voorhees,13109 Town Center Blvd,NJ,8043,3,18
Sally Starr's Pizza,Atco,439 Jackson Rd,NJ,8004,3,14
Dolan's Irish Pub,Burlington,630 Rt 130 S,NJ,8016,3.5,41
Los Amigos Restaurant,West Berlin,461 Rt 73 N,NJ,8091,3.5,67
The Hot Spot Latin Grill,Camden,2318 River Ave,NJ,8105,4.5,8
Rat's Restaurant,Hamilton,16 Fairgrounds Rd,NJ,8619,3.5,603
Pizza206,Tabernacle,1529 Route 206,NJ,8088,4,26
Guilli's Pizza & Mexican Cuisine,Willingboro,"320 Beverly Rancocas Rd, Ste 2A",NJ,8046,4,100
Asuka Sushi,Mount Laurel,447 Larchmont Blvd,NJ,8054,4,140
Gold Garden,Columbus,"23203 Columbus Rd, Ste E, Home Stead Plz II",NJ,8022,3.5,22
Buffalo Bills Barbecue,Sicklerville,416 Sicklerville Rd,NJ,8081,3.5,46
Toots' Deli,Columbus,"23203 Columbus Rd, Ste D",NJ,8022,4,15
Precious Kitchen,Trenton,801 Prospect St,NJ,8638,3.5,13
Amanda's Bar None,Gloucester Township,630 Lower Landing Rd,NJ,8012,3,38
Bean Street Cafe,Marlton,117 Merchants Way,NJ,8053,4,34
Montegrillo Pizza & Restaurant,Pennsauken,5825 Westfield Ave,NJ,8110,4,38
P J Whelihan's - Sewell,Sewell,425 Hurffville - Cross Keys Rd,NJ,8080,3,161
Crawfish & Pho,Cherry Hill,"2442 NJ-38, Ste 5",NJ,8002,4,29
