name,city,address,state,postal_code,stars,review_count
Round Table Pizza,Sparks,1201 Baring Blvd,NV,89434,3,49
Jack in the Box,Reno,5095 S Mccarran Blvd,NV,89502,2,45
Raley's,Reno,1630 Robb Dr,NV,89523,4,75
Sizl Burger,Sparks,"1180 Scheels Dr, Ste B-108",NV,89434,3.5,31
Piezzetta Pizza Kitchen,Reno,500 N Sierra St,NV,89503,4,97
Naan & Kabab,Reno,2740 S Virginia St,NV,89502,4,1266
The Original Mel's Diner,Reno,189 Damonte Ranch Rd,NV,89521,3.5,180
Starbucks,Reno,"191 Damonte Ranch Pkwy, A",NV,89521,3,46
Napa Sonoma Grocery Company,Reno,7671 S Virginia St,NV,89511,4,252
Mexcal,Reno,516 S Virginia St,NV,89501,4.5,212
Skyline Kitchen & Vine,Reno,2995 Skyline Blvd,NV,89509,4,273
Mr Beast Burger,Sparks,"1180 Scheels Dr, Ste B-108",NV,89434,2.5,15
Asi Es Mi Tierra,Reno,1020 S Wells Ave,NV,89502,4,35
Urban Beets,Reno,50 N Sierra St,NV,89501,4,5
Red's Broken Bat,Reno,"250 Evans Ave, Ste 101",NV,89501,3.5,119
Monaciello,Reno,190 California Ave,NV,89509,4.5,215
BFF Cafe,Reno,"3594 W Plumb Ln, Ste A",NV,89509,4,92
Pink Taco Truck,Sparks,2020 Oddie Blvd,NV,89431,3.5,8
Firehouse Subs,Reno,"199 Damonte Ranch Pkwy, Unit K",NV,89521,4.5,23
Bully's Sports Bar & Grill,Reno,18156 Wedge Pkwy,NV,89511,3,116
Las Trojes Express,Reno,1664 North Virginia St,NV,89503,3.5,6
"Chicago's Pizza With A Twist - Reno, NV",Reno,2900 Clear Acre Ln,NV,89512,4.5,143
Sugar Love Chocolates,Reno,50 S Virginia St.,NV,89501,4.5,42
The Habit Burger Grill,Reno,"87 W Stadium Way, Fl 3, Joe Crowley Student Union",NV,89557,3.5,5
Domino's Pizza,Reno,"1675 Robb Dr, Ste 2",NV,89523,2.5,63
Carl's Jr,Reno,5880 S Virginia St,NV,89502,2,55
Taste of Chicago,Reno,180 E 1st St,NV,89501,3.5,332
O’A Sushi,Reno,3326 S McCarran Blvd,NV,89502,4.5,32
BJ's Restaurant & Brewhouse,Sparks,425 Sparks Blvd,NV,89434,3,621
The Wolf Den,Reno,1305 N Virginia St,NV,89503,2.5,41
The Stick,Reno,"95 N Sierra St, Ste 101",NV,89501,4,240
Chipotle Mexican Grill,Sparks,"1560 E Lincoln Way, Ste 120",NV,89434,3,116
Mix Bakeshop,Reno,1117 California Ave,NV,89509,4,222
Dickey's BBQ Pit South,Reno,"13963 S Virginia St, Ste 904",NV,89511,3.5,8
Einstein Bros. Bagels,Reno,5050 Kietzke Ln,NV,89511,3,296
Ruby Thai Kitchen,Reno,5610 Meadowood Mall Cir,NV,89502,3,41
Round Table Pizza,Reno,4007 S Virginia,NV,89502,2,82
Chipotle Mexican Grill,Reno,"5144 Mae Anne Ave, Ste A",NV,89523,2.5,80
Starbucks,Reno,10190 N McCarran Blvd,NV,89503,3,53
India Gate,Reno,1565 S Virginia St,NV,89502,4,25
Subway Restaurants,Reno,2001 E Plumb Ln,NV,89502,1.5,6
JB Mapes & Co,Reno,"50 N Sierra St, Ste 103",NV,89501,3.5,39
The Pirate Ship,Sparks,495 Greenbrae Dr,NV,89431,4,7
Antojitos El Sabor Latino Americano,Reno,"2145 Sutro St, Ste 10",NV,89512,3.5,24
Atlantis Purple Parrot,Reno,3800 S Virginia St,NV,89502,3.5,205
Lulou's Restaurant,Reno,1470 S Virginia St,NV,89502,4,190
Conscious Cuisine,Reno,1300 S Virginia St,NV,89502,3,15
Pure Country Canteen,Sparks,520 E Prater Way,NV,89431,3.5,10
Sak'n Save Food Store,Reno,1901 Silverada Blvd,NV,89512,2.5,28
Magic Carpet Golf,Reno,6925 S Virginia St,NV,89511,4,66
The Chocolate Bar,Reno,"95 N Sierra St, Ste 101",NV,89501,3.5,127
La Mint - Vietnamese Kitchen,Reno,"770 S Meadows Pkwy, Ste 101",NV,89521,4.5,287
Paulie's Pizza,Reno,2309 Kietzke Ln,NV,89502,4,68
Jack in the Box,Sparks,2289 Oddie Blvd,NV,89431,2,30
Francis' Asian Bistro,Reno,4796 Caughlin Pkwy,NV,89519,3.5,21
4th St Bistro,Reno,3065 W 4th St,NV,89523,4.5,251
Juicy's Giant Hamburgers,Sparks,104 E Glendale Ave,NV,89431,2,91
The Seed,Reno,1085 S Virginia St,NV,89502,4.5,126
Dynasty China Bistro,Reno,1185 California Ave,NV,89509,3.5,112
Spread Peace Cafe,Reno,50 N Sierra St,NV,89501,2.5,23
Panda Express,Reno,"395 E. Plumb Lane, SUITE H",NV,89502,2.5,73
Anna's Taqueria,Reno,271 Wonder St,NV,89502,4.5,202
Jimmy John's,Reno,"5280 Longley Ln, Ste. 300",NV,89511,3,76
Yogurt Beach,Reno,3882 Mayberry Dr,NV,89519,4,106
Cafe De Thai,Reno,760 S Virginia St,NV,89501,3,393
Simply Thai,Sparks,15 Eagle Canyon Dr,NV,89441,4.5,247
Dee's Bakery And Cafe,Sparks,"970 S Mccarran Blvd, Ste 102",NV,89431,4,60
Casa De Oro,Reno,"5220 Longley Ln, Ste 100",NV,89511,4.5,37
Panda Express,Reno,"Joe Crowley Student Union  1664 N. Virginia St, 290A, St Joe Crowley Student Union",NV,89503,2.5,16
Roundabout Market And Bistro,Reno,7665 Town Sq Way,NV,89523,4,10
Restaurante Yesenia,Reno,581 E Moana Ln,NV,89502,4.5,439
Original Thai Restaurant,Sparks,2995 Vista Blvd,NV,89434,4.5,177
Chipotle Mexican Grill,Reno,"537 S Meadows Pkwy, Ste 100",NV,89521,2.5,47
Laughing Planet Cafe,Reno,650 Tahoe S,NV,89509,4.5,663
