name,city,address,state,postal_code,stars,review_count
Earl's New American,New Hope,2400 Street Rd,PA,18938,3.5,135
Glenmoore Deli,Glenmoore,1941 Creek Rd,PA,19343,3.5,9
Le Saigon,Paoli,82 E Lancaster Ave,PA,19301,3,71
Harry's Blue Bell Taproom,Blue Bell,736 Dekalb Pike,PA,19422,4.5,131
Popeyes Louisiana Kitchen,Norristown,215 W Main St,PA,19401,2,32
Sweet Lorraine's Cafe and Bar,Lahaska,Rt 202 and St Rd,PA,18931,2,15
Folcroft Original,Folcroft,2008 Delmar Dr,PA,19032,2.5,16
Vincent's Pizza,Rockledge,412 Huntingdon Pike,PA,19046,4,82
R2L,Philadelphia,"50 S 16th St, Fl 37",PA,19102,3.5,787
Nico's Pizza,New Britain,416 Town Ctr,PA,18901,4,26
Chickie's & Pete's,Philadelphia,1526 Packer Ave,PA,19145,3.5,590
Anjou Restaurant,Philadelphia,206 Market St,PA,19106,2.5,19
Frazer Diner,Frazer,189 W Lancaster Ave,PA,19355,3.5,51
Cajun Kate's,Boothwyn,1362 Naamans Creek Rd,PA,19061,5,140
Boston Market,West Chester,726 E. Gay Street,PA,19380,3,22
Ice House Steaks & Pizza,Pottstown,1 King St,PA,19464,3.5,179
Buona Via,Horsham,426 Horsham Rd,PA,19044,3,123
Pho and More,North Wales,1200 Welsh Rd,PA,19454,3.5,239
Wayback Burgers,Kennett Square,811 E Baltimore Pike,PA,19348,3,40
Blue Bell Diner,Blue Bell,1324 Skippack Pike,PA,19422,2.5,7
Sunrise Cafe,Kennett Square,127 E State St,PA,19348,3.5,27
Oscar's Tavern,Philadelphia,1524 Sansom St,PA,19102,4,328
KFC,Philadelphia,6240 Stenton Ave,PA,19138,2,7
No-1 China,Upper Darby,7231 Marshall Rd,PA,19082,3,10
Iron Hill Brewery TapHouse,Exton,260 Eagleview Blvd,PA,19341,3.5,41
To Dam Gol Korean Restaurant,Blue Bell,1341 E Township Line Rd,PA,19422,4,43
