name,city,address,state,postal_code,stars,review_count
Milano's Pizza & Pasta,Nashville,1435 12th Ave S,TN,37203,1.5,28
Homegrown Taproom & Kitchen,Nashville,2720 Old Lebanon Rd,TN,37214,4,248
McDonald's,Nashville,5744 Nolensville Rd,TN,37211,1.5,17
Far East Nashville,Nashville,1008 Fatherland St,TN,37206,4,250
Boscos: Restaurant & Brewing Co,Nashville,1805 21st Ave S,TN,37212,3.5,168
Arriba Bar & Grill,Nashville,7097 Old Harding Pike,TN,37221,3.5,6
Sally's Famous Kitchen,Antioch,2427 Antioch Pike,TN,37013,3,17
Pei Wei,Franklin,"1560 West McEwen Dr, Ste 160",TN,37067,2,77
Taqueria El Dolar,Nashville,3500 Nolensvillle Pike,TN,37211,4.5,45
Union Teller Delicatessen,Nashville,401 Union St,TN,37219,3.5,6
Newk's Eatery,Nashville,4550 Harding Pike,TN,37205,3,65
Fifth + Broadway,Nashville,501 Commerce St,TN,37203,4.5,14
Subway,Nashville,718 Thompson Ln,TN,37204,3,6
Calacas Mexican Cuisine,Nashville,411 Korean Veterans Blvd,TN,37203,4.5,25
3 Crow Bar,East Nashville,1024 Woodland St,TN,37206,3.5,226
Wendy's,Nashville,One Terminal Drive,TN,37214,1.5,38
Sonic Drive-In,Brentwood,1618 Franklin Rd,TN,37027,3.5,10
Chinatown Restaurant,Nashville,"3900 Hillsboro Pike, Ste 8",TN,37215,3.5,193
Logan's Roadhouse,Antioch,5300 Hickory Hollow Ln,TN,37013,2.5,67
Throwbacks Bar & Grill,Nashville,142 Belle Forest Cir,TN,37221,3.5,6
Burger King,Pleasant View,6417 Hwy 41A,TN,37146,2,11
Epic Eatery,Gallatin,392 West Main St,TN,37066,5,15
Grabbagreen - Nashville,Nashville,117 17th Ave S,TN,37203,3,31
McDougal's Chicken Fingers & Wings,Franklin,"401B Cool Springs Blvd, Ste 220",TN,37068,4,27
Sonic Drive-In,Mount Juliet,713 South Mt Juliet Road Providence,TN,37122,1.5,33
No 1 Chinese,Nashville,63 E Thompson Ln,TN,37211,3,40
Gyro Plus,Nashville,2647 Murfreesboro Pike,TN,37217,4.5,25
Foxland Southern Grill,Gallatin,1445 Foxland Blvd,TN,37066,4,25
Semper Sliders,Nashville,2416 Music Valley Dr,TN,37214,5,152
NORI Japanese Hibachi & Asian Cuisine,Franklin,1110 Hillsboro Rd,TN,37064,4.5,6
Bowl & Roll,Nashville,900 Rosa L Parks Blvd,TN,37208,4,38
Garcias Mexican Restaurant,Franklin,"1113 Murfreesboro Rd, Ste 316",TN,37064,4,158
Crossroads Grille,Antioch,"2940 Murfreesboro Pike, Ste 101",TN,37013,3,19
San Antonio Taco Co,Nashville,416 21st Ave S,TN,37203,3.5,386
Basil Bistro,Franklin,"9040 Carothers Pkwy, Ste A201",TN,37067,3.5,88
McDonald's,Madison,1202 Coreland Dr,TN,37115,2,6
Bojangles Famous Chicken & Biscuits,Nashville,7000 Charlotte Pike,TN,37209,3,36
Bolton's Spicy Chicken & Fish,Nashville,1135 Bell Rd,TN,37013,3,6
Which Wich,Nashville,433 Opry Mills Dr,TN,37214,2.5,27
El Torero Mexican Restaurant,Nashville,70 White Bridge Rd,TN,37205,3.5,16
The Italian Kitchen,Nashville,217 4th Ave N,TN,37219,2.5,92
Dooley's Tavern,Nashville,204 21st Ave S,TN,37203,2.5,8
Jed's Sports Bar & Grille,Nashville,114 28th Ave N,TN,37203,3,81
Sake Japanese Restaurant,Franklin,"1945 Mallory Ln, Ste 120",TN,37067,4,64
Black Dynasty Ramen,Nashville,"4101 Charlotte Ave, Ste 40",TN,37209,4.5,76
Third and Home,Nashville,919 3rd Ave N,TN,37219,4,19
Homa's Southern Cuisine,Nashville,1201 Dickerson Pike,TN,37207,4.5,26
Mr. Burrito Fresh,Nashville,1602 21st Ave S,TN,37212,4,11
Saffire,Franklin,230 Franklin Rd,TN,37064,4,215
Wendy's,Antioch,221 Crossings Place,TN,37013,2,16
Giardino Gourmet Salads - Brentwood,Brentwood,18 Cadillac Dr,TN,37027,4.5,54
Tacos & Tequila,Nashville,1526 Demonbreun St,TN,37203,3.5,10
Acme Feed & Seed,Nashville,101 Broadway,TN,37201,4,1731
Your Pie - Capitol View,Nashville,421 11th Ave N,TN,37203,4,34
IHOP,Nashville,2214 Elliston Pl,TN,37203,1.5,111
Cozymel's Mexican Grill,Brentwood,1654 Westgate Cir,TN,37027,3,37
TNT B-B-Q,Nashville,1211 Brick Church Pike,TN,37207,4.5,7
Domino's Pizza,Ashland City,312 Frey St,TN,37015,3,12
Ruby Sunshine,Franklin,231 Public Sq,TN,37064,4,373
Fogatas Mexican Restaurant - Franklin,Franklin,1010 Murfreesboro Rd,TN,37064,3.5,67
Waldo's Chicken & Beer,Nashville,"1120 4th Ave N, Ste 103",TN,37208,4.5,174
Makeready,Nashville,200 4th Ave N,TN,37219,4,219
Don Pancho,Mount Juliet,"300 Pleasant Grove Rd, Ste 365",TN,37122,3.5,47
Hadleys Catering and Events,Hermitage,4700 Lebanon Pike,TN,37076,3,77
Jason's Deli,Brentwood,279 Franklin Rd,TN,37027,4,17
The Band Box,Nashville,401 Jackson St,TN,37219,3,6
Taqueria Aguilar Food Truck,Nashville,230 Thompson Ln,TN,37211,4,12
Las Palmas Mexican Restaurant,Nashville,15560 Old Hickory Blvd,TN,37211,2.5,90
Jackson's Bar & Bistro - Nashville,Nashville,1800 21st Ave S,TN,37212,3,402
615 Chutney,Nashville,7075 Hwy 70S,TN,37221,4.5,132
Marco Polo's Pizza,Nashville,2721 Clarksville Pike,TN,37228,2,28
China Spring,Nashville,"2613 Franklin Pike, Ste 103",TN,37204,3,28
Song Da,Smyrna,11461 Old Nashville Hwy,TN,37167,4,25
La Costa Mexican Seafood,Antioch,5332 Cane Ridge Rd,TN,37011,3,18
J & J's Market & Cafe,Nashville,1912 Broadway,TN,37203,4.5,154
Pie Five Pizza,Hendersonville,"271 Indian Lake Blvd, Ste 130",TN,37075,3,50
The Wild Hare,Nashville,316 White Bridge Pike,TN,37209,3.5,87
Firebirds Wood Fired Grill,Brentwood,700 Old Hickory Blvd,TN,37027,4,327
Subway,Brentwood,"6688 Nolensville Pike Rd, Ste 212",TN,37027,1.5,20
Souksavanh,Smyrna,1890 Almaville Rd,TN,37167,4,6
Fuji Japanese Steak House,Goodlettsville,801 Rivergate Pkwy,TN,37072,2.5,35
Chicago Express,Smyrna,568 Nissan Dr,TN,37167,4.5,47
Darlene's Kakes,Nashville,"3900 Hillsboro Pike, Ste 2",TN,37215,3.5,5
'za,Nashville,2005 Belcourt Ave,TN,37212,4,83
Shogun Japanese Steak & Sushi,Brentwood,1638 Westgate Cir,TN,37027,3,155
Urban Cowboy Public House,Nashville,103 North 16th St,TN,37206,4,79
Stout Burgers & Beers,Brentwood,400 Centerview Dr,TN,37027,4,304
Mexicali Grill,Franklin,1401 Liberty Pike,TN,37067,3,10
Pie In The Sky Pizza,Nashville,6917 Lenox Village Dr,TN,37211,3,97
Fresh Pick Marketplace,Nashville,"201 5th Ave S, MCC Center",TN,37203,4,9
El Burrito Mexicano,Nashville,900 Rosa L Parks Blvd,TN,37208,4.5,34
Peter's Sushi & Thai,Brentwood,"330 Franklin Rd, Ste 912D",TN,37027,4,290
Subway,Nashville,2100 8th Ave S,TN,37204,3.5,17
Biscuit Love - Franklin,Franklin,132 Third Av S,TN,37064,4,393
Hopdoddy Burger Bar,Nashville,1805 21st Ave S,TN,37212,4,345
Pelican & Pig,Nashville,1010 Gallatin Ave,TN,37206,4,119
The Authentique,Nashville,925 Gallatin Ave,TN,37206,4.5,5
Bombay Palace Restaurant,Nashville,2912 W End Ave,TN,37203,4,476
The Pancake Pantry,Nashville,1796 21st Ave S,TN,37212,4,2063
Joe's Place,Nashville,2227 Bandywood Dr,TN,37215,3,15
China King,Nashville,6601 Sugar Valley Dr,TN,37211,4,39
Cook Out - Gallatin Pike,Nashville,2910 Gallatin Pike,TN,37216,3,52
Freshens,Nashville,1 Terminal Dr,TN,37214,2.5,11
Shake Shack,Franklin,5027 Aspen Grove Dr,TN,37067,2.5,47
Garage Coffee Company Nashville,Nashville,1200 Clinton St,TN,37203,4,81
Tom's Elite Carryout,Nashville,501 Gallatin Ave,TN,37206,4,10
Local Taco,Nashville,"1100 Fatherland St, Ste 104",TN,37206,3.5,165
400 Degrees Hot Chicken,Nashville,319 Peabody St,TN,37210,4,139
Cool Cafe,Franklin,"1110 Hillsboro Rd, Ste B200",TN,37064,4,89
Sam & Zoe's,Nashville,525 Heather Pl,TN,37204,4,235
Captain D's,Nashville,3021 Dickerson Pike,TN,37207,1.5,5
Burger King,Madison,331 N Gallatin Park,TN,37115,1.5,15
Plaza Mariachi,Nashville,3955 Nolensville Pk,TN,37211,4.5,117
Corner Bakery Cafe,Nashville,308 4th Ave S,TN,37201,4,40
Jonbalaya,Nashville,W End Ave,TN,0,3,9
Clean Juice - Gulch,Nashville,412 11th Ave N,TN,37203,3,14
Tasti D-Lite,Nashville,2416 W End Ave,TN,37203,2.5,15
Steak ’n Shake,Hermitage,5000B Old Hickory Blvd,TN,37076,1.5,76
Gulf Pride Seafood,Franklin,230 Franklin Rd,TN,37064,3.5,42
El Paseo,Nashville,905 51st Ave N,TN,37209,4,21
Clawson's Pub & Deli,Nashville,1205 4th Ave S,TN,37229,4.5,148
Strikeout  Wingz,Nashville,123 Ewing Dr,TN,37207,4,8
Papa John's Pizza,La Vergne,"5163 Murfreesboro Road, Suite 9",TN,37086,1.5,35
I Love Sushi Nashville,Nashville,2300 Elliston Pl,TN,37203,4,58
Blue Moon BBQ,Nashville,2323 Elliston Pl,TN,37203,4,5
Bar-B-Cutie,Nashville,5221 Nolensville Pike,TN,37211,4,111
H R H Dumplin's,Franklin,428 Main St,TN,37064,3.5,17
Honduras Restaurant,Nashville,1057 Murfreesboro Pike,TN,37217,3.5,21
Royal Thai Restaurant,Hermitage,5532 Old Hickory Blvd,TN,37076,3.5,9
China Gourmet,Franklin,"1113 Murfreesboro Rd, Ste 108",TN,37064,3.5,55
Wise Guy's BBQ and Catering,Joelton,8471 Coopertown Rd,TN,37080,5,6
Chick-fil-A,Brentwood,330 Franklin Rd,TN,37027,3.5,74
Pancho Restaurant,Franklin,176 Watsn Gln Shppng Ctr,TN,37064,2.5,6
B1281,Nashville,1281 3rd Ave S,TN,37210,4.5,36
Dan McGuinness Irish Pub,Nashville,1538 Demonbreun St,TN,37203,3.5,85
Panera Bread,Mt Juliet,401 S Mount Juliet Rd,TN,37122,2.5,56
Krystal,Hendersonville,449 W Main St,TN,37075,2,15
Riffs Cafe at Highland Ridge,Nashville,"555 Marriott Dr, Ste 105",TN,37214,4,18
Daily Dish Events & Catering,Franklin,2205 Hillsboro Rd,TN,37069,4,47
