Name,Description,Coordinates,Hotel Class,Link,Ratings,Reviews,Reviews Breakdown
Vistoso Resort Casita #249,N/A,"{'latitude': 32.452484130859375, 'longitude': -110.97781372070312}",N/A,https://www.vacasa.com/unit/101237,N/A,35,N/A
Vistoso Resort Casita #207,N/A,"{'latitude': 32.45305252075195, 'longitude': -110.9771957397461}",N/A,https://www.vacasa.com/unit/13325,N/A,37,N/A
Vistoso Condo #218C,N/A,"{'latitude': 32.455936431884766, 'longitude': -110.9810562133789}",N/A,https://www.vacasa.com/unit/31197,N/A,38,N/A
Vistoso Resort Casita #253,N/A,"{'latitude': 32.45148849487305, 'longitude': -110.97750091552734}",N/A,https://www.vacasa.com/unit/13263,N/A,83,N/A
Comfortable Cozy Condo at Pusch Ridge,N/A,"{'latitude': 32.4007453918457, 'longitude': -110.94982147216797}",N/A,https://azbestvacations.hostexbooking.site/detail?listing_id=101293,N/A,4,N/A
Oro Valley CC Oasis,N/A,"{'latitude': 32.38648986816406, 'longitude': -110.98442840576172}",N/A,https://www.vacasa.com/unit/85221,N/A,41,N/A
Precious Shard,N/A,"{'latitude': 32.448097229003906, 'longitude': -110.93816375732422}",N/A,https://www.vacasa.com/unit/115708,N/A,7,N/A
Rare Jewel on 2 acres/Amazing Views,N/A,"{'latitude': 32.41395950317383, 'longitude': -110.95828247070312}",N/A,N/A,N/A,46,N/A
One bedroom condo in the heart of Oro Valley,N/A,"{'latitude': 32.40080642700195, 'longitude': -110.9493408203125}",N/A,N/A,N/A,29,N/A
Stunning views and great resort amenities!,N/A,"{'latitude': 32.452369689941406, 'longitude': -110.97708892822266}",N/A,https://www.bluepillow.com/search?p_id=589e01147c00cb10c8dafdcc&dest=bpvr&cat=Apartment&accomodationids=621752eaa7239796806c3100,N/A,60,N/A
Sweet Oro Valley Townhouse,N/A,"{'latitude': 32.39427185058594, 'longitude': -110.96939849853516}",N/A,https://www.bluepillow.com/search?p_id=589e01147c00cb10c8dafdcc&dest=bpvr&cat=House&accomodationids=621765c7a723979680737347,N/A,N/A,N/A
Oro Valley Condo w/ Desert & Mountain Views!,N/A,"{'latitude': 32.45500946044922, 'longitude': -110.98111724853516}",N/A,http://g.rentalsunited.com/gate.aspx?uid=554691&url=1&pid=3630298&lc=google,N/A,9,N/A
"Studio Condo- Music Hall, Golf, Hiking & More!",N/A,"{'latitude': 32.44896697998047, 'longitude': -110.97843933105469}",N/A,N/A,N/A,N/A,N/A
Pink Mountain Retreat,N/A,"{'latitude': 32.413169860839844, 'longitude': -110.97401428222656}",N/A,https://www.vacasa.com/unit/116518,N/A,6,N/A
Vistoso Resort Casita #138,N/A,"{'latitude': 32.45291519165039, 'longitude': -110.97846221923828}",N/A,https://www.vacasa.com/unit/13138,N/A,59,N/A
"Private, Spacious Condo in Perfect Oro Valley Location! Pool, Spa, Gym, Hiking",N/A,"{'latitude': 32.401100158691406, 'longitude': -110.94999694824219}",N/A,https://www.canyonvistarentals.com/listings/135063?googleVR=1,N/A,5,N/A
Sun City Vistoso,N/A,"{'latitude': 32.4726448059082, 'longitude': -110.95140838623047}",N/A,https://www.vacasa.com/unit/101221,N/A,9,N/A
Lovely 2 BR Condo Just Steps From the Heated Pool and Spa!,N/A,"{'latitude': 32.45256042480469, 'longitude': -110.97752380371094}",N/A,N/A,N/A,136,N/A
