Name,Description,Coordinates,Hotel Class,Link,Ratings,Reviews,Reviews Breakdown
Sahuarita Home: 22 Mi to Saguaro Nat'l Park!,N/A,"{'latitude': 31.977157592773438, 'longitude': -110.85134887695312}",N/A,http://g.rentalsunited.com/gate.aspx?uid=554691&url=1&pid=3230406&lc=google,N/A,19,N/A
Quiet Tucson Vacation Home: 12 Mi to Downtown!,N/A,"{'latitude': 32.12342071533203, 'longitude': -110.85335540771484}",N/A,http://g.rentalsunited.com/gate.aspx?uid=554691&url=1&pid=3862017&lc=google,N/A,N/A,N/A
Cozy Mtn-View Vail Home with Heated Pool!,N/A,"{'latitude': 32.00252914428711, 'longitude': -110.69454956054688}",N/A,N/A,N/A,5,N/A
Cozy Mtn-view Vail Home w/ Heated Pool!,N/A,"{'latitude': 32.002532958984375, 'longitude': -110.69454956054688}",N/A,https://www.us.despegar.com/hotels/h-4804441,N/A,N/A,N/A
Cozy Desert Gem with Pool and Hot tub,N/A,"{'latitude': 31.954410552978516, 'longitude': -110.77708435058594}",N/A,N/A,N/A,21,N/A
Peaceful Vail Home Rooftop Deck,N/A,"{'latitude': 32.08002853393555, 'longitude': -110.69915771484375}",N/A,N/A,N/A,6,N/A
Spectacular Home Community Pools & Pickleball,N/A,"{'latitude': 32.11353302001953, 'longitude': -110.84949493408203}",N/A,https://holidayhomesfamily.holidayfuture.com/listings/318201?googleVR=1,N/A,1,N/A
Del Lago,N/A,"{'latitude': 32.05899429321289, 'longitude': -110.69425201416016}",N/A,https://platform.hostfully.com/vacation-rental-property-v2/87816/del-lago,N/A,N/A,N/A
Hot Tub & Mtn Views: Family-Friendly Vail Rental!,N/A,"{'latitude': 32.11566925048828, 'longitude': -110.60782623291016}",N/A,http://g.rentalsunited.com/gate.aspx?uid=554691&url=1&pid=3898759&lc=google,N/A,N/A,N/A
Vail Vintage Vista,N/A,"{'latitude': 32.058101654052734, 'longitude': -110.71871948242188}",N/A,https://www.us.despegar.com/hotels/h-6322865,N/A,N/A,N/A
Casa las Cachoras,N/A,"{'latitude': 31.967117309570312, 'longitude': -110.69252014160156}",N/A,N/A,N/A,1,N/A
Adorable 1Bed 1.5Bath Casita,N/A,"{'latitude': 32.14405059814453, 'longitude': -110.76445770263672}",N/A,https://www.bluepillow.com/search?p_id=589e01147c00cb10c8dafdcc&dest=bpvr&cat=House&accomodationids=63975771b05b4aeb869b25d2,N/A,1,N/A
"Dream Vacation- Executive Retreat in Beautiful Vail, AZ",N/A,"{'latitude': 32.05738067626953, 'longitude': -110.70393371582031}",N/A,N/A,N/A,41,N/A
Desert Ranch Home + 3 Horse stalls. Views of the Rincon Mountains,N/A,"{'latitude': 32.10053634643555, 'longitude': -110.72407531738281}",N/A,N/A,N/A,12,N/A
"Snowbirds welcome!  Scenic desert, quiet sunshine, Mountain Views, hiking/biking",N/A,"{'latitude': 31.962310791015625, 'longitude': -110.75934600830078}",N/A,https://www.vrbo.com/3728533?MDPCID=VRBO-META.HPA.WEB-ORGANIC.VR,N/A,N/A,N/A
Brand New Vail Getaway with Gorgeous Views!,N/A,"{'latitude': 32.04766082763672, 'longitude': -110.72456359863281}",N/A,https://www.bluepillow.com/search?p_id=589e01147c00cb10c8dafdcc&dest=bpvr&cat=House&accomodationids=64906d39ba24250813c02a08,N/A,1,N/A
Tranquil bbq pool home,N/A,"{'latitude': 32.05445098876953, 'longitude': -110.71803283691406}",N/A,N/A,N/A,N/A,N/A
Desert Gem Guest House nestled among lush Mesquite trees.,N/A,"{'latitude': 32.11558151245117, 'longitude': -110.72650146484375}",N/A,https://www.bluepillow.com/search?p_id=589e01147c00cb10c8dafdcc&dest=bpex&cat=House&accomodationids=65cb933e3e6d928972fcaf41,N/A,N/A,N/A
