Name,Description,Coordinates,Hotel Class,Link,Ratings,Reviews,Reviews Breakdown
Mirage Shadow,N/A,"{'latitude': 32.529090881347656, 'longitude': -110.88167572021484}",N/A,https://www.vacasa.com/unit/119832,N/A,N/A,N/A
Saddlebrooke Home with Private Pool and Amenities,N/A,"{'latitude': 32.534629821777344, 'longitude': -110.88530731201172}",N/A,N/A,N/A,4,N/A
Vistoso Village Place,N/A,"{'latitude': 32.44835662841797, 'longitude': -110.93777465820312}",N/A,https://www.vacasa.com/unit/19986,N/A,77,N/A
Precious Shard,N/A,"{'latitude': 32.448097229003906, 'longitude': -110.93816375732422}",N/A,https://www.vacasa.com/unit/115708,N/A,7,N/A
Out of town country properties,N/A,"{'latitude': 32.474300384521484, 'longitude': -110.89232635498047}",N/A,N/A,N/A,80,N/A
"Clean, Single-Story Home With Mountain Views  Washer/Dryer!",N/A,"{'latitude': 32.49422073364258, 'longitude': -110.9122085571289}",N/A,https://www.bluepillow.com/search?p_id=589e01087c00cb10c8dafd39&dest=bpvr&cat=House&accomodationids=64907059ba24250813c332d8,N/A,7,N/A
Catalina Haven 3 Br By Casago,N/A,"{'latitude': 32.50910186767578, 'longitude': -110.92410278320312}",N/A,https://www.super.com/travel/hotels/WNmpx92G?utm_source=gha_vr&utm_campaign=static,N/A,N/A,N/A
Charming 2-bedroom house in brilliant Tucson a great area,N/A,"{'latitude': 32.475128173828125, 'longitude': -110.89413452148438}",N/A,N/A,N/A,N/A,N/A
Oro Valley Vista with Sweeping Desert Views,N/A,"{'latitude': 32.451988220214844, 'longitude': -110.93577575683594}",N/A,https://booking.tucsonvacationrentals.com/property-details/b1f21b7c-c573-40fb-b351-633617952677/oro-valley-vista-with-desert-views,N/A,N/A,N/A
Nestled in Catalina Mountains with Amazing Views and sunsets.,N/A,"{'latitude': 32.48921203613281, 'longitude': -110.88187408447266}",N/A,N/A,N/A,5,N/A
Sun City Vistoso,N/A,"{'latitude': 32.4726448059082, 'longitude': -110.95140838623047}",N/A,https://www.vacasa.com/unit/101221,N/A,9,N/A
Tucson Home w/ Private Pool & Mountain Views!,N/A,"{'latitude': 32.5248908996582, 'longitude': -110.9185791015625}",N/A,http://g.rentalsunited.com/gate.aspx?uid=554691&url=1&pid=3100067&lc=google,N/A,42,N/A
Come experience a Mini-Home w/ Great views!,N/A,"{'latitude': 32.507728576660156, 'longitude': -110.89710235595703}",N/A,https://www.bluepillow.com/search?p_id=589e01087c00cb10c8dafd39&dest=bpvr&cat=House&accomodationids=6217593aa7239796806edb93,N/A,6,N/A
"WINTER WHERE IT'S WARMER! One-Story,  Patio w/ Mountain Views & Washer/Dryer!",N/A,"{'latitude': 32.49214553833008, 'longitude': -110.91303253173828}",N/A,https://www.vrbo.com/3392847?MDPCID=VRBO-META.HPA.WEB-ORGANIC.VR,N/A,13,N/A
Sun City Vistoso #14093,N/A,"{'latitude': 32.46164321899414, 'longitude': -110.94184112548828}",N/A,https://www.vacasa.com/unit/13135,N/A,29,N/A
"Winter in sunny Tucson, Adult Resort Home #2",N/A,"{'latitude': 32.50996017456055, 'longitude': -110.90721893310547}",N/A,https://www.us.despegar.com/hotels/h-6000232,N/A,N/A,N/A
"Cheerful 2 Bedroom, Stunning Mountain Views!",N/A,"{'latitude': 32.535499572753906, 'longitude': -110.88500213623047}",N/A,https://holidayhomesfamily.holidayfuture.com/listings/111034?googleVR=1,N/A,11,N/A
Saddlebrooke #64355,N/A,"{'latitude': 32.536407470703125, 'longitude': -110.87955474853516}",N/A,https://www.booking.com/hotel/us/saddlebrooke-64355.en.html?aid=2068758;label=seogooglelocal-link-imagesaow-hotel-7680771_grp-3_gendate-20240917;utm_source=seogooglelocal;utm_medium=description;utm_term=hotel-7680771;utm_campaign=en,N/A,N/A,N/A
