Name,Description,Coordinates,Hotel Class,Link,Ratings,Reviews,Reviews Breakdown
Charming Green Valley Townhome w/ Community Pool!,N/A,"{'latitude': 31.85531997680664, 'longitude': -110.99401092529297}",N/A,http://g.rentalsunited.com/gate.aspx?uid=554691&url=1&pid=3800957&lc=google,N/A,4,N/A
Lovely Green Valley Abode w/ Community Pool!,N/A,"{'latitude': 31.86353874206543, 'longitude': -110.99262237548828}",N/A,http://g.rentalsunited.com/gate.aspx?uid=554691&url=1&pid=3223092&lc=google,N/A,20,N/A
Lovely Green Valley Abode with Community Pool!,N/A,"{'latitude': 31.863540649414062, 'longitude': -110.99262237548828}",N/A,N/A,N/A,N/A,N/A
Active Adult Community Villa w/ Patio + Pool!,N/A,"{'latitude': 31.80272674560547, 'longitude': -111.02459716796875}",N/A,http://g.rentalsunited.com/gate.aspx?uid=554691&url=1&pid=3497735&lc=google,N/A,3,N/A
Active Adult Community Villa with Patio and Pool!,N/A,"{'latitude': 31.802730560302734, 'longitude': -111.02459716796875}",N/A,N/A,N/A,N/A,N/A
Green Valley Townhome w/ Patio & Resort Amenities,N/A,"{'latitude': 31.87428092956543, 'longitude': -110.99588775634766}",N/A,http://g.rentalsunited.com/gate.aspx?uid=554691&url=1&pid=3139109&lc=google,N/A,51,N/A
"Continental Vistas Townhome in Green Valley, AZ - 55+ desirable community.",N/A,"{'latitude': 31.856849670410156, 'longitude': -111.00270080566406}",N/A,https://www.bluepillow.com/search?p_id=589e010c7c00cb10c8dafd62&dest=bpvr&cat=House&accomodationids=62174a76a72397968068eefb,N/A,10,N/A
Green Valley Casita - View !,N/A,"{'latitude': 31.825773239135742, 'longitude': -111.01738739013672}",N/A,https://greenvalleycasita.lodgify.com/listing/en/507341,N/A,2,N/A
Charming Condo Green Valley 55+,N/A,"{'latitude': 31.866802215576172, 'longitude': -110.99889373779297}",N/A,https://holidayhomesfamily.holidayfuture.com/listings/294660?googleVR=1,N/A,5,N/A
"2-BEDROOM, Green Valley West Villa: Fully Furnished, All New Appliances",N/A,"{'latitude': 31.869319915771484, 'longitude': -110.99609375}",N/A,N/A,N/A,21,N/A
Green Valley Townhome with Resort Amenities!,N/A,"{'latitude': 31.855440139770508, 'longitude': -110.99371337890625}",N/A,N/A,N/A,25,N/A
"Fully furnished, 2 bed/1 bath villa in Green Valley, AZ.",N/A,"{'latitude': 31.864900588989258, 'longitude': -110.99288177490234}",N/A,N/A,N/A,26,N/A
Pet-Friendly Green Valley Home w/ Golf Gear!,N/A,"{'latitude': 31.841951370239258, 'longitude': -110.99589538574219}",N/A,http://g.rentalsunited.com/gate.aspx?uid=554691&url=1&pid=3778462&lc=google,N/A,4,N/A
Green Valley Rental,N/A,"{'latitude': 31.811559677124023, 'longitude': -111.00357818603516}",N/A,N/A,N/A,8,N/A
Pet Friendly Green Valley Mountain Oasis With Views 4 Mi to Golf,N/A,"{'latitude': 31.806949615478516, 'longitude': -111.03932189941406}",N/A,https://www.bringfido.com/lodging/1768549?aid=googlerentals-website,N/A,N/A,N/A
"New Home in Sahuarita, AZ",N/A,"{'latitude': 31.866193771362305, 'longitude': -110.96791076660156}",N/A,N/A,N/A,N/A,N/A
"Fully furnished, 2 bed\/1 bath villa in Green Valley, AZ.",N/A,"{'latitude': 31.864904403686523, 'longitude': -110.99288177490234}",N/A,https://deals.vio.com?sig=73aca13c7f952d2641c156f3e69125e1eb497c325f122828ee5aa8797168b9a12d32303331333438363233&turl=https%3A%2F%2Fwww.vio.com%2FHotel%2FSearch%3FhotelId%3D91067600%26utm_source%3Dgha-vr%26utm_campaign%3Dstatic%26openHotelDetails%3D1,N/A,N/A,N/A
Just listed gorgeous renovated Villas West Condo,N/A,"{'latitude': 31.869380950927734, 'longitude': -110.99803161621094}",N/A,N/A,N/A,3,N/A
