Name,Description,Coordinates,Latitude,Longitude,Hotel Class,Link,Ratings,Reviews,Reviews Breakdown,Address
Comfort Suites at Sabino Canyon,"Informal, hacienda-inspired hotel offering an outdoor pool & courtyard gardens, plus free breakfast.","{'latitude': 32.2517977, 'longitude': -110.8432558}",32.2517977,-110.8432558,3,https://www.choicehotels.com/arizona/tucson/comfort-suites-hotels/az023?mc=llgoxxpx,"[{'stars': 5, 'count': 294}, {'stars': 4, 'count': 169}, {'stars': 3, 'count': 54}, {'stars': 2, 'count': 24}, {'stars': 1, 'count': 39}]",580,"[{'name': 'Breakfast', 'description': 'Breakfast', 'total_mentioned': 88, 'positive': 73, 'negative': 10, 'neutral': 5}, {'name': 'Restaurant', 'description': 'Restaurant', 'total_mentioned': 43, 'positive': 33, 'negative': 5, 'neutral': 5}, {'name': 'Location', 'description': 'Location', 'total_mentioned': 75, 'positive': 54, 'negative': 10, 'neutral': 11}, {'name': 'Fitness', 'description': 'Fitness', 'total_mentioned': 35, 'positive': 27, 'negative': 4, 'neutral': 4}, {'name': 'Bar', 'description': 'Bar or lounge', 'total_mentioned': 23, 'positive': 20, 'negative': 1, 'neutral': 2}, {'name': 'Hot Tub', 'description': 'Hot tub', 'total_mentioned': 9, 'positive': 7, 'negative': 1, 'neutral': 1}]","Comfort Inn & Suites, 7007, East Tanque Verde Road, Tucson, Pima County, Arizona, 85715, United States"
"La Posada Lodge & Casitas, Ascend Hotel Collection","Pet-friendly, southwestern-style B&B with a restaurant, a courtyard, a pool & free WiFi & breakfast.","{'latitude': 32.3140958, 'longitude': -110.97694539999999}",32.3140958,-110.9769454,3,https://www.choicehotels.com/arizona/tucson/ascend-hotels/az389?mc=llgoxxpx,"[{'stars': 5, 'count': 596}, {'stars': 4, 'count': 237}, {'stars': 3, 'count': 105}, {'stars': 2, 'count': 59}, {'stars': 1, 'count': 86}]",1083,"[{'name': 'Pets', 'description': 'Pets', 'total_mentioned': 31, 'positive': 23, 'negative': 3, 'neutral': 5}, {'name': 'Nature', 'description': 'Nature and outdoor activities', 'total_mentioned': 35, 'positive': 33, 'negative': 1, 'neutral': 1}, {'name': 'Couples', 'description': 'Couple friendly', 'total_mentioned': 11, 'positive': 4, 'negative': 5, 'neutral': 2}, {'name': 'Hot Tub', 'description': 'Hot tub', 'total_mentioned': 29, 'positive': 21, 'negative': 7, 'neutral': 1}, {'name': 'Air Conditioning', 'description': 'Air conditioning', 'total_mentioned': 22, 'positive': 6, 'negative': 14, 'neutral': 2}, {'name': 'Nightlife', 'description': 'Nightlife', 'total_mentioned': 10, 'positive': 3, 'negative': 3, 'neutral': 4}]","La Posada Lodge & Casitas, Ascend Hotel Collection, 5900, North Oracle Road, Tucson, Pima County, Arizona, 85704, United States"
InTown Suites Extended Stay Tucson AZ,,"{'latitude': 32.338291999999996, 'longitude': -111.05791699999999}",32.338292,-111.057917,2,https://www.intownsuites.com/extended-stay-hotels/arizona/tucson/west-ina-rd/,"[{'stars': 5, 'count': 118}, {'stars': 4, 'count': 46}, {'stars': 3, 'count': 39}, {'stars': 2, 'count': 26}, {'stars': 1, 'count': 57}]",286,"[{'name': 'Sleep', 'description': 'Sleep', 'total_mentioned': 30, 'positive': 5, 'negative': 22, 'neutral': 3}, {'name': 'Kitchen', 'description': 'Kitchen', 'total_mentioned': 18, 'positive': 6, 'negative': 9, 'neutral': 3}, {'name': 'Service', 'description': 'Service', 'total_mentioned': 87, 'positive': 48, 'negative': 33, 'neutral': 6}, {'name': 'Pets', 'description': 'Pets', 'total_mentioned': 7, 'positive': 1, 'negative': 4, 'neutral': 2}, {'name': 'Cleanliness', 'description': 'Cleanliness', 'total_mentioned': 69, 'positive': 48, 'negative': 21, 'neutral': 0}, {'name': 'Property', 'description': 'Property', 'total_mentioned': 81, 'positive': 50, 'negative': 23, 'neutral': 8}]","InTown Suites Tucson, 4314, West Ina Road, Tucson, Pima County, Arizona, 85741, United States"
Westward Look Wyndham Grand Resort and Spa,"Upmarket desert hotel with an outdoor pool & chic dining, plus a day spa & free Wi-Fi.","{'latitude': 32.3426341, 'longitude': -110.9652996}",32.3426341,-110.9652996,4,https://www.wyndhamhotels.com/wyndham-grand/tucson-arizona/westward-look-wyndham-grand-resort-and-spa/overview?CID=LC:46q62bu8edfbx3y:46291&iata=00093796,"[{'stars': 5, 'count': 1292}, {'stars': 4, 'count': 461}, {'stars': 3, 'count': 174}, {'stars': 2, 'count': 78}, {'stars': 1, 'count': 70}]",2075,"[{'name': 'Nature', 'description': 'Nature and outdoor activities', 'total_mentioned': 176, 'positive': 167, 'negative': 4, 'neutral': 5}, {'name': 'Wellness', 'description': 'Wellness', 'total_mentioned': 64, 'positive': 46, 'negative': 10, 'neutral': 8}, {'name': 'Couples', 'description': 'Couple friendly', 'total_mentioned': 55, 'positive': 43, 'negative': 3, 'neutral': 9}, {'name': 'Nightlife', 'description': 'Nightlife', 'total_mentioned': 54, 'positive': 37, 'negative': 5, 'neutral': 12}, {'name': 'Spa', 'description': 'Spa', 'total_mentioned': 43, 'positive': 32, 'negative': 8, 'neutral': 3}, {'name': 'Pets', 'description': 'Pets', 'total_mentioned': 16, 'positive': 8, 'negative': 6, 'neutral': 2}]","Westward Look Resort, North Westward Look Drive, Oro Valley, Pima County, Arizona, 85704, United States"
Extended Stay America - Tucson - Grant Road,Warmly decorated suites with kitchenettes in a down-to-earth hotel offering complimentary breakfast.,"{'latitude': 32.250015, 'longitude': -110.8847164}",32.250015,-110.8847164,2,https://www.extendedstayamerica.com/hotels/az/tucson/grant-road?channel=gmb-listing&utm_source=google&utm_medium=organic&utm_campaign=gmb_listing,"[{'stars': 5, 'count': 419}, {'stars': 4, 'count': 180}, {'stars': 3, 'count': 123}, {'stars': 2, 'count': 61}, {'stars': 1, 'count': 112}]",895,"[{'name': 'Kitchen', 'description': 'Kitchen', 'total_mentioned': 83, 'positive': 51, 'negative': 25, 'neutral': 7}, {'name': 'Pets', 'description': 'Pets', 'total_mentioned': 21, 'positive': 8, 'negative': 11, 'neutral': 2}, {'name': 'Location', 'description': 'Location', 'total_mentioned': 83, 'positive': 62, 'negative': 12, 'neutral': 9}, {'name': 'Cleanliness', 'description': 'Cleanliness', 'total_mentioned': 214, 'positive': 144, 'negative': 60, 'neutral': 10}, {'name': 'Service', 'description': 'Service', 'total_mentioned': 279, 'positive': 214, 'negative': 51, 'neutral': 14}, {'name': 'Breakfast', 'description': 'Breakfast', 'total_mentioned': 35, 'positive': 12, 'negative': 20, 'neutral': 3}]","Extended Stay America, 550, East Grant Road, Tucson, Pima County, Arizona, 85712, United States"
"El Conquistador Tucson, A Hilton Resort","Tennis & golf resort hotel on a 500-acre site with pools, eateries, a spa & fitness center.","{'latitude': 32.3861132, 'longitude': -110.956662}",32.3861132,-110.956662,4,https://www.hilton.com/en/hotels/tushthh-el-conquistador-tucson/?SEO_id=GMB-AMER-HH-TUSHTHH&y_source=1_MTIyMDc2My03MTUtbG9jYXRpb24ud2Vic2l0ZQ%3D%3D,"[{'stars': 5, 'count': 1876}, {'stars': 4, 'count': 675}, {'stars': 3, 'count': 218}, {'stars': 2, 'count': 143}, {'stars': 1, 'count': 188}]",3100,"[{'name': 'Bar', 'description': 'Bar or lounge', 'total_mentioned': 191, 'positive': 108, 'negative': 62, 'neutral': 21}, {'name': 'Service', 'description': 'Service', 'total_mentioned': 822, 'positive': 574, 'negative': 199, 'neutral': 49}, {'name': 'Property', 'description': 'Property', 'total_mentioned': 901, 'positive': 634, 'negative': 199, 'neutral': 68}, {'name': 'Business', 'description': 'Business', 'total_mentioned': 138, 'positive': 72, 'negative': 36, 'neutral': 30}, {'name': 'Fitness', 'description': 'Fitness', 'total_mentioned': 435, 'positive': 302, 'negative': 85, 'neutral': 48}, {'name': 'Nightlife', 'description': 'Nightlife', 'total_mentioned': 49, 'positive': 23, 'negative': 15, 'neutral': 11}]","Hilton El Conquistador Hotel, Maria Isabel, Oro Valley, Pima County, Arizona, 85737, United States"
Best Western InnSuites Tucson Foothills Hotel & Suites,"Laid-back hotel offering free Wi-Fi, breakfast & parking, plus an outdoor pool, a gym & a sundeck.","{'latitude': 32.3193866, 'longitude': -110.9756967}",32.3193866,-110.9756967,3,https://www.bestwestern.com/en_US/book/hotel-rooms.03093.html?iata=00171880&ssob=BLBWI0004G&cid=BLBWI0004G:google:gmb:03093,"[{'stars': 5, 'count': 1015}, {'stars': 4, 'count': 571}, {'stars': 3, 'count': 280}, {'stars': 2, 'count': 138}, {'stars': 1, 'count': 248}]",2252,"[{'name': 'Pets', 'description': 'Pets', 'total_mentioned': 36, 'positive': 18, 'negative': 15, 'neutral': 3}, {'name': 'Hot Tub', 'description': 'Hot tub', 'total_mentioned': 90, 'positive': 47, 'negative': 29, 'neutral': 14}, {'name': 'Transit', 'description': 'Public transit', 'total_mentioned': 12, 'positive': 9, 'negative': 2, 'neutral': 1}, {'name': 'Nightlife', 'description': 'Nightlife', 'total_mentioned': 23, 'positive': 10, 'negative': 11, 'neutral': 2}, {'name': 'Air Conditioning', 'description': 'Air conditioning', 'total_mentioned': 37, 'positive': 10, 'negative': 27, 'neutral': 0}, {'name': 'Wellness', 'description': 'Wellness', 'total_mentioned': 14, 'positive': 6, 'negative': 6, 'neutral': 2}]","Best Western, 6201, North Oracle Road, Valley View, Tucson, Pima County, Arizona, 85704, United States"
Fairfield Inn & Suites Tucson North/Oro Valley,"Relaxed hotel with an outdoor pool, a hot tub & a fitness area, plus free WiFi & hot breakfast.","{'latitude': 32.3904981, 'longitude': -110.96302759999999}",32.3904981,-110.9630276,2,https://www.marriott.com/en-us/hotels/tusor-fairfield-inn-and-suites-tucson-north-oro-valley/overview/?scid=f2ae0541-1279-4f24-b197-a979c79310b0,"[{'stars': 5, 'count': 217}, {'stars': 4, 'count': 137}, {'stars': 3, 'count': 55}, {'stars': 2, 'count': 30}, {'stars': 1, 'count': 42}]",481,"[{'name': 'Breakfast', 'description': 'Breakfast', 'total_mentioned': 70, 'positive': 52, 'negative': 12, 'neutral': 6}, {'name': 'Service', 'description': 'Service', 'total_mentioned': 122, 'positive': 90, 'negative': 28, 'neutral': 4}, {'name': 'Property', 'description': 'Property', 'total_mentioned': 140, 'positive': 81, 'negative': 50, 'neutral': 9}, {'name': 'Cleanliness', 'description': 'Cleanliness', 'total_mentioned': 101, 'positive': 67, 'negative': 26, 'neutral': 8}, {'name': 'Restaurant', 'description': 'Restaurant', 'total_mentioned': 38, 'positive': 27, 'negative': 7, 'neutral': 4}, {'name': 'Bathroom', 'description': 'Bathroom and toiletries', 'total_mentioned': 50, 'positive': 11, 'negative': 36, 'neutral': 3}]","10150, North Oracle Road, Oro Valley, Pima County, Arizona, 85737, United States"
La Quinta Inn & Suites by Wyndham Tucson - Reid Park,"Colorful quarters in a casual hotel featuring a gym & an outdoor pool, plus a bar & free breakfast.","{'latitude': 32.223771500000005, 'longitude': -110.9087333}",32.223771500000005,-110.9087333,3,https://www.wyndhamhotels.com/laquinta/tucson-arizona/la-quinta-tucson-reid-park/overview?CID=LC:6ysy27krtpcrqev:23863&iata=00093796,"[{'stars': 5, 'count': 609}, {'stars': 4, 'count': 386}, {'stars': 3, 'count': 199}, {'stars': 2, 'count': 101}, {'stars': 1, 'count': 150}]",1445,"[{'name': 'Breakfast', 'description': 'Breakfast', 'total_mentioned': 202, 'positive': 144, 'negative': 38, 'neutral': 20}, {'name': 'Pets', 'description': 'Pets', 'total_mentioned': 47, 'positive': 27, 'negative': 16, 'neutral': 4}, {'name': 'Restaurant', 'description': 'Restaurant', 'total_mentioned': 105, 'positive': 82, 'negative': 17, 'neutral': 6}, {'name': 'Fitness', 'description': 'Fitness', 'total_mentioned': 112, 'positive': 78, 'negative': 23, 'neutral': 11}, {'name': 'Cleanliness', 'description': 'Cleanliness', 'total_mentioned': 316, 'positive': 165, 'negative': 135, 'neutral': 16}, {'name': 'Location', 'description': 'Location', 'total_mentioned': 134, 'positive': 105, 'negative': 20, 'neutral': 9}]","La Quinta Inn & Suites, 102, North Alvernon Way, Tucson, Pima County, Arizona, 85711, United States"
La Quinta Inn & Suites by Wyndham NW Tucson Marana,"Casual lodging with an outdoor pool, plus free continental breakfast & WiFi.","{'latitude': 32.3589622, 'longitude': -111.0935914}",32.3589622,-111.0935914,2,https://www.wyndhamhotels.com/laquinta/tucson-arizona/la-quinta-nw-tucson-marana/overview?CID=LC:6ysy27krtpcrqev:10989&iata=00093796,"[{'stars': 5, 'count': 331}, {'stars': 4, 'count': 144}, {'stars': 3, 'count': 53}, {'stars': 2, 'count': 37}, {'stars': 1, 'count': 45}]",610,"[{'name': 'Pets', 'description': 'Pets', 'total_mentioned': 43, 'positive': 32, 'negative': 7, 'neutral': 4}, {'name': 'Breakfast', 'description': 'Breakfast', 'total_mentioned': 95, 'positive': 65, 'negative': 22, 'neutral': 8}, {'name': 'Sleep', 'description': 'Sleep', 'total_mentioned': 78, 'positive': 37, 'negative': 34, 'neutral': 7}, {'name': 'Restaurant', 'description': 'Restaurant', 'total_mentioned': 47, 'positive': 32, 'negative': 9, 'neutral': 6}, {'name': 'Service', 'description': 'Service', 'total_mentioned': 162, 'positive': 111, 'negative': 42, 'neutral': 9}, {'name': 'Property', 'description': 'Property', 'total_mentioned': 196, 'positive': 149, 'negative': 40, 'neutral': 7}]","La Quinta Inn & Suites NW Tucson Marana, 6020, West Hospitality Road, Tucson, Pima County, Arizona, 85743, United States"
