Name,Description,Coordinates,Hotel Class,Link,Ratings,Reviews,Reviews Breakdown
Northwest Jr Suite #4 with Laundry and Parking,N/A,"{'latitude': 32.339237213134766, 'longitude': -111.052978515625}",N/A,https://www.staypremier.com/listing/en/501877,N/A,7,N/A
Jupiter Coyote,N/A,"{'latitude': 32.34358596801758, 'longitude': -111.05435943603516}",N/A,https://www.vacasa.com/unit/78238,N/A,69,N/A
Charming Tucson Home with Covered Patio and Grill!,N/A,"{'latitude': 32.30467987060547, 'longitude': -111.0302734375}",N/A,N/A,N/A,3,N/A
Dos Lagos,N/A,"{'latitude': 32.45958709716797, 'longitude': -111.09555053710938}",N/A,https://www.vacasa.com/unit/67444,N/A,46,N/A
"Cozy, beautiful Casita in Marana Az",N/A,"{'latitude': 32.418270111083984, 'longitude': -111.05863189697266}",N/A,https://www.bluepillow.com/search?p_id=589e010f7c00cb10c8dafd7b&dest=bpex&cat=Apartment&accomodationids=65cb2cef3e6d928972f4b632,N/A,N/A,N/A
Private Desert Retreat w/Mt Views- La Cholla Vista,N/A,"{'latitude': 32.359130859375, 'longitude': -111.13613891601562}",N/A,https://www.1stclassvacationrentals.com/listing/en/527510,N/A,N/A,N/A
White Stallion Ranch,N/A,"{'latitude': 32.38090133666992, 'longitude': -111.16600036621094}",N/A,https://www.super.com/travel/hotels/jxvaLVkW?utm_source=gha_vr&utm_campaign=static,N/A,N/A,N/A
Architectural digest in the Sonoran desert,N/A,"{'latitude': 32.334529876708984, 'longitude': -111.10027313232422}",N/A,N/A,N/A,367,N/A
Landing at Silverbell Springs - 2 Bedrooms in Silverbell Place,N/A,"{'latitude': 32.344993591308594, 'longitude': -111.09800720214844}",N/A,https://landing.holidayfuture.com/listings/225973?googleVR=1,N/A,N/A,N/A
Contemporary Marana Home with a Mountain View,N/A,"{'latitude': 32.38204574584961, 'longitude': -111.1578598022461}",N/A,N/A,N/A,78,N/A
Luxe Guest House on Peaceful 4 Acres | Hot Tub,N/A,"{'latitude': 32.389408111572266, 'longitude': -111.0477066040039}",N/A,https://reservations.vacayintucson.com/property-details/4e7e7bf7-680e-4e60-b21a-2bd04d5bfaf2/Luxe%20Guest%20House%20on%20Peaceful%204%20Acres%20%7C%20Hot%20Tub,N/A,10,N/A
Unique Desert Home ~ 6 Mi to Downtown Tucson!,N/A,"{'latitude': 32.294498443603516, 'longitude': -111.05137634277344}",N/A,N/A,N/A,N/A,N/A
Adobe Home w\/ Mt Views -Hacienda Del Cholla,N/A,"{'latitude': 32.3591423034668, 'longitude': -111.1361312866211}",N/A,https://deals.vio.com?sig=73aca13c7f952d2641c156f3e69125e1eb497c325f122828ee5aa8797168b9a12d32303331333438363233&turl=https%3A%2F%2Fwww.vio.com%2FHotel%2FSearch%3FhotelId%3D91183812%26utm_source%3Dgha-vr%26utm_campaign%3Dstatic%26openHotelDetails%3D1,N/A,N/A,N/A
"Private Oasis near Ritz Carlton, on 5 acres, stunning views, spa",N/A,"{'latitude': 32.43702697753906, 'longitude': -111.05028533935547}",N/A,N/A,N/A,68,N/A
3BR / 2BA Northwest Topgolf Area with Pool,N/A,"{'latitude': 32.32783126831055, 'longitude': -111.04014587402344}",N/A,https://www.staypremier.com/listing/en/610709,N/A,N/A,N/A
Peaceful Quiet Home In The Desert,N/A,"{'latitude': 32.33177185058594, 'longitude': -111.09586334228516}",N/A,https://www.us.despegar.com/hotels/h-5971519,N/A,N/A,N/A
Fallen Shadows,N/A,"{'latitude': 32.43500518798828, 'longitude': -111.0680923461914}",N/A,https://www.vacasa.com/unit/22012,N/A,163,N/A
Like Glamping But Better in an Iconic Airstream,N/A,"{'latitude': 32.38917541503906, 'longitude': -111.04741668701172}",N/A,https://reservations.vacayintucson.com/property-details/2ccbf40d-a594-47f9-a703-94c81bca7eeb/Like%20Glamping%20But%20Better%20in%20an%20Iconic%20Airstream,N/A,8,N/A
