Name,Description,Coordinates,Hotel Class,Link,Ratings,Reviews,Reviews Breakdown
Lovely Green Valley Abode w/ Community Pool!,N/A,"{'latitude': 31.86353874206543, 'longitude': -110.99262237548828}",N/A,http://g.rentalsunited.com/gate.aspx?uid=554691&url=1&pid=3223092&lc=google,N/A,20,N/A
580 ft² Apartment ∙ 1 bedroom ∙ 4 guests,N/A,"{'latitude': 31.85531997680664, 'longitude': -110.99401092529297}",N/A,N/A,N/A,N/A,N/A
Lovely Green Valley Abode with Community Pool!,N/A,"{'latitude': 31.863540649414062, 'longitude': -110.99262237548828}",N/A,N/A,N/A,N/A,N/A
55+ COMMUNITY - 6 MONTH RENTAL (MONTHLY RENTAL FEE),N/A,"{'latitude': 31.960905075073242, 'longitude': -110.994140625}",N/A,N/A,N/A,N/A,N/A
"New Home in Sahuarita, AZ",N/A,"{'latitude': 31.866193771362305, 'longitude': -110.96791076660156}",N/A,N/A,N/A,N/A,N/A
The Cabin at Sahuarita Village,N/A,"{'latitude': 31.947959899902344, 'longitude': -110.93437957763672}",N/A,https://holidayhomesfamily.holidayfuture.com/listings/265963?googleVR=1,N/A,13,N/A
Green Valley Townhome with Community Amenities!,N/A,"{'latitude': 31.885089874267578, 'longitude': -110.94937896728516}",N/A,N/A,N/A,N/A,N/A
Green Valley Townhome w/ Patio & Resort Amenities,N/A,"{'latitude': 31.87428092956543, 'longitude': -110.99588775634766}",N/A,http://g.rentalsunited.com/gate.aspx?uid=554691&url=1&pid=3139109&lc=google,N/A,51,N/A
Just listed gorgeous renovated Villas West Condo,N/A,"{'latitude': 31.869380950927734, 'longitude': -110.99803161621094}",N/A,N/A,N/A,3,N/A
Green Valley Townhome w/ Community Amenities!,N/A,"{'latitude': 31.88509178161621, 'longitude': -110.94938659667969}",N/A,http://g.rentalsunited.com/gate.aspx?uid=554691&url=1&pid=3722745&lc=google,N/A,N/A,N/A
Design Dream | 4 BR 3 BA | Garage | View | Upscale,N/A,"{'latitude': 31.920732498168945, 'longitude': -110.98843383789062}",N/A,https://figandtoast.hospitable.rentals/property/design-dream-upscale-4-br-3-ba-garage,N/A,870,N/A
Green Valley Townhome w/ Resort Amenities!,N/A,"{'latitude': 31.855440139770508, 'longitude': -110.99371337890625}",N/A,http://g.rentalsunited.com/gate.aspx?uid=554691&url=1&pid=3092733&lc=google,N/A,30,N/A
Private Condo in Arizona Sunshine. Furnished for long or short term Rental,N/A,"{'latitude': 31.864154815673828, 'longitude': -110.9973373413086}",N/A,N/A,N/A,N/A,N/A
"Welcome to the Retreat, a private home in Sahuarita, AZ",N/A,"{'latitude': 31.91300392150879, 'longitude': -110.9939956665039}",N/A,N/A,N/A,19,N/A
"Beautiful 55+ Quail Creek Resort Community near Tucson, AZ.  Nearly new home!",N/A,"{'latitude': 31.879426956176758, 'longitude': -110.93269348144531}",N/A,https://www.vrbo.com/3996032?MDPCID=VRBO-META.HPA.WEB-ORGANIC.VR,N/A,N/A,N/A
Green Valley Vacation Rental Apt w/ Patio & Grill!,N/A,"{'latitude': 31.86764144897461, 'longitude': -110.98617553710938}",N/A,http://g.rentalsunited.com/gate.aspx?uid=554691&url=1&pid=3639750&lc=google,N/A,N/A,N/A
"Pet-Friendly 2BD/2BA townhouse, perfect for you and your furry friend.",N/A,"{'latitude': 31.879919052124023, 'longitude': -110.99725341796875}",N/A,N/A,N/A,3,N/A
Sahuarita Retreat with Grill about 24 Mi to Tucson!,N/A,"{'latitude': 31.87965965270996, 'longitude': -110.9679183959961}",N/A,N/A,N/A,6,N/A
