Name,Description,Coordinates,Hotel Class,Link,Ratings,Reviews,Reviews Breakdown
Sabino Canyon Gem,N/A,"{'latitude': 32.298763275146484, 'longitude': -110.8255386352539}",N/A,https://www.vacasa.com/unit/19309,N/A,80,N/A
Tucson Studio ~ 2 Mi to University of Arizona!,N/A,"{'latitude': 32.255340576171875, 'longitude': -110.9594955444336}",N/A,http://g.rentalsunited.com/gate.aspx?uid=554691&url=1&pid=3756890&lc=google,N/A,4,N/A
"💖Cozy, Clean&Comfy|Pool&AC|<2 mi UofA&Loop💖",N/A,"{'latitude': 32.257686614990234, 'longitude': -110.94538116455078}",N/A,https://stellarstayllc.hospitable.rentals/property/cozy-cleancomfypoolac2-mi-uofaloop,N/A,599,N/A
Tucson Studio about 2 Mi to University of Arizona!,N/A,"{'latitude': 32.25532913208008, 'longitude': -110.95950317382812}",N/A,N/A,N/A,N/A,N/A
West University Carriage Home & Parking,N/A,"{'latitude': 32.23448944091797, 'longitude': -110.96964263916016}",N/A,https://www.staypremier.com/listing/en/488186,N/A,5,N/A
Updated 2 BR Townhome in Tucson | Laundry,N/A,"{'latitude': 32.238624572753906, 'longitude': -110.89739990234375}",N/A,https://tucson.wishstr.com/property/updated-2-br-townhome-in-tucson-laundry,N/A,238,N/A
Cozy Casita Near U of A and UMC,N/A,"{'latitude': 32.23817443847656, 'longitude': -110.9148941040039}",N/A,https://InnovativeSS.holidayfuture.com/listings/310658?googleVR=1,N/A,9,N/A
Cozy Midtown Flat,N/A,"{'latitude': 32.237586975097656, 'longitude': -110.90067291259766}",N/A,https://azbestvacations.hostexbooking.site/detail?listing_id=102221,N/A,N/A,N/A
Placita Escondida Dream,N/A,"{'latitude': 32.28380584716797, 'longitude': -110.94039154052734}",N/A,https://www.vacasa.com/unit/83237,N/A,84,N/A
Orchard Bungalow,N/A,"{'latitude': 32.25599670410156, 'longitude': -110.89974212646484}",N/A,https://www.vacasa.com/unit/33677,N/A,66,N/A
Near U of A | 2 BR 1 BA | Fenced | Covered Patio,N/A,"{'latitude': 32.23831558227539, 'longitude': -110.96327209472656}",N/A,https://figandtoast.hospitable.rentals/property/gem-2-br-1-ba-fenced-3-min-to-u-of-a,N/A,1800,N/A
Tucson Townhome 3 Mi to University of Arizona!,N/A,"{'latitude': 32.25390625, 'longitude': -110.9170150756836}",N/A,https://www.booking.com/hotel/us/tucson-townhome-3-mi-to-university-of-arizona.en.html?aid=2068758;label=seogooglelocal-link-imagesaow-hotel-12074152_grp-0_gendate-20240917;utm_source=seogooglelocal;utm_medium=description;utm_term=hotel-12074152;utm_campaign=en,N/A,N/A,N/A
The Adobe Hideaway,N/A,"{'latitude': 32.261478424072266, 'longitude': -110.83720397949219}",N/A,N/A,N/A,1,N/A
Lovely Tucson Casita w/ Gas Grill + Mtn Views,N/A,"{'latitude': 32.25630569458008, 'longitude': -110.89976501464844}",N/A,http://g.rentalsunited.com/gate.aspx?uid=554691&url=1&pid=3208663&lc=google,N/A,28,N/A
Sam Hughes,N/A,"{'latitude': 32.223262786865234, 'longitude': -110.93978881835938}",N/A,https://www.vacasa.com/unit/68656,N/A,32,N/A
Cozy Tucson House w/ Patio & Catalina Mtn Views!,N/A,"{'latitude': 32.232810974121094, 'longitude': -110.870361328125}",N/A,http://g.rentalsunited.com/gate.aspx?uid=554691&url=1&pid=3089939&lc=google,N/A,33,N/A
"💖Cute,Clean&Comfy|Pool&AC|<2 mi UofA|Pets OK💖",N/A,"{'latitude': 32.254974365234375, 'longitude': -110.97926330566406}",N/A,https://stellarstayllc.hospitable.rentals/property/cutecleancomfypoolac2-mi-uofapets-ok,N/A,530,N/A
10 Unit D - Casita Arizona,N/A,"{'latitude': 32.28172302246094, 'longitude': -110.96451568603516}",N/A,https://www.booktucson.com/listing/en/402094,N/A,N/A,N/A
