Name,Description,Coordinates,Hotel Class,Link,Ratings,Reviews,Reviews Breakdown
Stunning 1 Bedroom Guest House,N/A,"{'latitude': 34.443790435791016, 'longitude': -119.79818725585938}",N/A,N/A,N/A,N/A,N/A
Studio w\/ Views & Separate Entrance,N/A,"{'latitude': 34.45458984375, 'longitude': -119.78907775878906}",N/A,N/A,N/A,66,N/A
Studio w/ Views  Separate Entrance,N/A,"{'latitude': 34.4545783996582, 'longitude': -119.78907012939453}",N/A,https://www.bluepillow.com/search?p_id=589dfd207c00cb10c8daca9a&dest=bpvr&cat=Apartment&accomodationids=6217502ca7239796806b1304,N/A,64,N/A
newly renovated one bedroom apartment,N/A,"{'latitude': 34.444129943847656, 'longitude': -119.83763122558594}",N/A,https://www.us.despegar.com/hotels/h-6059790,N/A,N/A,N/A
"Cozy studio in peaceful Goleta, 10 minute drive from Downtown Santa Barbara",N/A,"{'latitude': 34.44416427612305, 'longitude': -119.82071685791016}",N/A,https://www.vrbo.com/4140691?MDPCID=VRBO-META.HPA.WEB-ORGANIC.VR,N/A,N/A,N/A
"Cozy Coastal Cottage, Countryside",N/A,"{'latitude': 34.440391540527344, 'longitude': -119.91122436523438}",N/A,N/A,N/A,N/A,N/A
Peaceful Garden Studio For Low-Key Guests - All Pets Welcome!,N/A,"{'latitude': 34.445220947265625, 'longitude': -119.78787994384766}",N/A,https://www.bluepillow.com/search?p_id=589dfd207c00cb10c8daca9a&dest=bpex&cat=Apartment&accomodationids=62339d134c4d8d9b9b7b108b,N/A,N/A,N/A
"Reduced! Expansive Views, Privacy, Pet Friendly",N/A,"{'latitude': 34.445777893066406, 'longitude': -119.7944564819336}",N/A,https://www.vrbo.com/3929287?MDPCID=VRBO-META.HPA.WEB-ORGANIC.VR,N/A,1,N/A
Santa Barbara Foothills Spacious Entertainment Home,N/A,"{'latitude': 34.45541000366211, 'longitude': -119.77061462402344}",N/A,https://www.chaletvoneberz.com/listing/en/437072,N/A,N/A,N/A
"Attached Unit, a few minute walk from the Beach",N/A,"{'latitude': 34.422157287597656, 'longitude': -119.80308532714844}",N/A,N/A,N/A,27,N/A
"30 days minimum: Luxury 1 Bedroom Condo Walking Distance to Golf, Ocean  Hiking",N/A,"{'latitude': 34.43143844604492, 'longitude': -119.90190124511719}",N/A,https://www.bluepillow.com/search?p_id=589dfcd47c00cb10c8dac6ef&dest=bpvr&cat=Apartment&accomodationids=65cc5d78d1633aac917c32ce,N/A,N/A,N/A
Bright and Charming Condo with Beautiful Terrace,N/A,"{'latitude': 34.44468688964844, 'longitude': -119.78839874267578}",N/A,N/A,N/A,1,N/A
Charming 2-bedroom guest house in quiet neighborhood.,N/A,"{'latitude': 34.459442138671875, 'longitude': -119.82079315185547}",N/A,N/A,N/A,N/A,N/A
Tropical Getaway w/Patio Entrance #2,N/A,"{'latitude': 34.45356369018555, 'longitude': -119.78770446777344}",N/A,https://www.vrbo.com/2268790?MDPCID=VRBO-META.HPA.WEB-ORGANIC.VR,N/A,26,N/A
Modern Ranch Style House near Lake Los Carneros,N/A,"{'latitude': 34.44629669189453, 'longitude': -119.84205627441406}",N/A,N/A,N/A,N/A,N/A
Pacifica Suites,N/A,"{'latitude': 34.43545150756836, 'longitude': -119.816650390625}",N/A,https://deals.vio.com?sig=73aca13c7f952d2641c156f3e69125e1eb497c325f122828ee5aa8797168b9a12d32303331333438363233&turl=https%3A%2F%2Fwww.vio.com%2FHotel%2FSearch%3FhotelId%3D1080964%26utm_source%3Dgha-vr%26utm_campaign%3Dstatic%26openHotelDetails%3D1,N/A,614,N/A
Tropical Getaway w/Patio Entrance #1,N/A,"{'latitude': 34.45344161987305, 'longitude': -119.78736877441406}",N/A,N/A,N/A,157,N/A
Goleta Getaway,N/A,"{'latitude': 34.43659973144531, 'longitude': -119.87747192382812}",N/A,https://www.bluepillow.com/search?p_id=5a101b945dc3d571c84f9d9a&dest=bkng&cat=House&accomodationids=64861e137f7e24c1923007b4,N/A,N/A,N/A
