Name,Description,Coordinates,Hotel Class,Link,Ratings,Reviews,Reviews Breakdown
Stunning 1 Bedroom Guest House,N/A,"{'latitude': 34.443790435791016, 'longitude': -119.79818725585938}",N/A,N/A,N/A,N/A,N/A
Rancho Vista,N/A,"{'latitude': 34.47174072265625, 'longitude': -119.80226135253906}",N/A,N/A,N/A,101,N/A
"Reduced! Expansive Views, Privacy, Pet Friendly",N/A,"{'latitude': 34.445777893066406, 'longitude': -119.7944564819336}",N/A,https://www.vrbo.com/3929287?MDPCID=VRBO-META.HPA.WEB-ORGANIC.VR,N/A,1,N/A
Creekside Cottage,N/A,"{'latitude': 34.4389762878418, 'longitude': -119.77344512939453}",N/A,N/A,N/A,75,N/A
Studio w/ Views  Separate Entrance,N/A,"{'latitude': 34.4545783996582, 'longitude': -119.78907012939453}",N/A,https://www.bluepillow.com/search?p_id=589dfd207c00cb10c8daca9a&dest=bpvr&cat=Apartment&accomodationids=6217502ca7239796806b1304,N/A,64,N/A
New Beachhouse On The Bluffs - Panoramic Ocean Views,N/A,"{'latitude': 34.40952682495117, 'longitude': -119.86810302734375}",N/A,https://www.vrbo.com/762235?MDPCID=VRBO-META.HPA.WEB-ORGANIC.VR,N/A,16,N/A
Peaceful Garden Studio For Low-Key Guests - All Pets Welcome!,N/A,"{'latitude': 34.445228576660156, 'longitude': -119.78787994384766}",N/A,N/A,N/A,58,N/A
newly renovated one bedroom apartment,N/A,"{'latitude': 34.444129943847656, 'longitude': -119.83763122558594}",N/A,https://www.us.despegar.com/hotels/h-6059790,N/A,N/A,N/A
"Cozy Coastal Cottage, Countryside",N/A,"{'latitude': 34.440391540527344, 'longitude': -119.91122436523438}",N/A,N/A,N/A,N/A,N/A
Studio w\/ Views & Separate Entrance,N/A,"{'latitude': 34.45458984375, 'longitude': -119.78907775878906}",N/A,N/A,N/A,66,N/A
"Attached Unit, a few minute walk from the Beach",N/A,"{'latitude': 34.422157287597656, 'longitude': -119.80308532714844}",N/A,N/A,N/A,27,N/A
Breathtaking Couple's Getaway in SB,N/A,"{'latitude': 34.449520111083984, 'longitude': -119.81754302978516}",N/A,N/A,N/A,5,N/A
"Serene garden setting w/private yard, dog-friendly, hot-tub, 7 min to beach",N/A,"{'latitude': 34.455142974853516, 'longitude': -119.79590606689453}",N/A,N/A,N/A,3,N/A
"Quiet, natural, beautiful retreat home residing on 11 natural acres",N/A,"{'latitude': 34.471439361572266, 'longitude': -119.78176879882812}",N/A,https://www.bluepillow.com/search?p_id=589dfd207c00cb10c8daca9a&dest=bpvr&cat=House&accomodationids=621753a1a7239796806c7845,N/A,9,N/A
Luxury Farmhouse Cottage w\/ Ocean & Island Views,N/A,"{'latitude': 34.449039459228516, 'longitude': -119.78546905517578}",N/A,https://deals.vio.com?sig=73aca13c7f952d2641c156f3e69125e1eb497c325f122828ee5aa8797168b9a12d32303331333438363233&turl=https%3A%2F%2Fwww.vio.com%2FHotel%2FSearch%3FhotelId%3D90910287%26utm_source%3Dgha-vr%26utm_campaign%3Dstatic%26openHotelDetails%3D1,N/A,N/A,N/A
Charming 2-bedroom guest house in quiet neighborhood.,N/A,"{'latitude': 34.459442138671875, 'longitude': -119.82079315185547}",N/A,N/A,N/A,N/A,N/A
Luxury Farmhouse Cottage w/ Ocean & Island Views,N/A,"{'latitude': 34.44822692871094, 'longitude': -119.78694915771484}",N/A,https://www.vrbo.com/3284289?MDPCID=VRBO-META.HPA.WEB-ORGANIC.VR,N/A,2,N/A
Luxury Farmhouse Cottage w/ Ocean  Island Views,N/A,"{'latitude': 34.449031829833984, 'longitude': -119.78546905517578}",N/A,https://www.bluepillow.com/search?p_id=589dfd207c00cb10c8daca9a&dest=bpvr&cat=Cottage&accomodationids=64906e19ba24250813c10168,N/A,2,N/A
