Name,Description,Coordinates,Hotel Class,Link,Ratings,Reviews,Reviews Breakdown
Jardon,N/A,"{'latitude': 34.41850280761719, 'longitude': -119.67180633544922}",N/A,https://www.vacasa.com/unit/54337,N/A,46,N/A
Affordable Beach Penthouse — 2 blocks to Beach and Funk Zone,N/A,"{'latitude': 34.41071701049805, 'longitude': -119.6955337524414}",N/A,https://santabarbaraluxurybeachgetaways.lodgify.com/listing/en/522471,N/A,N/A,N/A
Danya's Room - A Cottage Dream (dog friendly),N/A,"{'latitude': 34.42205047607422, 'longitude': -119.59359741210938}",N/A,https://summerlandluxuryescapes.holidayfuture.com/listings/294679?googleVR=1,N/A,13,N/A
1 Bedroom Casita - Casa Blanca,N/A,"{'latitude': 34.422462463378906, 'longitude': -119.61561584472656}",N/A,N/A,N/A,8,N/A
Hope Ranch Delight,N/A,"{'latitude': 34.42607498168945, 'longitude': -119.76325225830078}",N/A,https://www.plumguide.com/homes/51837/hope-ranch-delight,N/A,6,N/A
"Iconic, Unique Home in the Heart of Downtown SB!",N/A,"{'latitude': 34.42727279663086, 'longitude': -119.70196533203125}",N/A,N/A,N/A,52,N/A
New 2 Bed Apartment Close to Downtown and Beach!,N/A,"{'latitude': 34.41267013549805, 'longitude': -119.69419860839844}",N/A,https://losaguajes.guestybookings.com/properties/645d2f98c27a260038b34536,N/A,N/A,N/A
2 Bedroom close to downtown and beach!,N/A,"{'latitude': 34.41267776489258, 'longitude': -119.69416046142578}",N/A,N/A,N/A,N/A,N/A
"Romantic Luxury Cabana Rental with Pool in Santa Barbara County, California",N/A,"{'latitude': 34.43952560424805, 'longitude': -119.60282135009766}",N/A,N/A,N/A,317,N/A
"Beachfront Hideaway in Santa Barbara - 2 bedrooms, across from beach, gorgeous!",N/A,"{'latitude': 34.40116500854492, 'longitude': -119.70179748535156}",N/A,N/A,N/A,N/A,N/A
Autocamp Santa Barbara,N/A,"{'latitude': 34.43619918823242, 'longitude': -119.72579956054688}",N/A,https://www.super.com/travel/hotels/Ga6gwo7W?utm_source=gha_vr&utm_campaign=static,N/A,95,N/A
Oceanfront Island View Gated Santa Barbara Villa,N/A,"{'latitude': 34.40504455566406, 'longitude': -119.75701141357422}",N/A,N/A,N/A,8,N/A
Sunny's Santa Barbara Beach House,N/A,"{'latitude': 34.41775894165039, 'longitude': -119.67255401611328}",N/A,https://www.vacasa.com/unit/27033,N/A,154,N/A
Beachfront Hideaway,N/A,"{'latitude': 34.40114974975586, 'longitude': -119.70181274414062}",N/A,https://www.bluepillow.com/search?p_id=589dfd207c00cb10c8daca9a&dest=bkng&cat=House&accomodationids=65ca0ad1671b07d23c6af0cc,N/A,N/A,N/A
Whimsical Wave on Miramar Beach | One of a Kind Direct Beachfront Experience!,N/A,"{'latitude': 34.419429779052734, 'longitude': -119.63107299804688}",N/A,N/A,N/A,70,N/A
Dreamy Beach Cottage with Jacuzzi and Large Private Yard ~ Walk to Beach & Park,N/A,"{'latitude': 34.40109634399414, 'longitude': -119.70747375488281}",N/A,N/A,N/A,9,N/A
"Uptown location, walk to restaurants!",N/A,"{'latitude': 34.4329833984375, 'longitude': -119.7217788696289}",N/A,https://www.atlasvacationproperties.com/uptown-santa-barbara-craftsman-orp5b57258x,N/A,15,N/A
Sea Glass Cottage,N/A,"{'latitude': 34.39969253540039, 'longitude': -119.71430206298828}",N/A,N/A,N/A,77,N/A
