Name,Description,Coordinates,Latitude,Longitude,Hotel Class,Link,Ratings,Reviews,Reviews Breakdown,Address
Best Western Plus Carpinteria Inn,"Down-to-earth hotel offering free WiFi & parking, plus a restaurant & an outdoor pool.","{'latitude': 34.4021207, 'longitude': -119.5259054}",34.4021207,-119.5259054,4,https://www.bestwestern.com/en_US/book/hotel-rooms.05425.html?iata=00171880&ssob=BLBWI0004G&cid=BLBWI0004G:google:gmb:05425,"[{'stars': 5, 'count': 578}, {'stars': 4, 'count': 331}, {'stars': 3, 'count': 149}, {'stars': 2, 'count': 67}, {'stars': 1, 'count': 106}]",1231,"[{'name': 'Dining', 'description': 'Food and Beverage', 'total_mentioned': 82, 'positive': 62, 'negative': 17, 'neutral': 3}, {'name': 'Service', 'description': 'Service', 'total_mentioned': 312, 'positive': 214, 'negative': 87, 'neutral': 11}, {'name': 'Bar', 'description': 'Bar or lounge', 'total_mentioned': 55, 'positive': 41, 'negative': 11, 'neutral': 3}, {'name': 'Breakfast', 'description': 'Breakfast', 'total_mentioned': 83, 'positive': 43, 'negative': 25, 'neutral': 15}, {'name': 'Bathroom', 'description': 'Bathroom and toiletries', 'total_mentioned': 118, 'positive': 32, 'negative': 75, 'neutral': 11}, {'name': 'Cleanliness', 'description': 'Cleanliness', 'total_mentioned': 230, 'positive': 176, 'negative': 43, 'neutral': 11}]","Best Western Plus Carpinteria Inn, 4558, Carpinteria Avenue, Old Town, Carpinteria, Santa Barbara County, California, 93013, United States"
Cabrillo Inn at the Beach,"Simple quarters, some with ocean views, in a budget hotel offering free breakfast & an outdoor pool.","{'latitude': 34.4173119, 'longitude': -119.67146000000001}",34.4173119,-119.67146,3,http://www.cabrilloinn.com/,"[{'stars': 5, 'count': 207}, {'stars': 4, 'count': 132}, {'stars': 3, 'count': 66}, {'stars': 2, 'count': 27}, {'stars': 1, 'count': 56}]",488,"[{'name': 'Air Conditioning', 'description': 'Air conditioning', 'total_mentioned': 36, 'positive': 5, 'negative': 27, 'neutral': 4}, {'name': 'Fitness', 'description': 'Fitness', 'total_mentioned': 49, 'positive': 34, 'negative': 7, 'neutral': 8}, {'name': 'Nature', 'description': 'Nature and outdoor activities', 'total_mentioned': 106, 'positive': 80, 'negative': 5, 'neutral': 21}, {'name': 'Pool', 'description': 'Pool', 'total_mentioned': 25, 'positive': 21, 'negative': 1, 'neutral': 3}, {'name': 'Beach', 'description': 'Beach', 'total_mentioned': 11, 'positive': 11, 'negative': 0, 'neutral': 0}, {'name': 'Accessibility', 'description': 'Accessibility', 'total_mentioned': 10, 'positive': 3, 'negative': 6, 'neutral': 1}]","930, Orilla Del Mar Drive, Santa Barbara, Santa Barbara County, California, 93103, United States"
Cliff House Inn On the Ocean,"Cozy rooms in an oceanfront hotel offering a pool, a private beach & an upscale restaurant.","{'latitude': 34.3558477, 'longitude': -119.44010849999998}",34.3558477,-119.44010849999998,3,http://www.cliffhouseinn.com/,"[{'stars': 5, 'count': 414}, {'stars': 4, 'count': 140}, {'stars': 3, 'count': 62}, {'stars': 2, 'count': 35}, {'stars': 1, 'count': 40}]",691,"[{'name': 'Nature', 'description': 'Nature and outdoor activities', 'total_mentioned': 113, 'positive': 91, 'negative': 16, 'neutral': 6}, {'name': 'Dining', 'description': 'Food and Beverage', 'total_mentioned': 104, 'positive': 80, 'negative': 13, 'neutral': 11}, {'name': 'Service', 'description': 'Service', 'total_mentioned': 128, 'positive': 91, 'negative': 29, 'neutral': 8}, {'name': 'Parking', 'description': 'Parking', 'total_mentioned': 11, 'positive': 1, 'negative': 8, 'neutral': 2}, {'name': 'Accessibility', 'description': 'Accessibility', 'total_mentioned': 15, 'positive': 2, 'negative': 10, 'neutral': 3}, {'name': 'Bathroom', 'description': 'Bathroom and toiletries', 'total_mentioned': 47, 'positive': 9, 'negative': 33, 'neutral': 5}]","The Cliff House Inn on the Beach, 6602, Old Pacific Coast Highway, Mussel Shoals, Ventura County, California, 93001, United States"
Secret Garden Inn & Cottages,"Individually decorated rooms in a traditional B&B offering breakfast & WiFi, plus a garden.","{'latitude': 34.4272163, 'longitude': -119.71698079999999}",34.4272163,-119.7169808,3,http://www.secretgarden.com/,"[{'stars': 5, 'count': 127}, {'stars': 4, 'count': 18}, {'stars': 3, 'count': 10}, {'stars': 2, 'count': 4}, {'stars': 1, 'count': 7}]",166,"[{'name': 'Pets', 'description': 'Pets', 'total_mentioned': 10, 'positive': 4, 'negative': 4, 'neutral': 2}, {'name': 'Breakfast', 'description': 'Breakfast', 'total_mentioned': 72, 'positive': 69, 'negative': 1, 'neutral': 2}, {'name': 'Couples', 'description': 'Couple friendly', 'total_mentioned': 13, 'positive': 11, 'negative': 0, 'neutral': 2}, {'name': 'Restaurant', 'description': 'Restaurant', 'total_mentioned': 42, 'positive': 39, 'negative': 1, 'neutral': 2}, {'name': 'Hot Tub', 'description': 'Hot tub', 'total_mentioned': 10, 'positive': 7, 'negative': 3, 'neutral': 0}, {'name': 'Family', 'description': 'Family friendly', 'total_mentioned': 8, 'positive': 7, 'negative': 1, 'neutral': 0}]","Secret Garden Inn & Cottages, Bath Street, Westside, Santa Barbara, Santa Barbara County, California, 93101, United States"
"Holiday Inn Express & Suites Carpinteria, an IHG Hotel","Contemporary hotel offering free WiFi, breakfast & parking, plus a fitness center & outdoor pool.","{'latitude': 34.392407999999996, 'longitude': -119.50950399999999}",34.392408,-119.509504,3,https://www.ihg.com/holidayinnexpress/hotels/us/en/carpinteria/cpyca/hoteldetail?cm_mmc=GoogleMaps-_-EX-_-US-_-CPYCA,"[{'stars': 5, 'count': 361}, {'stars': 4, 'count': 195}, {'stars': 3, 'count': 59}, {'stars': 2, 'count': 24}, {'stars': 1, 'count': 25}]",664,"[{'name': 'Breakfast', 'description': 'Breakfast', 'total_mentioned': 134, 'positive': 97, 'negative': 19, 'neutral': 18}, {'name': 'Restaurant', 'description': 'Restaurant', 'total_mentioned': 64, 'positive': 47, 'negative': 10, 'neutral': 7}, {'name': 'Fitness', 'description': 'Fitness', 'total_mentioned': 47, 'positive': 41, 'negative': 4, 'neutral': 2}, {'name': 'Cleanliness', 'description': 'Cleanliness', 'total_mentioned': 162, 'positive': 137, 'negative': 18, 'neutral': 7}, {'name': 'Service', 'description': 'Service', 'total_mentioned': 146, 'positive': 111, 'negative': 32, 'neutral': 3}, {'name': 'Bathroom', 'description': 'Bathroom and toiletries', 'total_mentioned': 46, 'positive': 21, 'negative': 22, 'neutral': 3}]","Holiday Inn Express, 5606, Carpinteria Avenue, Carpinteria, Santa Barbara County, California, 93013, United States"
The Pierpont Inn,"Warmly decorated quarters in a casual hotel offering ocean views, an outdoor pool & a restaurant.","{'latitude': 34.2735078, 'longitude': -119.28324070000001}",34.2735078,-119.2832407,3,https://www.pierpontinn.com/,"[{'stars': 5, 'count': 382}, {'stars': 4, 'count': 219}, {'stars': 3, 'count': 88}, {'stars': 2, 'count': 43}, {'stars': 1, 'count': 103}]",835,"[{'name': 'Couples', 'description': 'Couple friendly', 'total_mentioned': 31, 'positive': 18, 'negative': 7, 'neutral': 6}, {'name': 'Nature', 'description': 'Nature and outdoor activities', 'total_mentioned': 122, 'positive': 103, 'negative': 8, 'neutral': 11}, {'name': 'Breakfast', 'description': 'Breakfast', 'total_mentioned': 57, 'positive': 34, 'negative': 18, 'neutral': 5}, {'name': 'Property', 'description': 'Property', 'total_mentioned': 297, 'positive': 177, 'negative': 90, 'neutral': 30}, {'name': 'Sleep', 'description': 'Sleep', 'total_mentioned': 134, 'positive': 58, 'negative': 57, 'neutral': 19}, {'name': 'Fitness', 'description': 'Fitness', 'total_mentioned': 44, 'positive': 30, 'negative': 9, 'neutral': 5}]","The Pierpont Inn, Ventura Freeway, San Buenaventura (Ventura), Ventura County, California, 93001, United States"
Agave Inn,"Southwestern-inspired hotel offering colorful rooms with free Wi-Fi, flat-screen TVs & minifridges.","{'latitude': 34.4407169, 'longitude': -119.73335159999999}",34.4407169,-119.7333516,2,http://www.agaveinnsb.com/,"[{'stars': 5, 'count': 113}, {'stars': 4, 'count': 49}, {'stars': 3, 'count': 15}, {'stars': 2, 'count': 3}, {'stars': 1, 'count': 7}]",187,"[{'name': 'Cleanliness', 'description': 'Cleanliness', 'total_mentioned': 63, 'positive': 61, 'negative': 2, 'neutral': 0}, {'name': 'Property', 'description': 'Property', 'total_mentioned': 79, 'positive': 67, 'negative': 6, 'neutral': 6}, {'name': 'Breakfast', 'description': 'Breakfast', 'total_mentioned': 16, 'positive': 8, 'negative': 4, 'neutral': 4}, {'name': 'Service', 'description': 'Service', 'total_mentioned': 51, 'positive': 47, 'negative': 3, 'neutral': 1}, {'name': 'Kitchen', 'description': 'Kitchen', 'total_mentioned': 11, 'positive': 7, 'negative': 2, 'neutral': 2}, {'name': 'Sleep', 'description': 'Sleep', 'total_mentioned': 28, 'positive': 16, 'negative': 11, 'neutral': 1}]","3222, State Street, Upper State, Santa Barbara, Santa Barbara County, California, 93105, United States"
Inn At East Beach,"Airy rooms & suites with 1950s-style decor & a pool, plus free Wi-Fi & continental breakfast.","{'latitude': 34.4180492, 'longitude': -119.66987590000001}",34.4180492,-119.6698759,2,http://www.innateastbeach.com/,"[{'stars': 5, 'count': 206}, {'stars': 4, 'count': 122}, {'stars': 3, 'count': 46}, {'stars': 2, 'count': 17}, {'stars': 1, 'count': 46}]",437,"[{'name': 'Air Conditioning', 'description': 'Air conditioning', 'total_mentioned': 24, 'positive': 5, 'negative': 17, 'neutral': 2}, {'name': 'Nature', 'description': 'Nature and outdoor activities', 'total_mentioned': 86, 'positive': 71, 'negative': 5, 'neutral': 10}, {'name': 'Fitness', 'description': 'Fitness', 'total_mentioned': 29, 'positive': 18, 'negative': 8, 'neutral': 3}, {'name': 'Wi-Fi', 'description': 'Wi-Fi', 'total_mentioned': 13, 'positive': 6, 'negative': 6, 'neutral': 1}, {'name': 'Breakfast', 'description': 'Breakfast', 'total_mentioned': 60, 'positive': 39, 'negative': 17, 'neutral': 4}, {'name': 'Pets', 'description': 'Pets', 'total_mentioned': 8, 'positive': 5, 'negative': 2, 'neutral': 1}]","The Inn at East Beach Hotel, 1029, Orilla Del Mar Drive, Santa Barbara, Santa Barbara County, California, 93103, United States"
Lemon Tree Inn,"Midcentury-modern rooms & suites, plus a heated outdoor pool, a hip bar & a polished restaurant.","{'latitude': 34.438553, 'longitude': -119.72542689999999}",34.438553,-119.7254269,3,http://www.treeinns.com/,"[{'stars': 5, 'count': 504}, {'stars': 4, 'count': 352}, {'stars': 3, 'count': 174}, {'stars': 2, 'count': 59}, {'stars': 1, 'count': 73}]",1162,"[{'name': 'Fitness', 'description': 'Fitness', 'total_mentioned': 174, 'positive': 146, 'negative': 13, 'neutral': 15}, {'name': 'Pool', 'description': 'Pool', 'total_mentioned': 110, 'positive': 97, 'negative': 8, 'neutral': 5}, {'name': 'Dining', 'description': 'Food and Beverage', 'total_mentioned': 108, 'positive': 83, 'negative': 17, 'neutral': 8}, {'name': 'Hot Tub', 'description': 'Hot tub', 'total_mentioned': 18, 'positive': 15, 'negative': 1, 'neutral': 2}, {'name': 'Bar', 'description': 'Bar or lounge', 'total_mentioned': 80, 'positive': 70, 'negative': 5, 'neutral': 5}, {'name': 'Bathroom', 'description': 'Bathroom and toiletries', 'total_mentioned': 125, 'positive': 37, 'negative': 73, 'neutral': 15}]","Lemon Tree Inn, 2819, State Street, Upper State, Santa Barbara, Santa Barbara County, California, 93105, United States"
Montecito Inn,"Chic quarters, a restaurant & a pool in a stylish Spanish-style hotel built by Charlie Chaplin.","{'latitude': 34.4212245, 'longitude': -119.64054329999999}",34.4212245,-119.6405433,4,http://www.montecitoinn.com/?utm_source=google&utm_medium=places&utm_campaign=google_places_ms,"[{'stars': 5, 'count': 189}, {'stars': 4, 'count': 79}, {'stars': 3, 'count': 42}, {'stars': 2, 'count': 22}, {'stars': 1, 'count': 35}]",367,"[{'name': 'Fitness', 'description': 'Fitness', 'total_mentioned': 18, 'positive': 11, 'negative': 5, 'neutral': 2}, {'name': 'Property', 'description': 'Property', 'total_mentioned': 142, 'positive': 84, 'negative': 47, 'neutral': 11}, {'name': 'Accessibility', 'description': 'Accessibility', 'total_mentioned': 8, 'positive': 3, 'negative': 5, 'neutral': 0}, {'name': 'Couples', 'description': 'Couple friendly', 'total_mentioned': 5, 'positive': 1, 'negative': 3, 'neutral': 1}, {'name': 'Service', 'description': 'Service', 'total_mentioned': 97, 'positive': 71, 'negative': 22, 'neutral': 4}, {'name': 'Dining', 'description': 'Food and Beverage', 'total_mentioned': 20, 'positive': 16, 'negative': 4, 'neutral': 0}]","1295, Coast Village Road, Santa Barbara, Santa Barbara County, California, 93108, United States"
