Name,Description,Coordinates,Hotel Class,Link,Ratings,Reviews,Reviews Breakdown
"The Surrey, A Corinthia Hotel","Famed 1926 lodging with contemporary rooms & a gym, plus a luxe spa & a Daniel Boulud eatery.","{'latitude': 40.7745247, 'longitude': -73.9639955}",5,https://www.corinthia.com/en-gb/the-surrey/,"[{'stars': 5, 'count': 207}, {'stars': 4, 'count': 49}, {'stars': 3, 'count': 21}, {'stars': 2, 'count': 12}, {'stars': 1, 'count': 17}]",306,"[{'name': 'Wellness', 'description': 'Wellness', 'total_mentioned': 5, 'positive': 5, 'negative': 0, 'neutral': 0}, {'name': 'Bar', 'description': 'Bar or lounge', 'total_mentioned': 26, 'positive': 20, 'negative': 4, 'neutral': 2}, {'name': 'Service', 'description': 'Service', 'total_mentioned': 66, 'positive': 52, 'negative': 12, 'neutral': 2}, {'name': 'Property', 'description': 'Property', 'total_mentioned': 71, 'positive': 57, 'negative': 9, 'neutral': 5}, {'name': 'Dining', 'description': 'Food and Beverage', 'total_mentioned': 23, 'positive': 16, 'negative': 5, 'neutral': 2}, {'name': 'Location', 'description': 'Location', 'total_mentioned': 36, 'positive': 30, 'negative': 4, 'neutral': 2}]"
Arthouse Hotel New York City,Contemporary rooms in a fashionable lodging with a 1920s-inspired bar & an Italian eatery.,"{'latitude': 40.782159799999995, 'longitude': -73.98033509999999}",4,https://www.arthousehotelnyc.com/,"[{'stars': 5, 'count': 1050}, {'stars': 4, 'count': 533}, {'stars': 3, 'count': 181}, {'stars': 2, 'count': 87}, {'stars': 1, 'count': 176}]",2027,"[{'name': 'Bar', 'description': 'Bar or lounge', 'total_mentioned': 259, 'positive': 203, 'negative': 29, 'neutral': 27}, {'name': 'Location', 'description': 'Location', 'total_mentioned': 432, 'positive': 379, 'negative': 30, 'neutral': 23}, {'name': 'Service', 'description': 'Service', 'total_mentioned': 574, 'positive': 383, 'negative': 160, 'neutral': 31}, {'name': 'Property', 'description': 'Property', 'total_mentioned': 703, 'positive': 495, 'negative': 145, 'neutral': 63}, {'name': 'Nightlife', 'description': 'Nightlife', 'total_mentioned': 81, 'positive': 62, 'negative': 13, 'neutral': 6}, {'name': 'Dining', 'description': 'Food and Beverage', 'total_mentioned': 166, 'positive': 135, 'negative': 15, 'neutral': 16}]"
The Mark Hotel,"Grand 1927 property with art deco-inspired rooms, plus acclaimed dining & a swanky bar.","{'latitude': 40.7752711, 'longitude': -73.9633994}",5,https://www.themarkhotel.com/?utm_source=gmb&utm_medium=organic,"[{'stars': 5, 'count': 632}, {'stars': 4, 'count': 117}, {'stars': 3, 'count': 46}, {'stars': 2, 'count': 14}, {'stars': 1, 'count': 37}]",846,"[{'name': 'Bar', 'description': 'Bar or lounge', 'total_mentioned': 77, 'positive': 53, 'negative': 16, 'neutral': 8}, {'name': 'Dining', 'description': 'Food and Beverage', 'total_mentioned': 110, 'positive': 78, 'negative': 26, 'neutral': 6}, {'name': 'Service', 'description': 'Service', 'total_mentioned': 158, 'positive': 125, 'negative': 26, 'neutral': 7}, {'name': 'Pets', 'description': 'Pets', 'total_mentioned': 9, 'positive': 7, 'negative': 1, 'neutral': 1}, {'name': 'Property', 'description': 'Property', 'total_mentioned': 144, 'positive': 131, 'negative': 6, 'neutral': 7}, {'name': 'Breakfast', 'description': 'Breakfast', 'total_mentioned': 34, 'positive': 28, 'negative': 5, 'neutral': 1}]"
AKA Central Park,"Extended-stay hotel offering studios & suites with full kitchens, plus espresso & cocktail bars.","{'latitude': 40.7644076, 'longitude': -73.97558649999999}",4,https://www.stayaka.com/aka-central-park,"[{'stars': 5, 'count': 175}, {'stars': 4, 'count': 75}, {'stars': 3, 'count': 17}, {'stars': 2, 'count': 8}, {'stars': 1, 'count': 16}]",291,"[{'name': 'Location', 'description': 'Location', 'total_mentioned': 69, 'positive': 59, 'negative': 5, 'neutral': 5}, {'name': 'Kitchen', 'description': 'Kitchen', 'total_mentioned': 23, 'positive': 15, 'negative': 4, 'neutral': 4}, {'name': 'Service', 'description': 'Service', 'total_mentioned': 72, 'positive': 55, 'negative': 13, 'neutral': 4}, {'name': 'Gym', 'description': 'Gym', 'total_mentioned': 10, 'positive': 8, 'negative': 0, 'neutral': 2}, {'name': 'Fitness', 'description': 'Fitness', 'total_mentioned': 11, 'positive': 8, 'negative': 1, 'neutral': 2}, {'name': 'Property', 'description': 'Property', 'total_mentioned': 70, 'positive': 61, 'negative': 6, 'neutral': 3}]"
"The Carlyle, A Rosewood Hotel","Luxe lodging offering elegant rooms & suites, plus upscale dining, a storied cafe & a spa.","{'latitude': 40.774415999999995, 'longitude': -73.96315589999999}",5,https://www.rosewoodhotels.com/en/the-carlyle-new-york,"[{'stars': 5, 'count': 822}, {'stars': 4, 'count': 127}, {'stars': 3, 'count': 39}, {'stars': 2, 'count': 27}, {'stars': 1, 'count': 62}]",1077,"[{'name': 'Bar', 'description': 'Bar or lounge', 'total_mentioned': 116, 'positive': 84, 'negative': 17, 'neutral': 15}, {'name': 'Nightlife', 'description': 'Nightlife', 'total_mentioned': 66, 'positive': 52, 'negative': 8, 'neutral': 6}, {'name': 'Dining', 'description': 'Food and Beverage', 'total_mentioned': 107, 'positive': 82, 'negative': 17, 'neutral': 8}, {'name': 'Service', 'description': 'Service', 'total_mentioned': 222, 'positive': 173, 'negative': 38, 'neutral': 11}, {'name': 'Wellness', 'description': 'Wellness', 'total_mentioned': 8, 'positive': 7, 'negative': 1, 'neutral': 0}, {'name': 'Property', 'description': 'Property', 'total_mentioned': 191, 'positive': 160, 'negative': 25, 'neutral': 6}]"
1 Hotel Central Park,"Rustic-chic rooms & suites with complimentary Wi-Fi & snacks, plus farm-to-table dining & a bar.","{'latitude': 40.7648252, 'longitude': -73.9765189}",5,https://www.1hotels.com/central-park?utm_source=google-gbp&utm_medium=organic&utm_campaign=gbp,"[{'stars': 5, 'count': 929}, {'stars': 4, 'count': 229}, {'stars': 3, 'count': 61}, {'stars': 2, 'count': 34}, {'stars': 1, 'count': 61}]",1314,"[{'name': 'Property', 'description': 'Property', 'total_mentioned': 370, 'positive': 314, 'negative': 36, 'neutral': 20}, {'name': 'Service', 'description': 'Service', 'total_mentioned': 318, 'positive': 262, 'negative': 47, 'neutral': 9}, {'name': 'Location', 'description': 'Location', 'total_mentioned': 181, 'positive': 168, 'negative': 7, 'neutral': 6}, {'name': 'Bar', 'description': 'Bar or lounge', 'total_mentioned': 68, 'positive': 43, 'negative': 17, 'neutral': 8}, {'name': 'Dining', 'description': 'Food and Beverage', 'total_mentioned': 96, 'positive': 70, 'negative': 15, 'neutral': 11}, {'name': 'Pets', 'description': 'Pets', 'total_mentioned': 10, 'positive': 8, 'negative': 1, 'neutral': 1}]"
Baccarat Hotel New York,"Plush rooms & suites in a luxury hotel with fine dining & a bar, plus a spa & an indoor pool.","{'latitude': 40.7609013, 'longitude': -73.9773752}",5,https://www.baccarathotels.com/?utm_source=google-gbp&utm_medium=organic&utm_campaign=gbp,"[{'stars': 5, 'count': 933}, {'stars': 4, 'count': 120}, {'stars': 3, 'count': 24}, {'stars': 2, 'count': 9}, {'stars': 1, 'count': 64}]",1150,"[{'name': 'Bar', 'description': 'Bar or lounge', 'total_mentioned': 179, 'positive': 143, 'negative': 21, 'neutral': 15}, {'name': 'Wellness', 'description': 'Wellness', 'total_mentioned': 27, 'positive': 22, 'negative': 2, 'neutral': 3}, {'name': 'Spa', 'description': 'Spa', 'total_mentioned': 24, 'positive': 20, 'negative': 2, 'neutral': 2}, {'name': 'Dining', 'description': 'Food and Beverage', 'total_mentioned': 129, 'positive': 100, 'negative': 19, 'neutral': 10}, {'name': 'Service', 'description': 'Service', 'total_mentioned': 266, 'positive': 214, 'negative': 44, 'neutral': 8}, {'name': 'Property', 'description': 'Property', 'total_mentioned': 251, 'positive': 231, 'negative': 10, 'neutral': 10}]"
"Mandarin Oriental, New York","Luxe rooms in an upscale high-rise lodging with a refined spa, modern American dining & a bar.","{'latitude': 40.7689873, 'longitude': -73.98301719999999}",5,https://www.mandarinoriental.com/en/new-york/manhattan?src=loc.yext.monyc.ggl,"[{'stars': 5, 'count': 1142}, {'stars': 4, 'count': 231}, {'stars': 3, 'count': 75}, {'stars': 2, 'count': 28}, {'stars': 1, 'count': 50}]",1526,"[{'name': 'Wellness', 'description': 'Wellness', 'total_mentioned': 38, 'positive': 29, 'negative': 6, 'neutral': 3}, {'name': 'Nature', 'description': 'Nature and outdoor activities', 'total_mentioned': 70, 'positive': 67, 'negative': 0, 'neutral': 3}, {'name': 'Bar', 'description': 'Bar or lounge', 'total_mentioned': 158, 'positive': 114, 'negative': 24, 'neutral': 20}, {'name': 'Spa', 'description': 'Spa', 'total_mentioned': 30, 'positive': 25, 'negative': 4, 'neutral': 1}, {'name': 'Dining', 'description': 'Food and Beverage', 'total_mentioned': 113, 'positive': 79, 'negative': 22, 'neutral': 12}, {'name': 'Service', 'description': 'Service', 'total_mentioned': 336, 'positive': 270, 'negative': 53, 'neutral': 13}]"
The Hotel Elysee,"1920s-era property with elegant European furnishings, refreshments & the famous Monkey Bar.","{'latitude': 40.759898199999995, 'longitude': -73.9732046}",4,https://www.elyseehotel.com/,"[{'stars': 5, 'count': 223}, {'stars': 4, 'count': 74}, {'stars': 3, 'count': 22}, {'stars': 2, 'count': 4}, {'stars': 1, 'count': 5}]",328,"[{'name': 'Bar', 'description': 'Bar or lounge', 'total_mentioned': 60, 'positive': 54, 'negative': 4, 'neutral': 2}, {'name': 'Breakfast', 'description': 'Breakfast', 'total_mentioned': 50, 'positive': 42, 'negative': 5, 'neutral': 3}, {'name': 'Property', 'description': 'Property', 'total_mentioned': 140, 'positive': 121, 'negative': 12, 'neutral': 7}, {'name': 'Location', 'description': 'Location', 'total_mentioned': 81, 'positive': 77, 'negative': 2, 'neutral': 2}, {'name': 'Restaurant', 'description': 'Restaurant', 'total_mentioned': 30, 'positive': 25, 'negative': 3, 'neutral': 2}, {'name': 'Service', 'description': 'Service', 'total_mentioned': 115, 'positive': 108, 'negative': 5, 'neutral': 2}]"
The Lowell Hotel,"Elegant hideaway offering refined rooms & suites, plus upscale dining & afternoon tea.","{'latitude': 40.7657325, 'longitude': -73.9692262}",5,https://www.lowellhotel.com/?utm_source=mybusiness&utm_medium=organic,"[{'stars': 5, 'count': 261}, {'stars': 4, 'count': 39}, {'stars': 3, 'count': 8}, {'stars': 2, 'count': 4}, {'stars': 1, 'count': 17}]",329,"[{'name': 'Service', 'description': 'Service', 'total_mentioned': 76, 'positive': 68, 'negative': 6, 'neutral': 2}, {'name': 'Bar', 'description': 'Bar or lounge', 'total_mentioned': 20, 'positive': 15, 'negative': 3, 'neutral': 2}, {'name': 'Dining', 'description': 'Food and Beverage', 'total_mentioned': 20, 'positive': 19, 'negative': 0, 'neutral': 1}, {'name': 'Property', 'description': 'Property', 'total_mentioned': 69, 'positive': 63, 'negative': 6, 'neutral': 0}, {'name': 'Breakfast', 'description': 'Breakfast', 'total_mentioned': 10, 'positive': 10, 'negative': 0, 'neutral': 0}, {'name': 'Location', 'description': 'Location', 'total_mentioned': 19, 'positive': 17, 'negative': 0, 'neutral': 2}]"
