Name,Description,Coordinates,Hotel Class,Link,Ratings,Reviews,Reviews Breakdown
Cabrillo Inn at the Beach,"Simple quarters, some with ocean views, in a budget hotel offering free breakfast & an outdoor pool.","{'latitude': 34.4173119, 'longitude': -119.67146000000001}",3,http://www.cabrilloinn.com/,"[{'stars': 5, 'count': 207}, {'stars': 4, 'count': 132}, {'stars': 3, 'count': 66}, {'stars': 2, 'count': 27}, {'stars': 1, 'count': 56}]",488,"[{'name': 'Air Conditioning', 'description': 'Air conditioning', 'total_mentioned': 36, 'positive': 5, 'negative': 27, 'neutral': 4}, {'name': 'Fitness', 'description': 'Fitness', 'total_mentioned': 49, 'positive': 34, 'negative': 7, 'neutral': 8}, {'name': 'Nature', 'description': 'Nature and outdoor activities', 'total_mentioned': 106, 'positive': 80, 'negative': 5, 'neutral': 21}, {'name': 'Pool', 'description': 'Pool', 'total_mentioned': 25, 'positive': 21, 'negative': 1, 'neutral': 3}, {'name': 'Beach', 'description': 'Beach', 'total_mentioned': 11, 'positive': 11, 'negative': 0, 'neutral': 0}, {'name': 'Accessibility', 'description': 'Accessibility', 'total_mentioned': 10, 'positive': 3, 'negative': 6, 'neutral': 1}]"
Secret Garden Inn & Cottages,"Individually decorated rooms in a traditional B&B offering breakfast & WiFi, plus a garden.","{'latitude': 34.4272163, 'longitude': -119.71698079999999}",3,http://www.secretgarden.com/,"[{'stars': 5, 'count': 127}, {'stars': 4, 'count': 18}, {'stars': 3, 'count': 10}, {'stars': 2, 'count': 4}, {'stars': 1, 'count': 7}]",166,"[{'name': 'Pets', 'description': 'Pets', 'total_mentioned': 10, 'positive': 4, 'negative': 4, 'neutral': 2}, {'name': 'Breakfast', 'description': 'Breakfast', 'total_mentioned': 72, 'positive': 69, 'negative': 1, 'neutral': 2}, {'name': 'Couples', 'description': 'Couple friendly', 'total_mentioned': 13, 'positive': 11, 'negative': 0, 'neutral': 2}, {'name': 'Restaurant', 'description': 'Restaurant', 'total_mentioned': 42, 'positive': 39, 'negative': 1, 'neutral': 2}, {'name': 'Hot Tub', 'description': 'Hot tub', 'total_mentioned': 10, 'positive': 7, 'negative': 3, 'neutral': 0}, {'name': 'Family', 'description': 'Family friendly', 'total_mentioned': 8, 'positive': 7, 'negative': 1, 'neutral': 0}]"
Montecito Inn,"Chic quarters, a restaurant & a pool in a stylish Spanish-style hotel built by Charlie Chaplin.","{'latitude': 34.4212245, 'longitude': -119.64054329999999}",4,http://www.montecitoinn.com/?utm_source=google&utm_medium=places&utm_campaign=google_places_ms,"[{'stars': 5, 'count': 189}, {'stars': 4, 'count': 79}, {'stars': 3, 'count': 42}, {'stars': 2, 'count': 22}, {'stars': 1, 'count': 35}]",367,"[{'name': 'Fitness', 'description': 'Fitness', 'total_mentioned': 18, 'positive': 11, 'negative': 5, 'neutral': 2}, {'name': 'Property', 'description': 'Property', 'total_mentioned': 142, 'positive': 84, 'negative': 47, 'neutral': 11}, {'name': 'Accessibility', 'description': 'Accessibility', 'total_mentioned': 8, 'positive': 3, 'negative': 5, 'neutral': 0}, {'name': 'Couples', 'description': 'Couple friendly', 'total_mentioned': 5, 'positive': 1, 'negative': 3, 'neutral': 1}, {'name': 'Service', 'description': 'Service', 'total_mentioned': 97, 'positive': 71, 'negative': 22, 'neutral': 4}, {'name': 'Dining', 'description': 'Food and Beverage', 'total_mentioned': 20, 'positive': 16, 'negative': 4, 'neutral': 0}]"
Casa Del Sol Motel,N/A,"{'latitude': 34.3918275, 'longitude': -119.51020179999999}",N/A,https://www.carpinteriamotel.com/,"[{'stars': 5, 'count': 171}, {'stars': 4, 'count': 37}, {'stars': 3, 'count': 15}, {'stars': 2, 'count': 8}, {'stars': 1, 'count': 49}]",280,"[{'name': 'Service', 'description': 'Service', 'total_mentioned': 88, 'positive': 52, 'negative': 33, 'neutral': 3}, {'name': 'Bathroom', 'description': 'Bathroom and toiletries', 'total_mentioned': 47, 'positive': 29, 'negative': 16, 'neutral': 2}, {'name': 'Wellness', 'description': 'Wellness', 'total_mentioned': 10, 'positive': 6, 'negative': 0, 'neutral': 4}, {'name': 'Cleanliness', 'description': 'Cleanliness', 'total_mentioned': 66, 'positive': 48, 'negative': 15, 'neutral': 3}, {'name': 'Sleep', 'description': 'Sleep', 'total_mentioned': 47, 'positive': 20, 'negative': 22, 'neutral': 5}, {'name': 'Pets', 'description': 'Pets', 'total_mentioned': 14, 'positive': 10, 'negative': 3, 'neutral': 1}]"
Best Western Plus Carpinteria Inn,"Down-to-earth hotel offering free WiFi & parking, plus a restaurant & an outdoor pool.","{'latitude': 34.4021207, 'longitude': -119.5259054}",4,https://www.bestwestern.com/en_US/book/hotel-rooms.05425.html?iata=00171880&ssob=BLBWI0004G&cid=BLBWI0004G:google:gmb:05425,"[{'stars': 5, 'count': 578}, {'stars': 4, 'count': 331}, {'stars': 3, 'count': 149}, {'stars': 2, 'count': 67}, {'stars': 1, 'count': 106}]",1231,"[{'name': 'Dining', 'description': 'Food and Beverage', 'total_mentioned': 82, 'positive': 62, 'negative': 17, 'neutral': 3}, {'name': 'Service', 'description': 'Service', 'total_mentioned': 312, 'positive': 214, 'negative': 87, 'neutral': 11}, {'name': 'Bar', 'description': 'Bar or lounge', 'total_mentioned': 55, 'positive': 41, 'negative': 11, 'neutral': 3}, {'name': 'Breakfast', 'description': 'Breakfast', 'total_mentioned': 83, 'positive': 43, 'negative': 25, 'neutral': 15}, {'name': 'Bathroom', 'description': 'Bathroom and toiletries', 'total_mentioned': 118, 'positive': 32, 'negative': 75, 'neutral': 11}, {'name': 'Cleanliness', 'description': 'Cleanliness', 'total_mentioned': 230, 'positive': 176, 'negative': 43, 'neutral': 11}]"
Lavender Inn by the Sea,Individually decorated rooms in a high-end hotel offering an outdoor pool & loaner bikes.,"{'latitude': 34.4102335, 'longitude': -119.69626480000001}",3,https://www.sbhotels.com/lavender-inn-by-the-sea?utm_source=google&utm_medium=organic&utm_campaign=gbp_listing,"[{'stars': 5, 'count': 169}, {'stars': 4, 'count': 75}, {'stars': 3, 'count': 14}, {'stars': 2, 'count': 4}, {'stars': 1, 'count': 11}]",273,"[{'name': 'Fitness', 'description': 'Fitness', 'total_mentioned': 32, 'positive': 28, 'negative': 2, 'neutral': 2}, {'name': 'Bar', 'description': 'Bar or lounge', 'total_mentioned': 51, 'positive': 47, 'negative': 1, 'neutral': 3}, {'name': 'Pool', 'description': 'Pool', 'total_mentioned': 20, 'positive': 18, 'negative': 2, 'neutral': 0}, {'name': 'Breakfast', 'description': 'Breakfast', 'total_mentioned': 59, 'positive': 49, 'negative': 3, 'neutral': 7}, {'name': 'Couples', 'description': 'Couple friendly', 'total_mentioned': 9, 'positive': 9, 'negative': 0, 'neutral': 0}, {'name': 'Restaurant', 'description': 'Restaurant', 'total_mentioned': 30, 'positive': 27, 'negative': 0, 'neutral': 3}]"
"Brisas del Mar, Inn at the Beach","Refined lodging with individually designed rooms & suites, plus free breakfast & loaner bikes.","{'latitude': 34.4099611, 'longitude': -119.6973417}",3,https://www.sbhotels.com/brisas-del-mar-inn-at-the-beach?utm_source=google&utm_medium=organic&utm_campaign=gbp_listing,"[{'stars': 5, 'count': 195}, {'stars': 4, 'count': 46}, {'stars': 3, 'count': 15}, {'stars': 2, 'count': 5}, {'stars': 1, 'count': 7}]",268,"[{'name': 'Fitness', 'description': 'Fitness', 'total_mentioned': 22, 'positive': 19, 'negative': 1, 'neutral': 2}, {'name': 'Hot Tub', 'description': 'Hot tub', 'total_mentioned': 9, 'positive': 9, 'negative': 0, 'neutral': 0}, {'name': 'Nature', 'description': 'Nature and outdoor activities', 'total_mentioned': 45, 'positive': 36, 'negative': 0, 'neutral': 9}, {'name': 'Breakfast', 'description': 'Breakfast', 'total_mentioned': 44, 'positive': 37, 'negative': 4, 'neutral': 3}, {'name': 'Bar', 'description': 'Bar or lounge', 'total_mentioned': 33, 'positive': 31, 'negative': 0, 'neutral': 2}, {'name': 'Spa', 'description': 'Spa', 'total_mentioned': 5, 'positive': 5, 'negative': 0, 'neutral': 0}]"
Hotel Milo Santa Barbara,Colorful rooms in a seaside Spanish Colonial-style lodging with courtyard gardens & 2 outdoor pools.,"{'latitude': 34.4104479, 'longitude': -119.6919908}",3,https://www.hotelmilosantabarbara.com/?utm_source=google%20my%20business&utm_medium=listing&utm_campaign=visit%20website,"[{'stars': 5, 'count': 502}, {'stars': 4, 'count': 235}, {'stars': 3, 'count': 116}, {'stars': 2, 'count': 68}, {'stars': 1, 'count': 99}]",1020,"[{'name': 'Pets', 'description': 'Pets', 'total_mentioned': 37, 'positive': 24, 'negative': 9, 'neutral': 4}, {'name': 'Fitness', 'description': 'Fitness', 'total_mentioned': 70, 'positive': 47, 'negative': 15, 'neutral': 8}, {'name': 'Air Conditioning', 'description': 'Air conditioning', 'total_mentioned': 40, 'positive': 0, 'negative': 32, 'neutral': 8}, {'name': 'Nature', 'description': 'Nature and outdoor activities', 'total_mentioned': 172, 'positive': 141, 'negative': 10, 'neutral': 21}, {'name': 'Couples', 'description': 'Couple friendly', 'total_mentioned': 20, 'positive': 11, 'negative': 5, 'neutral': 4}, {'name': 'Accessibility', 'description': 'Accessibility', 'total_mentioned': 28, 'positive': 6, 'negative': 15, 'neutral': 7}]"
Riviera Beach House,"Contemporary rooms, some with patios, plus a trendy Mexican restaurant, a bar & an art gallery.","{'latitude': 34.4134455, 'longitude': -119.6913587}",3,https://www.rivierabeachhouse.com/?utm_medium=organic&utm_source=google&utm_campaign=business-listing,"[{'stars': 5, 'count': 362}, {'stars': 4, 'count': 144}, {'stars': 3, 'count': 69}, {'stars': 2, 'count': 22}, {'stars': 1, 'count': 24}]",621,"[{'name': 'Pets', 'description': 'Pets', 'total_mentioned': 16, 'positive': 12, 'negative': 4, 'neutral': 0}, {'name': 'Transit', 'description': 'Public transit', 'total_mentioned': 38, 'positive': 26, 'negative': 6, 'neutral': 6}, {'name': 'Accessibility', 'description': 'Accessibility', 'total_mentioned': 21, 'positive': 3, 'negative': 16, 'neutral': 2}, {'name': 'Dining', 'description': 'Food and Beverage', 'total_mentioned': 53, 'positive': 45, 'negative': 3, 'neutral': 5}, {'name': 'Nature', 'description': 'Nature and outdoor activities', 'total_mentioned': 61, 'positive': 51, 'negative': 4, 'neutral': 6}, {'name': 'Nightlife', 'description': 'Nightlife', 'total_mentioned': 11, 'positive': 3, 'negative': 4, 'neutral': 4}]"
Hilton Santa Barbara Beachfront Resort,"Upscale seafront lodging offering polished rooms, grill-style dining & 3 tennis courts, plus a spa.","{'latitude': 34.4167626, 'longitude': -119.67655289999999}",4,https://www.hilton.com/en/hotels/sbafphh-hilton-santa-barbara-beachfront-resort/?SEO_id=GMB-AMER-HH-SBAFPHH&y_source=1_MTM3Mjc4MC03MTUtbG9jYXRpb24ud2Vic2l0ZQ%3D%3D,"[{'stars': 5, 'count': 1727}, {'stars': 4, 'count': 722}, {'stars': 3, 'count': 261}, {'stars': 2, 'count': 153}, {'stars': 1, 'count': 204}]",3067,"[{'name': 'Business', 'description': 'Business', 'total_mentioned': 93, 'positive': 52, 'negative': 17, 'neutral': 24}, {'name': 'Fitness', 'description': 'Fitness', 'total_mentioned': 199, 'positive': 121, 'negative': 62, 'neutral': 16}, {'name': 'Couples', 'description': 'Couple friendly', 'total_mentioned': 69, 'positive': 34, 'negative': 19, 'neutral': 16}, {'name': 'Pets', 'description': 'Pets', 'total_mentioned': 50, 'positive': 31, 'negative': 12, 'neutral': 7}, {'name': 'Nature', 'description': 'Nature and outdoor activities', 'total_mentioned': 376, 'positive': 311, 'negative': 32, 'neutral': 33}, {'name': 'Pool', 'description': 'Pool', 'total_mentioned': 95, 'positive': 74, 'negative': 17, 'neutral': 4}]"
