Name,Description,Coordinates,Hotel Class,Link,Ratings,Reviews,Reviews Breakdown
"The Penthouse at Park Place King bed, fast WIFI and free coffee",N/A,"{'latitude': 39.74802017211914, 'longitude': -75.56205749511719}",N/A,https://proper-t.guestybookings.com/properties/6580ce50fc4aad0011034723,N/A,106,N/A
"The Grayson at Park  Place- cozy and fully updated with King bed, free coffee and fast WIFI",N/A,"{'latitude': 39.7481689453125, 'longitude': -75.56208801269531}",N/A,https://proper-t.guestybookings.com/properties/6580ce4c072474001146da5b,N/A,129,N/A
The Penthouse at Park Place King bed  fast WIFI and free coffee,N/A,"{'latitude': 39.748023986816406, 'longitude': -75.56205749511719}",N/A,https://www.travelstaytion.com/rooms/726236,N/A,N/A,N/A
Trolley Teacup Charming Cozy Studio,N/A,"{'latitude': 39.754398345947266, 'longitude': -75.55660247802734}",N/A,https://www.redawning.com/rental-property/trolley-teacup-charming-cozy-studio-delaware,N/A,1,N/A
The Grayson at Park Place- Cozy and Fully Updated With King bed Free Coffee and Fast Wifi,N/A,"{'latitude': 39.748172760009766, 'longitude': -75.56208801269531}",N/A,N/A,N/A,1,N/A
Gilpin Grand - Renovated space in Trolley Square (Unit 2),N/A,"{'latitude': 39.75680160522461, 'longitude': -75.55909729003906}",N/A,https://www.redawning.com/rental-property/gilpin-grand-renovated-space-trolley-square-unit-2-delaware,N/A,13,N/A
"The Terrace at Park Place, 2nd floor walk up -cozy 2 bedroom, fast WiFi, free coffee!",N/A,"{'latitude': 39.74814987182617, 'longitude': -75.5621566772461}",N/A,https://proper-t.guestybookings.com/properties/6580e0b26ab8680010f11b74,N/A,116,N/A
Wilmington Home about 28 Mi to Downtown Philadelphia!,N/A,"{'latitude': 39.753108978271484, 'longitude': -75.53730010986328}",N/A,N/A,N/A,2,N/A
Wilmington Home ~ 28 Mi to Downtown Philadelphia!,N/A,"{'latitude': 39.75311279296875, 'longitude': -75.53730010986328}",N/A,http://g.rentalsunited.com/gate.aspx?uid=554691&url=1&pid=3680726&lc=google,N/A,1,N/A
Park Place- cozy modern space fully updated  fast WiFi  good coffee and easy parking,N/A,"{'latitude': 39.748138427734375, 'longitude': -75.56198120117188}",N/A,https://www.travelstaytion.com/rooms/726142,N/A,N/A,N/A
The Terrace at Park Place  2nd floor walk up -cozy 2 bedroom  fast WiFi  free coffee,N/A,"{'latitude': 39.74815368652344, 'longitude': -75.5621566772461}",N/A,https://www.travelstaytion.com/rooms/726237,N/A,N/A,N/A
Charming Hideaway,N/A,"{'latitude': 39.764732360839844, 'longitude': -75.50072479248047}",N/A,https://ParadiseGetaways.holidayfuture.com/listings/325523?googleVR=1,N/A,N/A,N/A
Pet Friendly Wilmington Cottage in Arden DE Dogs OK,N/A,"{'latitude': 39.8109130859375, 'longitude': -75.48150634765625}",N/A,https://www.bringfido.com/lodging/926410?aid=googlerentals-website,N/A,10,N/A
Former In-law Suite Converted to 1 BR Apartment,N/A,"{'latitude': 39.8094596862793, 'longitude': -75.4963607788086}",N/A,N/A,N/A,N/A,N/A
Unbelievably Charming Tiny Home,N/A,"{'latitude': 39.75505828857422, 'longitude': -75.55850219726562}",N/A,https://www.bluepillow.com/search?p_id=589dfd2d7c00cb10c8dacb54&dest=bpvr&cat=House&accomodationids=65cc603fd1633aac917defe8,N/A,N/A,N/A
Ardentown Dog Friendly Cottage w/ SmartTV + Patio,N/A,"{'latitude': 39.80868911743164, 'longitude': -75.48343658447266}",N/A,https://thecottagesonorchardwilmingtonde.guestybookings.com/properties/666b1f708b1b1c001198d04e,N/A,21,N/A
Urban Retreat,N/A,"{'latitude': 39.76472854614258, 'longitude': -75.50074768066406}",N/A,https://ParadiseGetaways.holidayfuture.com/listings/325524?googleVR=1,N/A,N/A,N/A
Dog Friendly Cottage w/ Fireplace & Backyard,N/A,"{'latitude': 39.810909271240234, 'longitude': -75.48150634765625}",N/A,https://thecottagesonorchardwilmingtonde.guestybookings.com/properties/666b1f7ab0dec30022edf7e0,N/A,11,N/A
