Name,Description,Coordinates,Hotel Class,Link,Ratings,Reviews,Reviews Breakdown
"Cozy Walk up King Bed, fast WiFi",N/A,"{'latitude': 39.744041442871094, 'longitude': -75.57230377197266}",N/A,https://proper-t.guestybookings.com/properties/6580ce60fc4aad0011034aa3,N/A,27,N/A
Modern Cozy walk up with King Bed,N/A,"{'latitude': 39.74443817138672, 'longitude': -75.57203674316406}",N/A,https://proper-t.guestybookings.com/properties/65bc21809b89b30012ebe040,N/A,N/A,N/A
Cozy Unit King bed Laundry,N/A,"{'latitude': 39.74409103393555, 'longitude': -75.57221221923828}",N/A,N/A,N/A,N/A,N/A
1740 ft² Apartment ∙ 3 bedrooms ∙ 6 guests,N/A,"{'latitude': 39.75020980834961, 'longitude': -75.57463836669922}",N/A,N/A,N/A,N/A,N/A
House of the Heart at Trolley Square! - Three-Bedroom House,N/A,"{'latitude': 39.7552490234375, 'longitude': -75.56414031982422}",N/A,N/A,N/A,15,N/A
Home Sweet Home @Trolley Square!<br><br>https://goo.gl/maps/f1XX68qiTRCU7eFk7<br>,N/A,"{'latitude': 39.753318786621094, 'longitude': -75.56511688232422}",N/A,N/A,N/A,13,N/A
The Blue Lotus - a cottage in Kennett Square,N/A,"{'latitude': 39.849952697753906, 'longitude': -75.71678924560547}",N/A,https://joelle.hospitable.rentals/property/the-blue-lotus-a-cottage-in-kennett-square,N/A,244,N/A
Adorable Historic Bungalow in Hockessin Valley,N/A,"{'latitude': 39.74208068847656, 'longitude': -75.7171630859375}",N/A,https://www.bluepillow.com/search?p_id=5b2fc9925464af27c4ea10fe&dest=bpvr&cat=House&accomodationids=64906fd9ba24250813c2bc91,N/A,3,N/A
Welcome to Woodview Estates!,N/A,"{'latitude': 39.79821014404297, 'longitude': -75.67408752441406}",N/A,https://www.us.despegar.com/hotels/h-5796803,N/A,N/A,N/A
The Suite in a carriage house in Kennett Square,N/A,"{'latitude': 39.84791946411133, 'longitude': -75.71373748779297}",N/A,https://robinhursthospitality.guestybookings.com/properties/6075a20f658dea002dde9947,N/A,N/A,N/A
Newly built Tiny House in Historic Kennett Square,N/A,"{'latitude': 39.84796142578125, 'longitude': -75.71378326416016}",N/A,https://robinhursthospitality.guestybookings.com/properties/633d8c2a4c10ab00322b2975,N/A,N/A,N/A
Farm House,N/A,"{'latitude': 39.763771057128906, 'longitude': -75.68184661865234}",N/A,https://www.bluepillow.com/search?p_id=5b2fc9925464af27c4ea10fe&dest=bpex&cat=Apartment&accomodationids=639752f4fc70cceab61cf116,N/A,N/A,N/A
Contemporary 2 BR Townhome- Pet Friendly!,N/A,"{'latitude': 39.7278938293457, 'longitude': -75.5943374633789}",N/A,https://www.us.despegar.com/hotels/h-5827097,N/A,N/A,N/A
Cozy cottage close to it all in Wilmington,N/A,"{'latitude': 39.75503158569336, 'longitude': -75.67399597167969}",N/A,N/A,N/A,72,N/A
Underground Railroad Barn,N/A,"{'latitude': 39.85952377319336, 'longitude': -75.70391845703125}",N/A,https://www.vrbo.com/3940233?MDPCID=VRBO-META.HPA.WEB-ORGANIC.VR,N/A,4,N/A
Cozy bungalow w/ deck- 5 minutes from Riverfront,N/A,"{'latitude': 39.74602127075195, 'longitude': -75.5887222290039}",N/A,N/A,N/A,N/A,N/A
Luxury Loft in in Kennett Square,N/A,"{'latitude': 39.84796142578125, 'longitude': -75.71370697021484}",N/A,https://robinhursthospitality.guestybookings.com/properties/606370671a99a4002d1a388f,N/A,N/A,N/A
Luxorious 5400 Square ft Home ( 2022 BMW CHAMPIONSHIP WEEK ONLY ),N/A,"{'latitude': 39.77708053588867, 'longitude': -75.68374633789062}",N/A,https://www.bluepillow.com/search?p_id=5b2fc9925464af27c4ea10fe&dest=bpex&cat=House&accomodationids=63974148fc70cceab61930a1,N/A,N/A,N/A
