Name,Description,Coordinates,Hotel Class,Link,Ratings,Reviews,Reviews Breakdown
"The Penthouse at Park Place King bed, fast WIFI and free coffee",N/A,"{'latitude': 39.74802017211914, 'longitude': -75.56205749511719}",N/A,https://proper-t.guestybookings.com/properties/6580ce50fc4aad0011034723,N/A,106,N/A
"The Grayson at Park  Place- cozy and fully updated with King bed, free coffee and fast WIFI",N/A,"{'latitude': 39.7481689453125, 'longitude': -75.56208801269531}",N/A,https://proper-t.guestybookings.com/properties/6580ce4c072474001146da5b,N/A,129,N/A
The Penthouse at Park Place King bed  fast WIFI and free coffee,N/A,"{'latitude': 39.748023986816406, 'longitude': -75.56205749511719}",N/A,https://www.travelstaytion.com/rooms/726236,N/A,N/A,N/A
The Grayson at Park Place- Cozy and Fully Updated With King bed Free Coffee and Fast Wifi,N/A,"{'latitude': 39.748172760009766, 'longitude': -75.56208801269531}",N/A,N/A,N/A,1,N/A
"Cozy Walk up King Bed, fast WiFi",N/A,"{'latitude': 39.744041442871094, 'longitude': -75.57230377197266}",N/A,https://proper-t.guestybookings.com/properties/6580ce60fc4aad0011034aa3,N/A,27,N/A
Trolley Teacup Charming Cozy Studio,N/A,"{'latitude': 39.754398345947266, 'longitude': -75.55660247802734}",N/A,https://www.redawning.com/rental-property/trolley-teacup-charming-cozy-studio-delaware,N/A,1,N/A
Cozy Modern Villa,N/A,"{'latitude': 39.70146179199219, 'longitude': -75.54551696777344}",N/A,https://proper-t.guestybookings.com/properties/6669ee0f1bed670013dd899b,N/A,1,N/A
"The Terrace at Park Place, 2nd floor walk up -cozy 2 bedroom, fast WiFi, free coffee!",N/A,"{'latitude': 39.74814987182617, 'longitude': -75.5621566772461}",N/A,https://proper-t.guestybookings.com/properties/6580e0b26ab8680010f11b74,N/A,116,N/A
Gilpin Grand - Renovated space in Trolley Square (Unit 2),N/A,"{'latitude': 39.75680160522461, 'longitude': -75.55909729003906}",N/A,https://www.redawning.com/rental-property/gilpin-grand-renovated-space-trolley-square-unit-2-delaware,N/A,13,N/A
Modern Cozy walk up with King Bed,N/A,"{'latitude': 39.74443817138672, 'longitude': -75.57203674316406}",N/A,https://proper-t.guestybookings.com/properties/65bc21809b89b30012ebe040,N/A,N/A,N/A
Park Place- cozy modern space fully updated  fast WiFi  good coffee and easy parking,N/A,"{'latitude': 39.748138427734375, 'longitude': -75.56198120117188}",N/A,https://www.travelstaytion.com/rooms/726142,N/A,N/A,N/A
Wilmington Home about 28 Mi to Downtown Philadelphia!,N/A,"{'latitude': 39.753108978271484, 'longitude': -75.53730010986328}",N/A,N/A,N/A,2,N/A
The Terrace at Park Place  2nd floor walk up -cozy 2 bedroom  fast WiFi  free coffee,N/A,"{'latitude': 39.74815368652344, 'longitude': -75.5621566772461}",N/A,https://www.travelstaytion.com/rooms/726237,N/A,N/A,N/A
Wilmington Home ~ 28 Mi to Downtown Philadelphia!,N/A,"{'latitude': 39.75311279296875, 'longitude': -75.53730010986328}",N/A,http://g.rentalsunited.com/gate.aspx?uid=554691&url=1&pid=3680726&lc=google,N/A,1,N/A
"Cozy unit, King bed & laundry",N/A,"{'latitude': 39.74409103393555, 'longitude': -75.57221221923828}",N/A,https://proper-t.guestybookings.com/properties/6580e090fc4aad001104f6e3,N/A,40,N/A
"Cozy 1-bedroom apartment in nice New Castle with WiFi, AC",N/A,"{'latitude': 39.6610107421875, 'longitude': -75.56526184082031}",N/A,https://www.vrbo.com/4192306?MDPCID=VRBO-META.HPA.WEB-ORGANIC.VR,N/A,N/A,N/A
"Travel Nurses! Relocation, Short\/Long Term Stays",N/A,"{'latitude': 39.75034713745117, 'longitude': -75.54703521728516}",N/A,https://deals.vio.com?sig=73aca13c7f952d2641c156f3e69125e1eb497c325f122828ee5aa8797168b9a12d32303331333438363233&turl=https%3A%2F%2Fwww.vio.com%2FHotel%2FSearch%3FhotelId%3D75773731%26utm_source%3Dgha-vr%26utm_campaign%3Dstatic%26openHotelDetails%3D1,N/A,N/A,N/A
New Castle vacation home 10 minutes from Christiana Mall,N/A,"{'latitude': 39.69517517089844, 'longitude': -75.58226776123047}",N/A,https://www.vrbo.com/4250017?MDPCID=VRBO-META.HPA.WEB-ORGANIC.VR,N/A,N/A,N/A
