Name,Description,Coordinates,Hotel Class,Link,Ratings,Reviews,Reviews Breakdown
Christiana Home,N/A,"{'latitude': 39.68924331665039, 'longitude': -75.67845916748047}",N/A,N/A,N/A,1,N/A
Newark Rental Near University of Delaware!,N/A,"{'latitude': 39.72677230834961, 'longitude': -75.75403594970703}",N/A,http://g.rentalsunited.com/gate.aspx?uid=554691&url=1&pid=3483247&lc=google,N/A,10,N/A
Idyllic carriage house prvt 2 car garage W/D,N/A,"{'latitude': 39.722198486328125, 'longitude': -75.69744110107422}",N/A,https://www.bluepillow.com/search?p_id=5b2fc9925464af27c4ea10fe&dest=bpvr&cat=House&accomodationids=62e0315cd42b01c3c5e69689,N/A,N/A,N/A
Cozy Home In Newark DE,N/A,"{'latitude': 39.67686080932617, 'longitude': -75.72599029541016}",N/A,https://ParadiseGetaways.holidayfuture.com/listings/312049?googleVR=1,N/A,35,N/A
"(pb) 1112    Furnished 2br with Parking, gym,",N/A,"{'latitude': 39.69232940673828, 'longitude': -75.74872589111328}",N/A,https://platform.hostfully.com/vacation-rental-property-v2/97307/charming-furnished-2br-with-parking%2C-gym-and-pool,N/A,N/A,N/A
1 Bed with Private Bathroom Close to Everything in Newark  Wilmington,N/A,"{'latitude': 39.69483184814453, 'longitude': -75.6873779296875}",N/A,N/A,N/A,17,N/A
Mercer Drive   Modern 3-bedroom ranch house.,N/A,"{'latitude': 39.6682243347168, 'longitude': -75.72822570800781}",N/A,https://www.paradisevacationhouses.com/listings/174282?googleVR=1,N/A,123,N/A
Pike Creek Palace 6 Bed 5.5 bath Villa in Wilmington's Chateau Country,N/A,"{'latitude': 39.71540069580078, 'longitude': -75.69448852539062}",N/A,https://proper-t.guestybookings.com/properties/6580cf01fc4aad0011035430,N/A,41,N/A
"Serene Townhome minutes away from Christiana Mall, DE Race Park and Univ. of DE",N/A,"{'latitude': 39.64337158203125, 'longitude': -75.68363952636719}",N/A,https://www.bluepillow.com/search?p_id=5b2fc9925464af27c4ea10fe&dest=bpex&cat=House&accomodationids=62df2f412d760a9969f25d01,N/A,N/A,N/A
"Inviting, comfortable & private suite near Univ.",N/A,"{'latitude': 39.70561599731445, 'longitude': -75.78104400634766}",N/A,https://www.us.despegar.com/hotels/h-5852227,N/A,N/A,N/A
Elkton Lodge,N/A,"{'latitude': 39.63570022583008, 'longitude': -75.80960083007812}",N/A,https://www.super.com/travel/hotels/W2dpeJRj?utm_source=gha_vr&utm_campaign=static,N/A,N/A,N/A
"Luxurious 2-Bed, 2-Bath fully furnished Condo – Perfect in Newark, Delaware",N/A,"{'latitude': 39.62976837158203, 'longitude': -75.74542236328125}",N/A,https://www.vrbo.com/4132828?MDPCID=VRBO-META.HPA.WEB-ORGANIC.VR,N/A,N/A,N/A
Super 8 By Wyndham Newark De,N/A,"{'latitude': 39.684749603271484, 'longitude': -75.74259185791016}",N/A,https://deals.vio.com?sig=73aca13c7f952d2641c156f3e69125e1eb497c325f122828ee5aa8797168b9a12d32303331333438363233&turl=https%3A%2F%2Fwww.vio.com%2FHotel%2FSearch%3FhotelId%3D1335314%26utm_source%3Dgha-vr%26utm_campaign%3Dstatic%26openHotelDetails%3D1,N/A,2,N/A
2 Connecting Suites at a  Hotel,N/A,"{'latitude': 39.65950012207031, 'longitude': -75.7529296875}",N/A,https://www.bluepillow.com/search?p_id=5b2fc9925464af27c4ea10fe&dest=bpex&cat=House&accomodationids=6233aaf74c4d8d9b9b7ece1a,N/A,1,N/A
Charming 1-bedroom house with AC and WiFi in welcoming Newark,N/A,"{'latitude': 39.6318473815918, 'longitude': -75.75144958496094}",N/A,https://www.vrbo.com/4131619?MDPCID=VRBO-META.HPA.WEB-ORGANIC.VR,N/A,N/A,N/A
Pine Brook 804  I Pool Gym I Free Parking !,N/A,"{'latitude': 39.69432830810547, 'longitude': -75.7482681274414}",N/A,https://platform.hostfully.com/vacation-rental-property-v2/97303/furnished-garden-style-apartment%2C-pool-gym-parking,N/A,N/A,N/A
"Inviting, comfortable  private suite near Univ.",N/A,"{'latitude': 39.70560836791992, 'longitude': -75.78103637695312}",N/A,https://www.bluepillow.com/search?p_id=5b2fc9925464af27c4ea10fe&dest=bpvr&cat=Apartment&accomodationids=65cbab2ad1633aac9177e0f8,N/A,N/A,N/A
Pine Brook 816 I Corporate 2Br Apartment !,N/A,"{'latitude': 39.694026947021484, 'longitude': -75.7475357055664}",N/A,https://www.vrbo.com/4047635?MDPCID=VRBO-META.HPA.WEB-ORGANIC.VR,N/A,N/A,N/A
