Name,Description,Coordinates,Hotel Class,Link,Ratings,Reviews,Reviews Breakdown
"The Penthouse at Park Place King bed, fast WIFI and free coffee",N/A,"{'latitude': 39.74802017211914, 'longitude': -75.56205749511719}",N/A,https://proper-t.guestybookings.com/properties/6580ce50fc4aad0011034723,N/A,106,N/A
The Penthouse at Park Place King bed  fast WIFI and free coffee,N/A,"{'latitude': 39.748023986816406, 'longitude': -75.56205749511719}",N/A,https://www.travelstaytion.com/rooms/726236,N/A,N/A,N/A
"The Grayson at Park  Place- cozy and fully updated with King bed, free coffee and fast WIFI",N/A,"{'latitude': 39.7481689453125, 'longitude': -75.56208801269531}",N/A,https://proper-t.guestybookings.com/properties/6580ce4c072474001146da5b,N/A,129,N/A
Trolley Teacup Charming Cozy Studio,N/A,"{'latitude': 39.754398345947266, 'longitude': -75.55660247802734}",N/A,https://www.redawning.com/rental-property/trolley-teacup-charming-cozy-studio-delaware,N/A,1,N/A
The Grayson at Park Place- Cozy and Fully Updated With King bed Free Coffee and Fast Wifi,N/A,"{'latitude': 39.748172760009766, 'longitude': -75.56208801269531}",N/A,N/A,N/A,1,N/A
"Cozy Walk up King Bed, fast WiFi",N/A,"{'latitude': 39.744041442871094, 'longitude': -75.57230377197266}",N/A,https://proper-t.guestybookings.com/properties/6580ce60fc4aad0011034aa3,N/A,27,N/A
The Loft at Gilpin Place*King Bed*Trolley Square  (Unit 4),N/A,"{'latitude': 39.75680160522461, 'longitude': -75.55909729003906}",N/A,https://www.redawning.com/rental-property/loft-gilpin-place-king-bed-trolley-square-unit-4-delaware,N/A,4,N/A
Park Place- cozy modern space fully updated  fast WiFi  good coffee and easy parking,N/A,"{'latitude': 39.748138427734375, 'longitude': -75.56198120117188}",N/A,https://www.travelstaytion.com/rooms/726142,N/A,N/A,N/A
"The Terrace at Park Place, 2nd floor walk up -cozy 2 bedroom, fast WiFi, free coffee!",N/A,"{'latitude': 39.74814987182617, 'longitude': -75.5621566772461}",N/A,https://proper-t.guestybookings.com/properties/6580e0b26ab8680010f11b74,N/A,116,N/A
1740 ft² Apartment ∙ 3 bedrooms ∙ 6 guests,N/A,"{'latitude': 39.75020980834961, 'longitude': -75.57463836669922}",N/A,N/A,N/A,N/A,N/A
"Cozy unit, King bed & laundry",N/A,"{'latitude': 39.74409103393555, 'longitude': -75.57221221923828}",N/A,https://proper-t.guestybookings.com/properties/6580e090fc4aad001104f6e3,N/A,40,N/A
The Terrace at Park Place  2nd floor walk up -cozy 2 bedroom  fast WiFi  free coffee,N/A,"{'latitude': 39.74815368652344, 'longitude': -75.5621566772461}",N/A,https://www.travelstaytion.com/rooms/726237,N/A,N/A,N/A
Modern Cozy walk up with King Bed,N/A,"{'latitude': 39.74443817138672, 'longitude': -75.57203674316406}",N/A,https://proper-t.guestybookings.com/properties/65bc21809b89b30012ebe040,N/A,N/A,N/A
Home Sweet Home @Trolley Square!<br><br>https://goo.gl/maps/f1XX68qiTRCU7eFk7<br>,N/A,"{'latitude': 39.753318786621094, 'longitude': -75.56511688232422}",N/A,N/A,N/A,13,N/A
Wilmington Home ~ 28 Mi to Downtown Philadelphia!,N/A,"{'latitude': 39.75311279296875, 'longitude': -75.53730010986328}",N/A,http://g.rentalsunited.com/gate.aspx?uid=554691&url=1&pid=3680726&lc=google,N/A,1,N/A
Wilmington Home about 28 Mi to Downtown Philadelphia!,N/A,"{'latitude': 39.753108978271484, 'longitude': -75.53730010986328}",N/A,N/A,N/A,2,N/A
House of the Heart at Trolley Square! - Three-Bedroom House,N/A,"{'latitude': 39.7552490234375, 'longitude': -75.56414031982422}",N/A,N/A,N/A,15,N/A
The Penthouse at Park Place 3rd floor walkup,N/A,"{'latitude': 39.747615814208984, 'longitude': -75.56527709960938}",N/A,https://www.us.despegar.com/hotels/h-5055503,N/A,N/A,N/A
