Name,Description,Coordinates,Hotel Class,Link,Ratings,Reviews,Reviews Breakdown
TownePlace Suites Wilmington Newark/Christiana,"Informal all-suite hotel featuring an outdoor pool, a fitness center & complimentary hot breakfast.","{'latitude': 39.669871, 'longitude': -75.6712063}",3,https://www.marriott.com/en-us/hotels/ilgts-towneplace-suites-wilmington-newark-christiana/overview/?scid=f2ae0541-1279-4f24-b197-a979c79310b0,"[{'stars': 5, 'count': 173}, {'stars': 4, 'count': 99}, {'stars': 3, 'count': 58}, {'stars': 2, 'count': 17}, {'stars': 1, 'count': 35}]",382,"[{'name': 'Pets', 'description': 'Pets', 'total_mentioned': 10, 'positive': 7, 'negative': 3, 'neutral': 0}, {'name': 'Service', 'description': 'Service', 'total_mentioned': 131, 'positive': 103, 'negative': 22, 'neutral': 6}, {'name': 'Property', 'description': 'Property', 'total_mentioned': 142, 'positive': 97, 'negative': 37, 'neutral': 8}, {'name': 'Cleanliness', 'description': 'Cleanliness', 'total_mentioned': 95, 'positive': 65, 'negative': 26, 'neutral': 4}, {'name': 'Sleep', 'description': 'Sleep', 'total_mentioned': 36, 'positive': 17, 'negative': 19, 'neutral': 0}, {'name': 'Breakfast', 'description': 'Breakfast', 'total_mentioned': 52, 'positive': 29, 'negative': 14, 'neutral': 9}]"
SureStay Plus by Best Western Brandywine Valley,"Warm quarters, some with whirlpool tubs, in a relaxed property offering a 24-hour gym & a pool.","{'latitude': 39.786970499999995, 'longitude': -75.5448376}",3,https://www.bestwestern.com/en_US/book/hotel-rooms.55020.html?iata=90000026&ssob=BLSSH0004G&cid=BLSSH0004G:google:gmb:55020,"[{'stars': 5, 'count': 165}, {'stars': 4, 'count': 106}, {'stars': 3, 'count': 72}, {'stars': 2, 'count': 59}, {'stars': 1, 'count': 126}]",528,"[{'name': 'Location', 'description': 'Location', 'total_mentioned': 36, 'positive': 27, 'negative': 4, 'neutral': 5}, {'name': 'Atmosphere', 'description': 'Atmosphere', 'total_mentioned': 11, 'positive': 11, 'negative': 0, 'neutral': 0}, {'name': 'Fitness', 'description': 'Fitness', 'total_mentioned': 26, 'positive': 17, 'negative': 7, 'neutral': 2}, {'name': 'Pets', 'description': 'Pets', 'total_mentioned': 10, 'positive': 1, 'negative': 6, 'neutral': 3}, {'name': 'Air Conditioning', 'description': 'Air conditioning', 'total_mentioned': 12, 'positive': 3, 'negative': 9, 'neutral': 0}, {'name': 'Parking', 'description': 'Parking', 'total_mentioned': 15, 'positive': 3, 'negative': 12, 'neutral': 0}]"
Four Points by Sheraton Newark Christiana Wilmington,"Contemporary hotel offering a craft beer bar & a restaurant, plus a gym & free Wi-Fi.","{'latitude': 39.662462999999995, 'longitude': -75.66363}",3,https://www.marriott.com/en-us/hotels/ilgfp-four-points-newark-christiana-wilmington/overview/?scid=f2ae0541-1279-4f24-b197-a979c79310b0,"[{'stars': 5, 'count': 359}, {'stars': 4, 'count': 175}, {'stars': 3, 'count': 87}, {'stars': 2, 'count': 43}, {'stars': 1, 'count': 67}]",731,"[{'name': 'Bar', 'description': 'Bar or lounge', 'total_mentioned': 59, 'positive': 40, 'negative': 15, 'neutral': 4}, {'name': 'Couples', 'description': 'Couple friendly', 'total_mentioned': 21, 'positive': 9, 'negative': 8, 'neutral': 4}, {'name': 'Parking', 'description': 'Parking', 'total_mentioned': 13, 'positive': 8, 'negative': 3, 'neutral': 2}, {'name': 'Air Conditioning', 'description': 'Air conditioning', 'total_mentioned': 8, 'positive': 1, 'negative': 7, 'neutral': 0}, {'name': 'Transit', 'description': 'Public transit', 'total_mentioned': 8, 'positive': 5, 'negative': 2, 'neutral': 1}, {'name': 'Safety', 'description': 'Safety', 'total_mentioned': 7, 'positive': 2, 'negative': 4, 'neutral': 1}]"
"Inn At Mendenhall, WorldHotels Crafted","Informal hotel with an old-world restaurant & a casual bar, plus free Wi-Fi, breakfast & parking.","{'latitude': 39.8547656, 'longitude': -75.6411255}",3,https://www.worldhotels.com/content/luxury-hotels/en_US/book/chadds-ford/hotel-rooms/inn-at-mendenhall/propertyCode.39143.html,"[{'stars': 5, 'count': 364}, {'stars': 4, 'count': 136}, {'stars': 3, 'count': 25}, {'stars': 2, 'count': 15}, {'stars': 1, 'count': 27}]",567,"[{'name': 'Property', 'description': 'Property', 'total_mentioned': 133, 'positive': 109, 'negative': 15, 'neutral': 9}, {'name': 'Service', 'description': 'Service', 'total_mentioned': 156, 'positive': 129, 'negative': 22, 'neutral': 5}, {'name': 'Cleanliness', 'description': 'Cleanliness', 'total_mentioned': 85, 'positive': 78, 'negative': 7, 'neutral': 0}]"
The Inn at Grace Winery,"Country-style rooms & cottages on a 50-acre estate & winery, plus a seasonal outdoor pool.","{'latitude': 39.926173, 'longitude': -75.478878}",N/A,http://www.gracewinery.com/,"[{'stars': 5, 'count': 253}, {'stars': 4, 'count': 30}, {'stars': 3, 'count': 9}, {'stars': 2, 'count': 5}, {'stars': 1, 'count': 20}]",317,"[{'name': 'Service', 'description': 'Service', 'total_mentioned': 123, 'positive': 106, 'negative': 14, 'neutral': 3}, {'name': 'Property', 'description': 'Property', 'total_mentioned': 90, 'positive': 82, 'negative': 7, 'neutral': 1}, {'name': 'Dining', 'description': 'Food and Beverage', 'total_mentioned': 80, 'positive': 73, 'negative': 4, 'neutral': 3}]"
The Inn at Montchanin Village & Spa - A Historic Hotel of America,"Secluded, restored 19th-century village offering rooms & suites in refurbished workers' cottages.","{'latitude': 39.7906502, 'longitude': -75.5887699}",4,http://www.montchanin.com/,"[{'stars': 5, 'count': 112}, {'stars': 4, 'count': 35}, {'stars': 3, 'count': 8}, {'stars': 2, 'count': 6}, {'stars': 1, 'count': 13}]",174,"[{'name': 'Property', 'description': 'Property', 'total_mentioned': 41, 'positive': 30, 'negative': 10, 'neutral': 1}, {'name': 'Dining', 'description': 'Food and Beverage', 'total_mentioned': 23, 'positive': 19, 'negative': 4, 'neutral': 0}, {'name': 'Location', 'description': 'Location', 'total_mentioned': 12, 'positive': 10, 'negative': 2, 'neutral': 0}, {'name': 'Sleep', 'description': 'Sleep', 'total_mentioned': 15, 'positive': 5, 'negative': 9, 'neutral': 1}]"
Elk Forge Bed & Breakfast Inn,"Regal rooms & suites in a stately B&B offering a spa, a hot tub & a putting green, plus a tea room.","{'latitude': 39.6578747, 'longitude': -75.823439}",2,http://www.elkforge.com/,"[{'stars': 5, 'count': 150}, {'stars': 4, 'count': 41}, {'stars': 3, 'count': 15}, {'stars': 2, 'count': 15}, {'stars': 1, 'count': 20}]",241,"[{'name': 'Property', 'description': 'Property', 'total_mentioned': 110, 'positive': 83, 'negative': 20, 'neutral': 7}, {'name': 'Service', 'description': 'Service', 'total_mentioned': 90, 'positive': 65, 'negative': 19, 'neutral': 6}, {'name': 'Breakfast', 'description': 'Breakfast', 'total_mentioned': 70, 'positive': 51, 'negative': 13, 'neutral': 6}]"
Courtyard Newark-University of Delaware,"Modern hotel offering contemporary rooms with Wi-Fi, plus a restaurant, a business center & a gym.","{'latitude': 39.6887384, 'longitude': -75.759829}",3,https://www.marriott.com/en-us/hotels/ilgud-courtyard-newark-university-of-delaware/overview/?scid=f2ae0541-1279-4f24-b197-a979c79310b0,"[{'stars': 5, 'count': 315}, {'stars': 4, 'count': 132}, {'stars': 3, 'count': 35}, {'stars': 2, 'count': 14}, {'stars': 1, 'count': 24}]",520,"[{'name': 'Couples', 'description': 'Couple friendly', 'total_mentioned': 11, 'positive': 6, 'negative': 2, 'neutral': 3}, {'name': 'Bar', 'description': 'Bar or lounge', 'total_mentioned': 45, 'positive': 34, 'negative': 6, 'neutral': 5}, {'name': 'Business', 'description': 'Business', 'total_mentioned': 23, 'positive': 13, 'negative': 5, 'neutral': 5}, {'name': 'Pool', 'description': 'Pool', 'total_mentioned': 5, 'positive': 3, 'negative': 1, 'neutral': 1}, {'name': 'Bathroom', 'description': 'Bathroom and toiletries', 'total_mentioned': 20, 'positive': 7, 'negative': 12, 'neutral': 1}, {'name': 'Restaurant', 'description': 'Restaurant', 'total_mentioned': 21, 'positive': 14, 'negative': 4, 'neutral': 3}]"
Red Roof Inn & Suites Newark - University,"Warm quarters in a relaxed budget hotel offering complimentary Wi-Fi & parking, plus a gym.","{'latitude': 39.6511855, 'longitude': -75.7475745}",2,https://www.redroof.com/property/de/newark/RRI812?utm_source=GMB&utm_medium=Google&utm_campaign=GMB_Performance_RRI812,"[{'stars': 5, 'count': 249}, {'stars': 4, 'count': 196}, {'stars': 3, 'count': 168}, {'stars': 2, 'count': 97}, {'stars': 1, 'count': 314}]",1024,"[{'name': 'Pets', 'description': 'Pets', 'total_mentioned': 35, 'positive': 16, 'negative': 13, 'neutral': 6}, {'name': 'Wellness', 'description': 'Wellness', 'total_mentioned': 5, 'positive': 0, 'negative': 5, 'neutral': 0}, {'name': 'Nightlife', 'description': 'Nightlife', 'total_mentioned': 12, 'positive': 1, 'negative': 10, 'neutral': 1}, {'name': 'Bathroom', 'description': 'Bathroom and toiletries', 'total_mentioned': 108, 'positive': 10, 'negative': 91, 'neutral': 7}, {'name': 'Wi-Fi', 'description': 'Wi-Fi', 'total_mentioned': 18, 'positive': 6, 'negative': 11, 'neutral': 1}, {'name': 'TV', 'description': 'Room entertainment', 'total_mentioned': 31, 'positive': 6, 'negative': 25, 'neutral': 0}]"
Residence Inn Wilmington Downtown,"Informal hotel offering laid-back suites with kitchens, plus a restaurant, a bar & a gym.","{'latitude': 39.748215099999996, 'longitude': -75.5458057}",3,https://www.marriott.com/en-us/hotels/ilgwd-residence-inn-wilmington-downtown/overview/?scid=f2ae0541-1279-4f24-b197-a979c79310b0,"[{'stars': 5, 'count': 158}, {'stars': 4, 'count': 55}, {'stars': 3, 'count': 27}, {'stars': 2, 'count': 19}, {'stars': 1, 'count': 33}]",292,"[{'name': 'Service', 'description': 'Service', 'total_mentioned': 105, 'positive': 67, 'negative': 29, 'neutral': 9}, {'name': 'Bathroom', 'description': 'Bathroom and toiletries', 'total_mentioned': 27, 'positive': 9, 'negative': 18, 'neutral': 0}, {'name': 'Property', 'description': 'Property', 'total_mentioned': 117, 'positive': 85, 'negative': 23, 'neutral': 9}, {'name': 'Cleanliness', 'description': 'Cleanliness', 'total_mentioned': 61, 'positive': 35, 'negative': 24, 'neutral': 2}, {'name': 'Location', 'description': 'Location', 'total_mentioned': 27, 'positive': 20, 'negative': 6, 'neutral': 1}, {'name': 'Parking', 'description': 'Parking', 'total_mentioned': 40, 'positive': 8, 'negative': 27, 'neutral': 5}]"
