Name,Description,Coordinates,Hotel Class,Link,Ratings,Reviews,Reviews Breakdown
Zen Oasis w/ Salt Water Pool & Water Front Canal,N/A,"{'latitude': 27.776248931884766, 'longitude': -82.40668487548828}",N/A,N/A,N/A,3,N/A
Apollo Beach Waterfront Pool Oasis,N/A,"{'latitude': 27.771175384521484, 'longitude': -82.40293884277344}",N/A,https://BNBmanagementanddecor.holidayfuture.com/listings/230314?googleVR=1,N/A,100,N/A
Quiet Waterfront View Condo-New Appliances!  Remodeled Baths!,N/A,"{'latitude': 27.77655029296875, 'longitude': -82.41806030273438}",N/A,N/A,N/A,20,N/A
Apollo Beach House,N/A,"{'latitude': 27.771299362182617, 'longitude': -82.41179656982422}",N/A,https://www.super.com/travel/hotels/G7q676Kl?utm_source=gha_vr&utm_campaign=static,N/A,N/A,N/A
Apollo Beach amazing pool home game room,N/A,"{'latitude': 27.774883270263672, 'longitude': -82.4053726196289}",N/A,https://BNBmanagementanddecor.holidayfuture.com/listings/230315?googleVR=1,N/A,51,N/A
Waterside Retreat is a Spectacular Waterfront Apollo Beach Home with screened in Heated Pool,N/A,"{'latitude': 27.773359298706055, 'longitude': -82.41159057617188}",N/A,N/A,N/A,N/A,N/A
"Waterfront condo, gated, dock, lanai, newly remodeled, single story.",N/A,"{'latitude': 27.77206039428711, 'longitude': -82.4097671508789}",N/A,N/A,N/A,N/A,N/A
"Waterfront condo, gated, dock, lanai, newly remodeled, single story, 2 bd /2 ba.",N/A,"{'latitude': 27.77408218383789, 'longitude': -82.40929412841797}",N/A,N/A,N/A,N/A,N/A
Beautifully Remodeled Apollo Beach Pool Paradise! Sleeps 7!,N/A,"{'latitude': 27.773693084716797, 'longitude': -82.4075927734375}",N/A,https://www.us.despegar.com/hotels/h-6037466,N/A,N/A,N/A
Adorable Waterfront guest house,N/A,"{'latitude': 27.77518081665039, 'longitude': -82.4066390991211}",N/A,https://deals.vio.com?sig=73aca13c7f952d2641c156f3e69125e1eb497c325f122828ee5aa8797168b9a12d32303331333438363233&turl=https%3A%2F%2Fwww.vio.com%2FHotel%2FSearch%3FhotelId%3D76011731%26utm_source%3Dgha-vr%26utm_campaign%3Dstatic%26openHotelDetails%3D1,N/A,N/A,N/A
Newly Renovated Condo in Apollo Beach 5! ,N/A,"{'latitude': 27.778705596923828, 'longitude': -82.41902923583984}",N/A,N/A,N/A,8,N/A
Heated Pool in Apollo Beach,N/A,"{'latitude': 27.769750595092773, 'longitude': -82.40552520751953}",N/A,N/A,N/A,212,N/A
"Surfside Retreat in Apollo Beach, FL",N/A,"{'latitude': 27.776649475097656, 'longitude': -82.41773223876953}",N/A,https://www.bluepillow.com/search?p_id=589dfd5c7c00cb10c8daccc7&dest=bpvr&cat=Apartment&accomodationids=63970155b05b4aeb869731ce,N/A,5,N/A
Updated Waterfront Condo in Apollo Beach,N/A,"{'latitude': 27.778709411621094, 'longitude': -82.41902923583984}",N/A,N/A,N/A,23,N/A
Apollo Beach Oasis: Lanai + Heated Pool!,N/A,"{'latitude': 27.770885467529297, 'longitude': -82.41612243652344}",N/A,http://g.rentalsunited.com/gate.aspx?uid=554691&url=1&pid=3758394&lc=google,N/A,9,N/A
"Tropical, Waterfront Oasis w/ private Dock in Apollo Beach",N/A,"{'latitude': 27.77739906311035, 'longitude': -82.40817260742188}",N/A,N/A,N/A,29,N/A
ENTIRE TOWNHOME IN APOLLO BEACH FL,N/A,"{'latitude': 27.776880264282227, 'longitude': -82.41643524169922}",N/A,https://www.vrbo.com/3651956?MDPCID=VRBO-META.HPA.WEB-ORGANIC.VR,N/A,3,N/A
Apollo Beach Getaway With Dock & Pool!,N/A,"{'latitude': 27.774757385253906, 'longitude': -82.4138412475586}",N/A,https://www.us.despegar.com/hotels/h-4784098,N/A,N/A,N/A
