Name,Description,Coordinates,Hotel Class,Link,Ratings,Reviews,Reviews Breakdown
All modern Studio with private entry  parking.,N/A,"{'latitude': 27.920589447021484, 'longitude': -82.2760009765625}",N/A,N/A,N/A,38,N/A
"Stunning Heated Pool House for 10 in Brandon, FL",N/A,"{'latitude': 27.910812377929688, 'longitude': -82.30648040771484}",N/A,https://www.emperorrentals.com/amazing-charming-pool-home-in-brandon-orp5b62169x,N/A,29,N/A
"Bright Getaway with Ski Lake, 11 Miles to Dtwn Tampa",N/A,"{'latitude': 27.971969604492188, 'longitude': -82.30107116699219}",N/A,N/A,N/A,1,N/A
Heather Lakes Retreat,N/A,"{'latitude': 27.91962242126465, 'longitude': -82.30824279785156}",N/A,N/A,N/A,23,N/A
BEAUTIFUL STUDIO IN HEART OF BRANDON,N/A,"{'latitude': 27.962013244628906, 'longitude': -82.31547546386719}",N/A,N/A,N/A,6,N/A
Cozy Brandon Guest Studio w/ Pool & Hot Tub!,N/A,"{'latitude': 27.9450626373291, 'longitude': -82.32032012939453}",N/A,http://g.rentalsunited.com/gate.aspx?uid=554691&url=1&pid=3339442&lc=google,N/A,23,N/A
Idyllic Brandon Home w/ Fenced Yard & Patio!,N/A,"{'latitude': 27.95613670349121, 'longitude': -82.28479766845703}",N/A,https://www.us.despegar.com/hotels/h-4774408,N/A,N/A,N/A
New house in Brandon,N/A,"{'latitude': 27.956205368041992, 'longitude': -82.28709411621094}",N/A,https://www.booking.com/hotel/us/new-house-in-brandon.en.html?aid=2068758;label=seogooglelocal-link-imagesaow-hotel-12056338_grp-2_gendate-20240917;utm_source=seogooglelocal;utm_medium=description;utm_term=hotel-12056338;utm_campaign=en,N/A,N/A,N/A
ZenHomes in heart of Brandon convenient location - Queen Room,N/A,"{'latitude': 27.96780014038086, 'longitude': -82.32138061523438}",N/A,N/A,N/A,28,N/A
Lakefront Brandon Home w/ Patio & Screened Lanai!,N/A,"{'latitude': 27.910940170288086, 'longitude': -82.31069946289062}",N/A,http://g.rentalsunited.com/gate.aspx?uid=554691&url=1&pid=3092498&lc=google,N/A,31,N/A
Cozy Brandon Vacation Rental with Shared Pool!,N/A,"{'latitude': 27.96541976928711, 'longitude': -82.31803894042969}",N/A,N/A,N/A,3,N/A
Spacious Brandon Home w/ Private Outdoor Pool,N/A,"{'latitude': 27.96112823486328, 'longitude': -82.28118133544922}",N/A,http://g.rentalsunited.com/gate.aspx?uid=554691&url=1&pid=3236417&lc=google,N/A,7,N/A
Cheerful 3 bedroom home. Great outdoor lounge area,N/A,"{'latitude': 27.973920822143555, 'longitude': -82.30085754394531}",N/A,https://mvpluxuryhomes.com/properties/6258c42838a06100356bee29,N/A,N/A,N/A
2Bdrms w/King + Twin & 2 Baths | Urban Gem,N/A,"{'latitude': 27.917211532592773, 'longitude': -82.31544494628906}",N/A,https://bluewhiterentals.hospitable.rentals/property/king-bed-queen-twin-2-baths-urban-gem,N/A,66,N/A
Seasonal Cottage-Brandon Fl. Lake view 813-376-5015,N/A,"{'latitude': 27.953479766845703, 'longitude': -82.28807067871094}",N/A,https://www.bluepillow.com/search?p_id=589dfd8d7c00cb10c8dacf9b&dest=bpvr&cat=Cottage&accomodationids=621751daa7239796806bc2a8,N/A,15,N/A
Itty Bitty Bliss,N/A,"{'latitude': 27.957809448242188, 'longitude': -82.29771423339844}",N/A,N/A,N/A,N/A,N/A
Family Paradise | Free Heated Pool,N/A,"{'latitude': 27.955162048339844, 'longitude': -82.26887512207031}",N/A,https://floridafamilyparadise.com/,N/A,127,N/A
Brandon Home w/ Hot Tub: 16 Mi to Downtown Tampa!,N/A,"{'latitude': 27.879854202270508, 'longitude': -82.2696762084961}",N/A,http://g.rentalsunited.com/gate.aspx?uid=554691&url=1&pid=3859914&lc=google,N/A,N/A,N/A
