Name,Description,Coordinates,Hotel Class,Link,Ratings,Reviews,Reviews Breakdown
Clearwater Beachfront Condo w/ Heated Pool Access!,N/A,"{'latitude': 27.950777053833008, 'longitude': -82.83263397216797}",N/A,http://g.rentalsunited.com/gate.aspx?uid=554691&url=1&pid=3712526&lc=google,N/A,4,N/A
Pelican Pointe Gulf view Studio,N/A,"{'latitude': 27.96961784362793, 'longitude': -82.82901763916016}",N/A,N/A,N/A,2,N/A
Island Vibes Cottage,N/A,"{'latitude': 27.98590087890625, 'longitude': -82.82685089111328}",N/A,N/A,N/A,70,N/A
4103 Condo On The Beach - Heated Pool - Self Check-in - 2 beds,N/A,"{'latitude': 27.93341064453125, 'longitude': -82.84127807617188}",N/A,https://emerald.holidayfuture.com/listings/166736?googleVR=1,N/A,83,N/A
2210  3 Min Walk -> Beach / Heated Pool / Free Parking,N/A,"{'latitude': 27.972007751464844, 'longitude': -82.82756042480469}",N/A,https://tropical.holidayfuture.com/listings/166706?googleVR=1,N/A,94,N/A
Clearwater with Shared Pool 22,N/A,"{'latitude': 27.94338035583496, 'longitude': -82.79973602294922}",N/A,https://book.hostfully.com/stay-homes/property-details/1ec8d338-9ce3-4625-bd8c-8704d43cee7f/clearwater-22,N/A,28,N/A
Family-Friendly Clearwater Home w/ Game Room!,N/A,"{'latitude': 27.959741592407227, 'longitude': -82.7734146118164}",N/A,http://g.rentalsunited.com/gate.aspx?uid=554691&url=1&pid=3236362&lc=google,N/A,N/A,N/A
"Sunshine Shores |Hot Tub, Private Yard, Nintendo",N/A,"{'latitude': 27.930940628051758, 'longitude': -82.79552459716797}",N/A,https://RainorShinePM.holidayfuture.com/listings/218099?googleVR=1,N/A,16,N/A
"Lime Serenity | Hot Tub, Dog Friendly,10 to Beach",N/A,"{'latitude': 27.930908203125, 'longitude': -82.7955322265625}",N/A,https://RainorShinePM.holidayfuture.com/listings/219919?googleVR=1,N/A,27,N/A
440 West Condos 1508S Walk to the Beach 555,N/A,"{'latitude': 27.968639373779297, 'longitude': -82.8297119140625}",N/A,N/A,N/A,N/A,N/A
Gone Beaching 202,N/A,"{'latitude': 27.986324310302734, 'longitude': -82.8254165649414}",N/A,https://new.rentalsunited.com/Property/1472101?sc=554691,N/A,117,N/A
Marine Boho-chic family home w/ pool. 3 minutes to the Ocean,N/A,"{'latitude': 27.996240615844727, 'longitude': -82.7914810180664}",N/A,https://www.theoceanretreat.com/listing/en/458552,N/A,N/A,N/A
3 bedroom farmhouse cottage 11 minutes from the beach,N/A,"{'latitude': 28.06014633178711, 'longitude': -82.74295043945312}",N/A,https://www.vacationrentalsinclearwater.com/listing/en/562985,N/A,N/A,N/A
Montmartre Condos 216,N/A,"{'latitude': 27.93625259399414, 'longitude': -82.84037780761719}",N/A,https://new.rentalsunited.com/Property/2175321?sc=554691,N/A,3,N/A
4319 Condo On The Beach - Ocean Side View Balcony - 2 Beds,N/A,"{'latitude': 27.93337631225586, 'longitude': -82.84130096435547}",N/A,https://emerald.holidayfuture.com/listings/166742?googleVR=1,N/A,80,N/A
"Largo Duplex w/ Patio, Near Beaches & Dining!",N/A,"{'latitude': 27.919055938720703, 'longitude': -82.79188537597656}",N/A,http://g.rentalsunited.com/gate.aspx?uid=554691&url=1&pid=3858725&lc=google,N/A,N/A,N/A
1K bed Studio apt with Shared Pool 512,N/A,"{'latitude': 27.943288803100586, 'longitude': -82.79940795898438}",N/A,https://booking.stayhomes.net/vacation-rental-property-v2/94250/homa-boutique-apt-w--community-pool,N/A,20,N/A
2Q beds Studio apt with Shared Pool 04,N/A,"{'latitude': 27.94342613220215, 'longitude': -82.79965209960938}",N/A,https://booking.stayhomes.net/vacation-rental-property-v2/96851/clearwater-2-queen-oasis-112,N/A,34,N/A
