Name,Description,Coordinates,Hotel Class,Link,Ratings,Reviews,Reviews Breakdown
La Casa Del Mar 608 Star5Vacationscom,N/A,"{'latitude': 28.042436599731445, 'longitude': -82.78397369384766}",N/A,https://www.star5vacations.com/vacation/condominium-dunedin-la-casa-del-mar-608-star5vacationscom-301335.html?idReferer=3773,N/A,7,N/A
Welcome to Cozy Coastal Cottages of Dunedin #3,N/A,"{'latitude': 28.016847610473633, 'longitude': -82.78103637695312}",N/A,https://www.emperorrentals.com/welcome-to-cozy-coastal-cottages-of-dunedin-3-orp5b5d22bx,N/A,53,N/A
of DowntownShopsSelf Check-InA/CNetflix,N/A,"{'latitude': 28.0124454498291, 'longitude': -82.78731536865234}",N/A,https://onvacaygetaways.holidayfuture.com/listings/227275?googleVR=1,N/A,63,N/A
La Casa Del Mar 610 Star5Vacations,N/A,"{'latitude': 28.042583465576172, 'longitude': -82.7838134765625}",N/A,https://www.star5vacations.com/vacation/condominium-dunedin-la-casa-del-mar-610-star5vacations-301337.html?idReferer=3773,N/A,29,N/A
3 bedroom farmhouse cottage 11 minutes from the beach,N/A,"{'latitude': 28.06014633178711, 'longitude': -82.74295043945312}",N/A,https://www.vacationrentalsinclearwater.com/listing/en/562985,N/A,N/A,N/A
Marine Boho-chic family home w/ pool. 3 minutes to the Ocean,N/A,"{'latitude': 27.996240615844727, 'longitude': -82.7914810180664}",N/A,https://www.theoceanretreat.com/listing/en/458552,N/A,N/A,N/A
"236D) 1BR Apt, Walk to Beach!",N/A,"{'latitude': 27.99247169494629, 'longitude': -82.82713317871094}",N/A,https://book.travelwithtraverse.com/listings/260522?googleVR=1,N/A,N/A,N/A
Paradise Palms — Monthly Beach Rental,N/A,"{'latitude': 27.991119384765625, 'longitude': -82.82734680175781}",N/A,N/A,N/A,19,N/A
"4 Bedroom Clearwater Home Near Beach, Dunedin, Blue Jays Stadium",N/A,"{'latitude': 27.995201110839844, 'longitude': -82.78815460205078}",N/A,https://www.britpropertiesllc.com/4-bedroom-clearwater-home-near-beach-dunedin-blue-jays-stadium-orp5b4c3a7x,N/A,51,N/A
"Edgewater, Best Location! Beachy-home close to water & shops",N/A,"{'latitude': 27.99716567993164, 'longitude': -82.7908935546875}",N/A,https://www.theoceanretreat.com/listing/en/458550,N/A,N/A,N/A
Dream Vacation Beach House,N/A,"{'latitude': 27.99687957763672, 'longitude': -82.82392120361328}",N/A,N/A,N/A,19,N/A
1 Mile to Beach~ Private Pool Oasis!~Volleyball,N/A,"{'latitude': 28.061309814453125, 'longitude': -82.75936889648438}",N/A,https://hometeam.guestybookings.com/properties/655cf271520a370027d598ea,N/A,28,N/A
Tropical Vibe,N/A,"{'latitude': 28.02916145324707, 'longitude': -82.7431869506836}",N/A,https://www.vacasa.com/unit/107891,N/A,11,N/A
"Magnolia, Just 5 Min to the #1 Beach in US",N/A,"{'latitude': 28.03507423400879, 'longitude': -82.7431869506836}",N/A,https://www.theoceanretreat.com/listing/en/374368,N/A,N/A,N/A
Dunedin Garden Cottage,N/A,"{'latitude': 28.01854705810547, 'longitude': -82.79022216796875}",N/A,https://new.rentalsunited.com/Property/582076?sc=554691,N/A,42,N/A
Rustic Cottage in Dunedin FL,N/A,"{'latitude': 28.018884658813477, 'longitude': -82.77755737304688}",N/A,N/A,N/A,N/A,N/A
The Highland Hideaway | Downtown Dunedin,N/A,"{'latitude': 28.01519012451172, 'longitude': -82.78562927246094}",N/A,N/A,N/A,86,N/A
Dunedin Waterside Cottage,N/A,"{'latitude': 28.018497467041016, 'longitude': -82.79046630859375}",N/A,https://new.rentalsunited.com/Property/582084?sc=554691,N/A,N/A,N/A
