Name,Description,Coordinates,Hotel Class,Link,Ratings,Reviews,Reviews Breakdown
Daydream Fantasy in Paradise,N/A,"{'latitude': 28.187503814697266, 'longitude': -82.4674301147461}",N/A,https://125599_1.holidayfuture.com/listings/313116?googleVR=1,N/A,N/A,N/A
K4: 2 BR Condo at Paradise Lakes,N/A,"{'latitude': 28.184249877929688, 'longitude': -82.47150421142578}",N/A,https://125599_1.holidayfuture.com/listings/313126?googleVR=1,N/A,N/A,N/A
Serene Sensuality in Paradise,N/A,"{'latitude': 28.187395095825195, 'longitude': -82.47020721435547}",N/A,https://125599_1.holidayfuture.com/listings/313119?googleVR=1,N/A,N/A,N/A
Odessa Lakeside: 3BR Pool & Hot Tub,N/A,"{'latitude': 28.138370513916016, 'longitude': -82.58154296875}",N/A,https://luxurylodging.holidayfuture.com/listings/314717?googleVR=1,N/A,1,N/A
Odessa Lake House w/ Private Pool & Screened Lanai,N/A,"{'latitude': 28.140708923339844, 'longitude': -82.58065795898438}",N/A,N/A,N/A,N/A,N/A
Lakefront house with pool and playroom,N/A,"{'latitude': 28.160400390625, 'longitude': -82.58917999267578}",N/A,https://www.bluepillow.com/search?p_id=589dfd647c00cb10c8dacd0b&dest=bpex&cat=House&accomodationids=65cb85003e6d928972f8bbcf,N/A,N/A,N/A
"Our Little Nest, 1BR/1BA condo 5 minute walk from Paradise Lakes Resort",N/A,"{'latitude': 28.186159133911133, 'longitude': -82.4710693359375}",N/A,https://www.vrbo.com/2632997?MDPCID=VRBO-META.HPA.WEB-ORGANIC.VR,N/A,15,N/A
"Lakefront Home's Separate Apartment in Odessa, Tampa, FL!",N/A,"{'latitude': 28.12200927734375, 'longitude': -82.59455108642578}",N/A,N/A,N/A,1,N/A
A perfect Lake House get away,N/A,"{'latitude': 28.17738151550293, 'longitude': -82.57516479492188}",N/A,https://www.us.despegar.com/hotels/h-6082872,N/A,N/A,N/A
#64 Thee Palm in law by Joyful Moments Vacations,N/A,"{'latitude': 28.181377410888672, 'longitude': -82.52652740478516}",N/A,N/A,N/A,3,N/A
"Luxurious Villa Rental with Pool and Hot Tub near Tampa, Florida",N/A,"{'latitude': 28.125394821166992, 'longitude': -82.52738189697266}",N/A,https://glampinghub.com/unitedstatesofamerica/southeast/florida/lutz/villa-rental-tampa-florida/,N/A,N/A,N/A
"New town homes, nice beautiful neighborhood, shopping centers close by walking",N/A,"{'latitude': 28.19339942932129, 'longitude': -82.59642791748047}",N/A,https://www.bluepillow.com/search?lat=28.1934&lng=-82.59643&dest=bpex&cat=House&accomodationids=6233b07e4c4d8d9b9b81ebc7,N/A,N/A,N/A
"Charming cottage in old Florida Odessa lake community with AC, WiFi, kayak",N/A,"{'latitude': 28.1860408782959, 'longitude': -82.58757781982422}",N/A,https://www.vrbo.com/4142538?MDPCID=VRBO-META.HPA.WEB-ORGANIC.VR,N/A,N/A,N/A
Bexley Gem,N/A,"{'latitude': 28.218856811523438, 'longitude': -82.52791595458984}",N/A,N/A,N/A,N/A,N/A
Relaxing Lakefront Farm Tiny Home,N/A,"{'latitude': 28.16208267211914, 'longitude': -82.46515655517578}",N/A,N/A,N/A,N/A,N/A
"New 2024 Home in Lutz, Tampa Florida",N/A,"{'latitude': 28.15765380859375, 'longitude': -82.49480438232422}",N/A,https://www.us.despegar.com/hotels/h-6191849,N/A,N/A,N/A
Dito’s Casita,N/A,"{'latitude': 28.1159610748291, 'longitude': -82.52281188964844}",N/A,N/A,N/A,N/A,N/A
Adorable Waterfront Cottage,N/A,"{'latitude': 28.117830276489258, 'longitude': -82.57823944091797}",N/A,https://www.bluepillow.com/search?p_id=589dfd647c00cb10c8dacd0b&dest=bpex&cat=Cottage&accomodationids=62df2e452d760a9969f1e84a,N/A,N/A,N/A
