Name,Description,Coordinates,Hotel Class,Link,Ratings,Reviews,Reviews Breakdown
"Hudson retreat, 3 Bedroom Pool Home!",N/A,"{'latitude': 28.353483200073242, 'longitude': -82.6947250366211}",N/A,https://www.airbnbrent.com/hudson-retreat-3-bedroom-pool-home-orp5b66637x,N/A,11,N/A
"Beautiful & Cozy Home on a Canal in Hudson, FL!",N/A,"{'latitude': 28.35945701599121, 'longitude': -82.70201873779297}",N/A,https://www.emperorrentals.com/beautiful-cozy-home-on-a-canal-in-hudson-fl-orp5b5a27cx,N/A,69,N/A
Waterfront Hudson Townhome w/ Dock Access!,N/A,"{'latitude': 28.361530303955078, 'longitude': -82.70746612548828}",N/A,http://g.rentalsunited.com/gate.aspx?uid=554691&url=1&pid=3858734&lc=google,N/A,N/A,N/A
"1/1 condo, Hudson FL, waterfront, private beach!",N/A,"{'latitude': 28.35761070251465, 'longitude': -82.71469116210938}",N/A,N/A,N/A,56,N/A
"1\/1 condo, Hudson FL, waterfront, private beach!",N/A,"{'latitude': 28.35761070251465, 'longitude': -82.7146987915039}",N/A,https://deals.vio.com?sig=73aca13c7f952d2641c156f3e69125e1eb497c325f122828ee5aa8797168b9a12d32303331333438363233&turl=https%3A%2F%2Fwww.vio.com%2FHotel%2FSearch%3FhotelId%3D75499361%26utm_source%3Dgha-vr%26utm_campaign%3Dstatic%26openHotelDetails%3D1,N/A,N/A,N/A
Modern Waterfront Hudson Condo With Resort Pool,N/A,"{'latitude': 28.357799530029297, 'longitude': -82.71630096435547}",N/A,https://www.super.com/travel/hotels/lorNLpbW?utm_source=gha_vr&utm_campaign=static,N/A,N/A,N/A
Sunny Hudson Condo w/ Private Beach Access!,N/A,"{'latitude': 28.357797622680664, 'longitude': -82.71452331542969}",N/A,http://g.rentalsunited.com/gate.aspx?uid=554691&url=1&pid=3222600&lc=google,N/A,29,N/A
Sunny Hudson Escape with Gulf Views and Boat Dock,N/A,"{'latitude': 28.349456787109375, 'longitude': -82.70176696777344}",N/A,N/A,N/A,11,N/A
Hudson Waterfront Condo w/ Community Pool Access!,N/A,"{'latitude': 28.35462760925293, 'longitude': -82.71187591552734}",N/A,https://www.us.despegar.com/hotels/h-5287686,N/A,N/A,N/A
Gulf-View Hudson Condo in Waterfront Resort!,N/A,"{'latitude': 28.357799530029297, 'longitude': -82.71452331542969}",N/A,http://g.rentalsunited.com/gate.aspx?uid=554691&url=1&pid=3094396&lc=google,N/A,236,N/A
"New listing …GULF FRONT CONDO Sleeps 4 Hudson, FL",N/A,"{'latitude': 28.35778045654297, 'longitude': -82.71499633789062}",N/A,https://www.vrbo.com/4090872?MDPCID=VRBO-META.HPA.WEB-ORGANIC.VR,N/A,2,N/A
Hudson Beach Waterfront,N/A,"{'latitude': 28.36363983154297, 'longitude': -82.70829772949219}",N/A,https://www.bluepillow.com/search?lat=28.36364&lng=-82.7083&dest=bpvr&cat=House&accomodationids=621750c5a7239796806b4df8,N/A,94,N/A
Waterfront Hudson Condo w/ Pool & Beach Access,N/A,"{'latitude': 28.357820510864258, 'longitude': -82.71501922607422}",N/A,http://g.rentalsunited.com/gate.aspx?uid=554691&url=1&pid=3633486&lc=google,N/A,8,N/A
Hudson Beach Waterfront House with dock and canoe,N/A,"{'latitude': 28.3617000579834, 'longitude': -82.69725036621094}",N/A,https://www.us.despegar.com/hotels/h-5028735,N/A,N/A,N/A
Remarkable Hudson Condo w\/ Coastal Views!,N/A,"{'latitude': 28.359264373779297, 'longitude': -82.71526336669922}",N/A,https://deals.vio.com?sig=73aca13c7f952d2641c156f3e69125e1eb497c325f122828ee5aa8797168b9a12d32303331333438363233&turl=https%3A%2F%2Fwww.vio.com%2FHotel%2FSearch%3FhotelId%3D75499745%26utm_source%3Dgha-vr%26utm_campaign%3Dstatic%26openHotelDetails%3D1,N/A,N/A,N/A
"Estudio Boutique Cerca de la Playa y del Río en Hudson, Fl",N/A,"{'latitude': 28.377262115478516, 'longitude': -82.68534851074219}",N/A,https://www.vrbo.com/11623173ha?MDPCID=VRBO-META.HPA.WEB-ORGANIC.VR,N/A,N/A,N/A
Waterfront cottage with a dock,N/A,"{'latitude': 28.345094680786133, 'longitude': -82.70157623291016}",N/A,N/A,N/A,16,N/A
Bright Hudson Condo Rental w/ Gulf-View Balcony!,N/A,"{'latitude': 28.35783576965332, 'longitude': -82.71632385253906}",N/A,http://g.rentalsunited.com/gate.aspx?uid=554691&url=1&pid=3694660&lc=google,N/A,4,N/A
