Name,Description,Coordinates,Hotel Class,Link,Ratings,Reviews,Reviews Breakdown
Daydream Fantasy in Paradise,N/A,"{'latitude': 28.187503814697266, 'longitude': -82.4674301147461}",N/A,https://125599_1.holidayfuture.com/listings/313116?googleVR=1,N/A,N/A,N/A
Serene Sensuality in Paradise,N/A,"{'latitude': 28.187395095825195, 'longitude': -82.47020721435547}",N/A,https://125599_1.holidayfuture.com/listings/313119?googleVR=1,N/A,N/A,N/A
K4: 2 BR Condo at Paradise Lakes,N/A,"{'latitude': 28.184249877929688, 'longitude': -82.47150421142578}",N/A,https://125599_1.holidayfuture.com/listings/313126?googleVR=1,N/A,N/A,N/A
Best kept secret in Land O Lakes 💎,N/A,"{'latitude': 28.225229263305664, 'longitude': -82.45159912109375}",N/A,N/A,N/A,56,N/A
Vacation Nude! Paradise Lakes Clothing Optional M5!,N/A,"{'latitude': 28.185598373413086, 'longitude': -82.47248840332031}",N/A,N/A,N/A,10,N/A
Freaky Tiki!  1BR\/1BA Retro Florida Styled Condo at Paradise Lakes,N/A,"{'latitude': 28.183671951293945, 'longitude': -82.47045135498047}",N/A,https://deals.vio.com?sig=73aca13c7f952d2641c156f3e69125e1eb497c325f122828ee5aa8797168b9a12d32303331333438363233&turl=https%3A%2F%2Fwww.vio.com%2FHotel%2FSearch%3FhotelId%3D76447313%26utm_source%3Dgha-vr%26utm_campaign%3Dstatic%26openHotelDetails%3D1,N/A,N/A,N/A
"Our Little Nest, 1BR/1BA condo 5 minute walk from Paradise Lakes Resort",N/A,"{'latitude': 28.186159133911133, 'longitude': -82.4710693359375}",N/A,https://www.vrbo.com/2632997?MDPCID=VRBO-META.HPA.WEB-ORGANIC.VR,N/A,15,N/A
Tiny Lakeside Cabin,N/A,"{'latitude': 28.31447982788086, 'longitude': -82.50473022460938}",N/A,https://www.bluepillow.com/search?lat=28.31448&lng=-82.50473&dest=bpex&cat=Cabin&accomodationids=639740e4fc70cceab6192037,N/A,N/A,N/A
Caliente Club & Resorts - 1 Bedroom,N/A,"{'latitude': 28.257116317749023, 'longitude': -82.46336364746094}",N/A,https://whimstay.com/detail/Caliente-Club-Resorts-1-Bedroom/293911?isgoogle=true,N/A,N/A,N/A
"Tranquil 1st Floor Apt with Parks, Prime North Tampa",N/A,"{'latitude': 28.183521270751953, 'longitude': -82.39912414550781}",N/A,https://search.readystays.com/listings/171703?googleVR=1,N/A,N/A,N/A
Getaway Private Suite C,N/A,"{'latitude': 28.186809539794922, 'longitude': -82.48370361328125}",N/A,https://www.booking.com/hotel/us/getaway-private-suite-c.en.html?aid=2068758;label=seogooglelocal-link-imagesaow-hotel-12206042_grp-2_gendate-20240917;utm_source=seogooglelocal;utm_medium=description;utm_term=hotel-12206042;utm_campaign=en,N/A,N/A,N/A
Freaky Tiki!  1BR/1BA Retro Florida Styled Condo at Paradise Lakes,N/A,"{'latitude': 28.183670043945312, 'longitude': -82.47045135498047}",N/A,N/A,N/A,19,N/A
Beautiful 1br/1bath condo located in Paradise Lakes Clothing Optional Resort,N/A,"{'latitude': 28.188039779663086, 'longitude': -82.46926879882812}",N/A,N/A,N/A,50,N/A
Clothing Optional Studio in Paradise Lakes Resort nudist community,N/A,"{'latitude': 28.187936782836914, 'longitude': -82.46739959716797}",N/A,N/A,N/A,38,N/A
Safari Suite #2302,N/A,"{'latitude': 28.186359405517578, 'longitude': -82.46473693847656}",N/A,https://www.bluepillow.com/search?p_id=589dfd467c00cb10c8dacc2e&dest=bpex&cat=Apartment&accomodationids=6233ad554c4d8d9b9b801af5,N/A,N/A,N/A
Beautiful 1 br/1 bath Condo for rent in Paradise Lakes Clothing Optional Resort,N/A,"{'latitude': 28.188011169433594, 'longitude': -82.46929168701172}",N/A,https://www.us.despegar.com/hotels/h-5052855,N/A,N/A,N/A
Lakefront Studio with Amenities.,N/A,"{'latitude': 28.249265670776367, 'longitude': -82.475830078125}",N/A,N/A,N/A,4,N/A
Secret Garden at Paradise Lakes,N/A,"{'latitude': 28.187414169311523, 'longitude': -82.46832275390625}",N/A,https://125599_1.holidayfuture.com/listings/313115?googleVR=1,N/A,3,N/A
