Name,Description,Coordinates,Hotel Class,Link,Ratings,Reviews,Reviews Breakdown
1K bed Studio apt with Shared Pool 16,N/A,"{'latitude': 27.94342613220215, 'longitude': -82.79965209960938}",N/A,https://booking.stayhomes.net/vacation-rental-property-v2/112281/1-q-studio-apt-with-shared-pool-16,N/A,5,N/A
1K bed Studio apt with Shared Pool 512,N/A,"{'latitude': 27.943288803100586, 'longitude': -82.79940795898438}",N/A,https://booking.stayhomes.net/vacation-rental-property-v2/94250/homa-boutique-apt-w--community-pool,N/A,20,N/A
"Largo Duplex w/ Patio, Near Beaches & Dining!",N/A,"{'latitude': 27.919055938720703, 'longitude': -82.79188537597656}",N/A,http://g.rentalsunited.com/gate.aspx?uid=554691&url=1&pid=3858725&lc=google,N/A,N/A,N/A
1Q bed Studio apt with shared Pool 17,N/A,"{'latitude': 27.943044662475586, 'longitude': -82.79981231689453}",N/A,https://booking.stayhomes.net/vacation-rental-property-v2/114517/1-q-studio-apt-with-shared-pool-%2317,N/A,9,N/A
2Q beds Studio apt with Shared Pool 18,N/A,"{'latitude': 27.94318389892578, 'longitude': -82.79972839355469}",N/A,https://book.hostfully.com/stay-homes/property-details/2856dbcf-f825-46f9-b6f0-84935b543c3e/10-to-beach-2-q-beds-w--shared-pool-18,N/A,5,N/A
2Q bed Studio apt with Shared Pool 23,N/A,"{'latitude': 27.943269729614258, 'longitude': -82.7996597290039}",N/A,https://book.hostfully.com/stay-homes/property-details/132c5b63-a759-4d03-bcf0-399a171cbfcb/2qbed-10min-to-beach-sharedpool,N/A,3,N/A
"Sunshine Shores |Hot Tub, Private Yard, Nintendo",N/A,"{'latitude': 27.930940628051758, 'longitude': -82.79552459716797}",N/A,https://RainorShinePM.holidayfuture.com/listings/218099?googleVR=1,N/A,16,N/A
Clearwater with Shared Pool 22,N/A,"{'latitude': 27.94338035583496, 'longitude': -82.79973602294922}",N/A,https://book.hostfully.com/stay-homes/property-details/1ec8d338-9ce3-4625-bd8c-8704d43cee7f/clearwater-22,N/A,28,N/A
1Q bed Studio apt with Shared Pool 14,N/A,"{'latitude': 27.94297218322754, 'longitude': -82.79969024658203}",N/A,https://book.hostfully.com/stay-homes/property-details/18aec231-d617-45d3-8972-6152d526b7fe/clearwater-%2314,N/A,5,N/A
"Lime Serenity | Hot Tub, Dog Friendly,10 to Beach",N/A,"{'latitude': 27.930908203125, 'longitude': -82.7955322265625}",N/A,https://RainorShinePM.holidayfuture.com/listings/219919?googleVR=1,N/A,27,N/A
"Largo, FL",N/A,"{'latitude': 27.906999588012695, 'longitude': -82.80719757080078}",N/A,https://tropicaloasisfl.holidayfuture.com/listings/121175?googleVR=1,N/A,92,N/A
Corner by the Coast,N/A,"{'latitude': 27.885705947875977, 'longitude': -82.8389663696289}",N/A,https://www.vacasa.com/unit/85148,N/A,55,N/A
Charming 2 bedroom Beach Townhome on the Barrier Island of Indian Rocks Beach ~ GSV9,N/A,"{'latitude': 27.88761329650879, 'longitude': -82.85071563720703}",N/A,https://gtravel.pmtsmartsync.com/site_clickthrough.php?hotelid=43376&language=en,N/A,13,N/A
"Sea-lah - Pool, Firepit, Outdoor Games",N/A,"{'latitude': 27.8895320892334, 'longitude': -82.82808685302734}",N/A,https://manage.bookingautomation.com/booking.php?propid=231997&sr1-best=1&apisource=58&referer=googlehpa,N/A,3,N/A
Charming 2-beds Central Clearwater Apartment,N/A,"{'latitude': 27.937101364135742, 'longitude': -82.79003143310547}",N/A,https://google.bookeddirectly.com/g/clearwater/charming-2-beds-central-clearwater-apartment/3c123a,N/A,15,N/A
Lovely 2-beds Central Clearwater Apartment,N/A,"{'latitude': 27.936559677124023, 'longitude': -82.79194641113281}",N/A,https://google.bookeddirectly.com/g/clearwater/lovely-2-beds-central-clearwater-apartment/5a3912,N/A,8,N/A
Duplex 3/2   Largo 10 min from beach,N/A,"{'latitude': 27.910614013671875, 'longitude': -82.75694274902344}",N/A,https://booking.stayhomes.net/vacation-rental-property-v2/84210/duplex-3-2---largo-10-min-from-beach,N/A,26,N/A
Leisure in Largo,N/A,"{'latitude': 27.92030906677246, 'longitude': -82.7780990600586}",N/A,https://www.vacasa.com/unit/98908,N/A,26,N/A
