Name,Description,Coordinates,Hotel Class,Link,Ratings,Reviews,Reviews Breakdown
All modern Studio with private entry  parking.,N/A,"{'latitude': 27.920589447021484, 'longitude': -82.2760009765625}",N/A,N/A,N/A,38,N/A
Meadows Guest House,N/A,"{'latitude': 27.850669860839844, 'longitude': -82.17395782470703}",N/A,https://mvpluxuryhomes.com/properties/660f2fdd1072500011970db5,N/A,N/A,N/A
The Meadows Event Venue,N/A,"{'latitude': 27.850860595703125, 'longitude': -82.17359161376953}",N/A,https://mvpluxuryhomes.com/properties/660f2d88b346980031809d91,N/A,N/A,N/A
Serene Tiny Home on Farm in Lithia Overlooks Green Space,N/A,"{'latitude': 27.870447158813477, 'longitude': -82.17510223388672}",N/A,N/A,N/A,5,N/A
The Strawberry Field Stilt House,N/A,"{'latitude': 27.940521240234375, 'longitude': -82.15230560302734}",N/A,N/A,N/A,38,N/A
NEW TO VRBO - Modern Farmhouse Studio - Queen Bed - 1 Acre,N/A,"{'latitude': 27.872581481933594, 'longitude': -82.21691131591797}",N/A,https://www.vrbo.com/2730497?MDPCID=VRBO-META.HPA.WEB-ORGANIC.VR,N/A,N/A,N/A
Valrico Retreat w/ Fire Pit ~ 18 Mi to Tampa!,N/A,"{'latitude': 27.867462158203125, 'longitude': -82.23797607421875}",N/A,http://g.rentalsunited.com/gate.aspx?uid=554691&url=1&pid=3338895&lc=google,N/A,8,N/A
Valrico Retreat with Fire Pit about 18 Mi to Tampa!,N/A,"{'latitude': 27.867460250854492, 'longitude': -82.23798370361328}",N/A,N/A,N/A,7,N/A
Charming 3 Bedroom Farm Retreat in Lithia,N/A,"{'latitude': 27.870145797729492, 'longitude': -82.17843627929688}",N/A,N/A,N/A,17,N/A
The Riverview Estates,N/A,"{'latitude': 27.848621368408203, 'longitude': -82.28567504882812}",N/A,https://theriverviewestates.lodgify.com/listing/en/624108,N/A,N/A,N/A
Brandon Home w/ Hot Tub: 16 Mi to Downtown Tampa!,N/A,"{'latitude': 27.879854202270508, 'longitude': -82.2696762084961}",N/A,http://g.rentalsunited.com/gate.aspx?uid=554691&url=1&pid=3859914&lc=google,N/A,N/A,N/A
"Chic 2-bed 1.5-bath townhouse in a secure community, adventures await nearby!",N/A,"{'latitude': 27.895498275756836, 'longitude': -82.2632064819336}",N/A,https://www.vrbo.com/4170107?MDPCID=VRBO-META.HPA.WEB-ORGANIC.VR,N/A,N/A,N/A
Beautiful & Secluded Brand New Romantic Riverfront Oasis,N/A,"{'latitude': 27.86981964111328, 'longitude': -82.22039794921875}",N/A,N/A,N/A,16,N/A
Lake Front - Corner Unit - 2 Bedroom 2 Bath,N/A,"{'latitude': 27.92935562133789, 'longitude': -82.2822265625}",N/A,N/A,N/A,115,N/A
"Beautiful and Cozy Apartment in Brandon, Tampa Florida",N/A,"{'latitude': 27.882061004638672, 'longitude': -82.2735595703125}",N/A,N/A,N/A,N/A,N/A
Tampa Bay-Heated Pool home-VALRICO/BRANDON FL,N/A,"{'latitude': 27.88687515258789, 'longitude': -82.25716400146484}",N/A,https://yolanda-graham.lodgify.com/listing/en/553857,N/A,100,N/A
Cozy Valrico Home w/ Grill ~ 14 Mi to Tampa!,N/A,"{'latitude': 27.90704917907715, 'longitude': -82.26023864746094}",N/A,N/A,N/A,N/A,N/A
Contemporary Brandon Home w/ Pool & Game Room,N/A,"{'latitude': 27.895580291748047, 'longitude': -82.28611755371094}",N/A,http://g.rentalsunited.com/gate.aspx?uid=554691&url=1&pid=3092910&lc=google,N/A,146,N/A
