Name,Description,Coordinates,Hotel Class,Link,Ratings,Reviews,Reviews Breakdown
Cozy Indian Rocks Beach Condo - Steps to Beach!,N/A,"{'latitude': 27.909170150756836, 'longitude': -82.8453369140625}",N/A,http://g.rentalsunited.com/gate.aspx?uid=554691&url=1&pid=3102373&lc=google,N/A,93,N/A
Charming 2 bedroom Beach Townhome on the Barrier Island of Indian Rocks Beach ~ GSV9,N/A,"{'latitude': 27.88761329650879, 'longitude': -82.85071563720703}",N/A,https://gtravel.pmtsmartsync.com/site_clickthrough.php?hotelid=43376&language=en,N/A,13,N/A
Pier House #504,N/A,"{'latitude': 27.88463020324707, 'longitude': -82.8508529663086}",N/A,N/A,N/A,12,N/A
Corner by the Coast,N/A,"{'latitude': 27.885705947875977, 'longitude': -82.8389663696289}",N/A,https://www.vacasa.com/unit/85148,N/A,55,N/A
Tropical Coastal Oasis West,N/A,"{'latitude': 27.907100677490234, 'longitude': -82.8458251953125}",N/A,https://www.booking.com/hotel/us/mysunsetview-blue-03-w-2bed2bath.en.html?aid=2068758;label=seogooglelocal-link-imagesaow-hotel-9640628_grp-0_gendate-20240917;utm_source=seogooglelocal;utm_medium=description;utm_term=hotel-9640628;utm_campaign=en,N/A,7,N/A
Waterpark Harbourside Star5Vacations,N/A,"{'latitude': 27.88163185119629, 'longitude': -82.84866333007812}",N/A,https://www.star5vacations.com/vacation/condominium-indian-rocks-beach-waterpark-harbourside-star5vacations-299173.html?idReferer=3773,N/A,43,N/A
Ideal Location! Steps to Beach and Sand Wonderland - Suite F,N/A,"{'latitude': 27.903717041015625, 'longitude': -82.84632873535156}",N/A,https://google.bookeddirectly.com/g/indian-rocks-beach/ideal-location%2521-steps-to-beach-and-sand-wonderland---suite-f/c0d7f7,N/A,77,N/A
Waterfront | Fishing Dock | Beach Access | Suite 1,N/A,"{'latitude': 27.907955169677734, 'longitude': -82.84481048583984}",N/A,https://Keyhosts.holidayfuture.com/listings/251443?googleVR=1,N/A,9,N/A
New Listing! Cozy Apartment by the Beach - Suite D,N/A,"{'latitude': 27.903547286987305, 'longitude': -82.84626007080078}",N/A,https://google.bookeddirectly.com/g/indian-rocks-beach/new-listing%2521-cozy-apartment-by-the-beach---suite-d/7bd334,N/A,70,N/A
Great Location! Walk to beach and restaurants! - Suite E,N/A,"{'latitude': 27.903545379638672, 'longitude': -82.84630584716797}",N/A,https://google.bookeddirectly.com/g/indian-rocks-beach/great-location%2521-walk-to-beach-and-restaurants%2521---suite-e/f7ac53,N/A,22,N/A
West Coast Vista 3E Bay View Condo 442,N/A,"{'latitude': 27.87333106994629, 'longitude': -82.85008239746094}",N/A,https://www.booking.com/hotel/us/west-coast-vista-3e-bay-view-condo-442.en.html?aid=2068758;label=seogooglelocal-link-imagesaow-hotel-3051459_grp-3_gendate-20240917;utm_source=seogooglelocal;utm_medium=description;utm_term=hotel-3051459;utm_campaign=en,N/A,N/A,N/A
IRB Harbor House Semi-Private Waterfront Pool Villa,N/A,"{'latitude': 27.901296615600586, 'longitude': -82.83761596679688}",N/A,https://www.irbharborhouse.com/listing/en/624883,N/A,6,N/A
Sandy Beach Sunset West,N/A,"{'latitude': 27.907087326049805, 'longitude': -82.84564971923828}",N/A,https://www.booking.com/hotel/us/st-unit-w-mysunsetview-05-unitw-2bed2bath-pool-3min-to-beach-indian-rocks-beach.en.html?aid=2068758;label=seogooglelocal-link-imagesaow-hotel-9867266_grp-2_gendate-20240917;utm_source=seogooglelocal;utm_medium=description;utm_term=hotel-9867266;utm_campaign=en,N/A,15,N/A
Best Location - Close to Everything and the Beach - Suite B,N/A,"{'latitude': 27.898300170898438, 'longitude': -82.847412109375}",N/A,https://google.bookeddirectly.com/g/indian-rocks-beach/best-location---close-to-everything-and-the-beach---suite-b/feb790,N/A,N/A,N/A
FL Sundowner Gulf Front Beach House,N/A,"{'latitude': 27.89423179626465, 'longitude': -82.84973907470703}",N/A,https://flsundowner.lodgify.com/listing/en/522247,N/A,73,N/A
"Sun, Sand, Coastal Haven 3",N/A,"{'latitude': 27.907392501831055, 'longitude': -82.8456802368164}",N/A,https://platform.hostfully.com/vacation-rental-property-v2/93593/mysunsetview-4-unit-3-2bed1bath%2Bpool-3min-to-beach,N/A,12,N/A
Gulfside Villas 3,N/A,"{'latitude': 27.887609481811523, 'longitude': -82.85069274902344}",N/A,N/A,N/A,37,N/A
Beachside Getaway East,N/A,"{'latitude': 27.90730094909668, 'longitude': -82.845703125}",N/A,https://platform.hostfully.com/vacation-rental-property-v2/93591/mysunsetview-07-unite-2bed2bath%2Bpool-3min-to-beach,N/A,10,N/A
