Name,Description,Coordinates,Hotel Class,Link,Ratings,Reviews,Reviews Breakdown
Beach View 1b 1b - Balcony - King - Surf Song #347,N/A,"{'latitude': 27.785425186157227, 'longitude': -82.78462982177734}",N/A,N/A,N/A,121,N/A
Madeira Bay Resort 404 Beach Access,N/A,"{'latitude': 27.78902816772461, 'longitude': -82.78628540039062}",N/A,N/A,N/A,86,N/A
Madeira Beach Tropic Breeze Unit 18 Second Floor,N/A,"{'latitude': 27.797090530395508, 'longitude': -82.79582977294922}",N/A,https://booking.sbvr.com/listings/274181?googleVR=1,N/A,61,N/A
Awesome Beach & Gulf Views - Madeira Norte #111,N/A,"{'latitude': 27.78589630126953, 'longitude': -82.78509521484375}",N/A,N/A,N/A,64,N/A
409 - Madeira Bay Resort,N/A,"{'latitude': 27.788999557495117, 'longitude': -82.78626251220703}",N/A,N/A,N/A,78,N/A
Madeira Bay Resort 203,N/A,"{'latitude': 27.785860061645508, 'longitude': -82.78312683105469}",N/A,N/A,N/A,51,N/A
La Coquina 105: Beachside Bliss - 2BD/2BA Retreat,N/A,"{'latitude': 27.7977352142334, 'longitude': -82.79676818847656}",N/A,https://booking.sbvr.com/listings/274252?googleVR=1,N/A,81,N/A
206 - Madeira Norte,N/A,"{'latitude': 27.78596305847168, 'longitude': -82.78501892089844}",N/A,N/A,N/A,21,N/A
Chambre - Walk to John's Pass! Beach Front 2 Bedroom Condo!,N/A,"{'latitude': 27.789247512817383, 'longitude': -82.78775787353516}",N/A,https://www.beachfrontmemories.com/listing/en/428323,N/A,105,N/A
4 - Island Paradise Cottages - Skyview Villa,N/A,"{'latitude': 27.789764404296875, 'longitude': -82.78499603271484}",N/A,N/A,N/A,76,N/A
The Diving Dolphin,N/A,"{'latitude': 27.804702758789062, 'longitude': -82.79955291748047}",N/A,https://book.sunrisedesties.com/listings/278413?googleVR=1,N/A,6,N/A
Surf Song 348 Gulf Front Balcony Across from John's Pass Village,N/A,"{'latitude': 27.785531997680664, 'longitude': -82.78463745117188}",N/A,N/A,N/A,124,N/A
Coastal Property - Johns Pass Beach Place #201,N/A,"{'latitude': 27.78463363647461, 'longitude': -82.78375244140625}",N/A,N/A,N/A,103,N/A
#508s Sunset Vistas,N/A,"{'latitude': 27.776033401489258, 'longitude': -82.77920532226562}",N/A,N/A,N/A,27,N/A
Coastal retreat,N/A,"{'latitude': 27.77726173400879, 'longitude': -82.77867126464844}",N/A,https://gtravel.pmtsmartsync.com/site_clickthrough.php?hotelid=46474&language=en,N/A,6,N/A
"Hurricane Conditions: no pool, elevators are restored, lowered prices for locals needing a home",N/A,"{'latitude': 27.776323318481445, 'longitude': -82.77874755859375}",N/A,https://gtravel.pmtsmartsync.com/site_clickthrough.php?hotelid=42409&language=en,N/A,23,N/A
"Sunset Vistas 302S Top beach front location, Resort loaded with amenities!",N/A,"{'latitude': 27.776060104370117, 'longitude': -82.77909088134766}",N/A,N/A,N/A,23,N/A
Chambre #301 Beach Front Balcony and Pool,N/A,"{'latitude': 27.789262771606445, 'longitude': -82.7877197265625}",N/A,N/A,N/A,51,N/A
