Name,Description,Coordinates,Hotel Class,Link,Ratings,Reviews,Reviews Breakdown
The Queen of Port Richey,N/A,"{'latitude': 28.269853591918945, 'longitude': -82.72113037109375}",N/A,N/A,N/A,4,N/A
Cozy & Charming Studio Close to Downtown,N/A,"{'latitude': 28.248315811157227, 'longitude': -82.7085189819336}",N/A,https://www.emperorrentals.com/cozy-charming-studio-close-to-downtown-orp5b5a237x,N/A,40,N/A
Stunning Guesthouse Close to River,N/A,"{'latitude': 28.25609588623047, 'longitude': -82.72069549560547}",N/A,https://www.emperorrentals.com/newly-remodeled-cottage-close-to-the-river-orp5b5a62dx,N/A,27,N/A
"One-room private efficiency in New Port Richey with AC, WiFi, and shared pool",N/A,"{'latitude': 28.235279083251953, 'longitude': -82.7091293334961}",N/A,https://www.vrbo.com/4203848?MDPCID=VRBO-META.HPA.WEB-ORGANIC.VR,N/A,N/A,N/A
New Port Richey Home with Private Pool and Water View!,N/A,"{'latitude': 28.255760192871094, 'longitude': -82.7210464477539}",N/A,https://www.bluepillow.com/search?p_id=589dfd4f7c00cb10c8dacc60&dest=bkng&cat=House&accomodationids=6582e2146c560103cb44e61e,N/A,N/A,N/A
Waterfront Port Richey Getaway w/ Shared Dock,N/A,"{'latitude': 28.27168083190918, 'longitude': -82.73416900634766}",N/A,http://g.rentalsunited.com/gate.aspx?uid=554691&url=1&pid=3346906&lc=google,N/A,25,N/A
New Port Richey Vacation Rental with Private Dock!,N/A,"{'latitude': 28.234790802001953, 'longitude': -82.74127197265625}",N/A,N/A,N/A,N/A,N/A
New Port Richey Vacation Rental w/ Private Dock!,N/A,"{'latitude': 28.234792709350586, 'longitude': -82.74126434326172}",N/A,https://www.us.despegar.com/hotels/h-4788623,N/A,N/A,N/A
Quite studio in New Port Richey Downtown. Apartment B,N/A,"{'latitude': 28.253108978271484, 'longitude': -82.72289276123047}",N/A,https://www.vrbo.com/4226060?MDPCID=VRBO-META.HPA.WEB-ORGANIC.VR,N/A,N/A,N/A
Creek Cabin - Two-Bedroom House,N/A,"{'latitude': 28.21503257751465, 'longitude': -82.69864654541016}",N/A,N/A,N/A,7,N/A
Walk Everywhere! 1-Bedroom Gem in Downtown Hub,N/A,"{'latitude': 28.248380661010742, 'longitude': -82.72088623046875}",N/A,https://book.hostfully.com/carpe/property-details/9f42aaa4-dcb5-4ee5-a81f-8daa1db6ec63/walk-everywhere%21-1-bedroom-gem-in-downtown-hub,N/A,N/A,N/A
Cute and Cozy in Downtown New Port Richey,N/A,"{'latitude': 28.24696922302246, 'longitude': -82.71695709228516}",N/A,https://www.bluepillow.com/search?p_id=589dfd4f7c00cb10c8dacc60&dest=bpex&cat=House&accomodationids=65cb28863e6d928972f2c8ae,N/A,N/A,N/A
The Little River Cottage-walk to downtown!,N/A,"{'latitude': 28.24993324279785, 'longitude': -82.72368621826172}",N/A,N/A,N/A,N/A,N/A
Summer Fun! New Port Richey Fl,N/A,"{'latitude': 28.230680465698242, 'longitude': -82.74005126953125}",N/A,N/A,N/A,1,N/A
300 ft² Private room ∙ 1 bedroom ∙ 2 guests,N/A,"{'latitude': 28.266399383544922, 'longitude': -82.72515106201172}",N/A,N/A,N/A,1,N/A
"Gulf Harbors Condominium, New Port Richey, FL
2 bedroom, 2 bath, 2 pools",N/A,"{'latitude': 28.234750747680664, 'longitude': -82.73030090332031}",N/A,https://www.bluepillow.com/search?p_id=589dfd4f7c00cb10c8dacc60&dest=bpex&cat=Apartment&accomodationids=65cb8fd73e6d928972fbef01,N/A,N/A,N/A
Villa with access to private beach,N/A,"{'latitude': 28.232629776000977, 'longitude': -82.7303466796875}",N/A,N/A,N/A,N/A,N/A
Chic New Port Richey Condo w/ Amenity Access!,N/A,"{'latitude': 28.259889602661133, 'longitude': -82.69729614257812}",N/A,http://g.rentalsunited.com/gate.aspx?uid=554691&url=1&pid=3271191&lc=google,N/A,6,N/A
