Name,Description,Coordinates,Hotel Class,Link,Ratings,Reviews,Reviews Breakdown
"Quaint, Clean and Bright Cottage in Ozona",N/A,"{'latitude': 28.070995330810547, 'longitude': -82.76972961425781}",N/A,https://florida.vacationrental.house/quaint-clean-and-bright-cottage-in-ozona-orp5b6244ex,N/A,57,N/A
La Casa Del Mar 608 Star5Vacationscom,N/A,"{'latitude': 28.042436599731445, 'longitude': -82.78397369384766}",N/A,https://www.star5vacations.com/vacation/condominium-dunedin-la-casa-del-mar-608-star5vacationscom-301335.html?idReferer=3773,N/A,7,N/A
Cheerful Coastal Cottage Close to Beach,N/A,"{'latitude': 28.06987953186035, 'longitude': -82.76953887939453}",N/A,https://florida.vacationrental.house/cheerful-coastal-cottage-close-to-beach-orp5b6244fx,N/A,46,N/A
La Casa Del Mar 610 Star5Vacations,N/A,"{'latitude': 28.042583465576172, 'longitude': -82.7838134765625}",N/A,https://www.star5vacations.com/vacation/condominium-dunedin-la-casa-del-mar-610-star5vacations-301337.html?idReferer=3773,N/A,29,N/A
3 bedroom farmhouse cottage 11 minutes from the beach,N/A,"{'latitude': 28.06014633178711, 'longitude': -82.74295043945312}",N/A,https://www.vacationrentalsinclearwater.com/listing/en/562985,N/A,N/A,N/A
"The Cycling Mermaid Palm Harbor, Florida - Bonus Travel Itinerary!",N/A,"{'latitude': 28.090087890625, 'longitude': -82.77040100097656}",N/A,N/A,N/A,6,N/A
The Cycling Mermaid: Book for Thanksgiving!,N/A,"{'latitude': 28.089725494384766, 'longitude': -82.77201843261719}",N/A,https://fierce.hospitable.rentals/property/heated-pool-10min-to-dunedin-and-honeymoon-island,N/A,59,N/A
Luxurious Spa Retreat with Stunning Pool in Palm Harbor,N/A,"{'latitude': 28.086647033691406, 'longitude': -82.74720001220703}",N/A,https://www.emperorrentals.com/palm-harbor-oasis-luxe-spa-pool-retreat-orp5b679d7x,N/A,7,N/A
1 Mile to Beach~ Private Pool Oasis!~Volleyball,N/A,"{'latitude': 28.061309814453125, 'longitude': -82.75936889648438}",N/A,https://hometeam.guestybookings.com/properties/655cf271520a370027d598ea,N/A,28,N/A
Large Luxury Home in Palm Harbor with Private Pool and Jacuzzi,N/A,"{'latitude': 28.119359970092773, 'longitude': -82.76718139648438}",N/A,N/A,N/A,6,N/A
"Magnolia, Just 5 Min to the #1 Beach in US",N/A,"{'latitude': 28.03507423400879, 'longitude': -82.7431869506836}",N/A,https://www.theoceanretreat.com/listing/en/374368,N/A,N/A,N/A
"SaltyLux16 Heated Saltwater Pool, Near Beach, Honeymoon Island, Farmer market - Three-Bedroom House",N/A,"{'latitude': 28.0476016998291, 'longitude': -82.73462677001953}",N/A,N/A,N/A,8,N/A
"Dreamy Palm Harbor Cottage, Steps to Crystal Beach",N/A,"{'latitude': 28.090778350830078, 'longitude': -82.77362823486328}",N/A,N/A,N/A,2,N/A
Ideally Located Palm Harbor Condo: Walk Downtown!,N/A,"{'latitude': 28.077665328979492, 'longitude': -82.76806640625}",N/A,http://g.rentalsunited.com/gate.aspx?uid=554691&url=1&pid=3776370&lc=google,N/A,12,N/A
"One Bedroom condo in Palm Harbor, FL",N/A,"{'latitude': 28.10307502746582, 'longitude': -82.7425308227539}",N/A,N/A,N/A,8,N/A
Beautiful Detached Remodeled Cottage Studio\/ Downtown Palm Harbor.NON FLOOD Zone,N/A,"{'latitude': 28.074234008789062, 'longitude': -82.76170349121094}",N/A,https://deals.vio.com?sig=73aca13c7f952d2641c156f3e69125e1eb497c325f122828ee5aa8797168b9a12d32303331333438363233&turl=https%3A%2F%2Fwww.vio.com%2FHotel%2FSearch%3FhotelId%3D77145855%26utm_source%3Dgha-vr%26utm_campaign%3Dstatic%26openHotelDetails%3D1,N/A,N/A,N/A
Heated salt water pool-Walk to restaurants & shops,N/A,"{'latitude': 28.074705123901367, 'longitude': -82.76372528076172}",N/A,https://book.sunshinedreamhosts.com/listings/219911?googleVR=1,N/A,63,N/A
2 Bedroom Waterfront Apt In Ozona\/Palm Harbor Beachcomber,N/A,"{'latitude': 28.07304573059082, 'longitude': -82.77462005615234}",N/A,https://deals.vio.com?sig=73aca13c7f952d2641c156f3e69125e1eb497c325f122828ee5aa8797168b9a12d32303331333438363233&turl=https%3A%2F%2Fwww.vio.com%2FHotel%2FSearch%3FhotelId%3D10976602%26utm_source%3Dgha-vr%26utm_campaign%3Dstatic%26openHotelDetails%3D1,N/A,N/A,N/A
