Name,Description,Coordinates,Hotel Class,Link,Ratings,Reviews,Reviews Breakdown
Plant City Modern Soho Farmhouse- Event Friendly - Four-Bedroom House,N/A,"{'latitude': 28.02433967590332, 'longitude': -82.06073760986328}",N/A,N/A,N/A,4,N/A
Cozy Plant City Home,N/A,"{'latitude': 28.00749969482422, 'longitude': -82.14309692382812}",N/A,https://www.redawning.com/rental-property/cozy-plant-city-home-florida,N/A,9,N/A
Cozy and comfortable tiny house,N/A,"{'latitude': 28.01473045349121, 'longitude': -82.10944366455078}",N/A,N/A,N/A,7,N/A
Charming Tiny Home with Private Hot Tub!,N/A,"{'latitude': 27.970739364624023, 'longitude': -82.12567901611328}",N/A,N/A,N/A,16,N/A
Cozy cottage located minutes from the heart of plantcity fl,N/A,"{'latitude': 28.01349639892578, 'longitude': -82.14093017578125}",N/A,https://www.us.despegar.com/hotels/h-5919158,N/A,N/A,N/A
Just Renovated Historic Duplex,N/A,"{'latitude': 28.022369384765625, 'longitude': -82.1243667602539}",N/A,N/A,N/A,27,N/A
1 Bedroom Apartment 430925 by Houzlet,N/A,"{'latitude': 28.00259017944336, 'longitude': -82.12732696533203}",N/A,https://www.bluepillow.com/search?p_id=589dfd597c00cb10c8dacca7&dest=bpex&cat=Apartment&accomodationids=65cb85643e6d928972f8e023,N/A,N/A,N/A
1 Bedroom | Free Breakfast Buffet. Outdoor Pool,N/A,"{'latitude': 27.99599266052246, 'longitude': -82.0169906616211}",N/A,N/A,N/A,N/A,N/A
Paradise pool home,N/A,"{'latitude': 28.007835388183594, 'longitude': -82.17465209960938}",N/A,N/A,N/A,34,N/A
The Strawberry Field Stilt House,N/A,"{'latitude': 27.940521240234375, 'longitude': -82.15230560302734}",N/A,N/A,N/A,38,N/A
Spacious Plant City Home 1 Mi to Dtwn,N/A,"{'latitude': 28.016366958618164, 'longitude': -82.14252471923828}",N/A,http://g.rentalsunited.com/gate.aspx?uid=554691&url=1&pid=3881890&lc=google,N/A,N/A,N/A
Plant City Home w/ Outdoor Pool!,N/A,"{'latitude': 27.970741271972656, 'longitude': -82.12567901611328}",N/A,http://g.rentalsunited.com/gate.aspx?uid=554691&url=1&pid=3361836&lc=google,N/A,6,N/A
Landing at Walden Lake - 3 Bedrooms in Downtown Plant City,N/A,"{'latitude': 28.000959396362305, 'longitude': -82.14212036132812}",N/A,https://landing.holidayfuture.com/listings/224431?googleVR=1,N/A,N/A,N/A
Cozy 1/1 full apartment,N/A,"{'latitude': 28.03014373779297, 'longitude': -82.04544830322266}",N/A,N/A,N/A,N/A,N/A
Modern Farmhouse,N/A,"{'latitude': 28.070119857788086, 'longitude': -82.08647155761719}",N/A,https://www.bluepillow.com/search?p_id=589dfd597c00cb10c8dacca7&dest=bpex&cat=Apartment&accomodationids=65cb29e03e6d928972f365aa,N/A,N/A,N/A
Chic Stylish Pool House 4 King bed new renovated,N/A,"{'latitude': 27.97749137878418, 'longitude': -82.16458892822266}",N/A,https://platform.hostfully.com/vacation-rental-property-v2/61965/chic-stylish-pool-house-4-king-bed-new-renovated,N/A,86,N/A
Charming 3-bedroom house in Plant City with WiFi and AC,N/A,"{'latitude': 28.03729248046875, 'longitude': -82.13225555419922}",N/A,https://www.vrbo.com/4268675?MDPCID=VRBO-META.HPA.WEB-ORGANIC.VR,N/A,N/A,N/A
Peaceful Florida Retreat - 18 Mi to Tampa!,N/A,"{'latitude': 28.05405616760254, 'longitude': -82.2330093383789}",N/A,N/A,N/A,N/A,N/A
