Name,Description,Coordinates,Hotel Class,Link,Ratings,Reviews,Reviews Breakdown
Cozy Industrial Chic Apartment,N/A,"{'latitude': 27.86341094970703, 'longitude': -82.3209228515625}",N/A,N/A,N/A,40,N/A
Riverview Home w/ Screened Pool ~ 1 Mi to Marina!,N/A,"{'latitude': 27.857141494750977, 'longitude': -82.30825805664062}",N/A,http://g.rentalsunited.com/gate.aspx?uid=554691&url=1&pid=3864418&lc=google,N/A,2,N/A
"3 BD Cozy Home in Riverview - Huge yard, PET FRIENDLY",N/A,"{'latitude': 27.85855484008789, 'longitude': -82.32963562011719}",N/A,https://www.us.despegar.com/hotels/h-6184688,N/A,N/A,N/A
Cozy bedroom on first floor. No kitchen access .,N/A,"{'latitude': 27.860454559326172, 'longitude': -82.30802917480469}",N/A,N/A,N/A,18,N/A
Cozy bedroom on first floor. No kitchen access,N/A,"{'latitude': 27.860450744628906, 'longitude': -82.30802154541016}",N/A,https://www.bluepillow.com/search?p_id=589dfd647c00cb10c8dacd0b&dest=bpvr&cat=House&accomodationids=62177b21a7239796807c7ce5,N/A,11,N/A
The Riverview Estates,N/A,"{'latitude': 27.848621368408203, 'longitude': -82.28567504882812}",N/A,https://theriverviewestates.lodgify.com/listing/en/624108,N/A,N/A,N/A
Beautiful Studio apartment (425987) by Houzlet,N/A,"{'latitude': 27.848020553588867, 'longitude': -82.35054779052734}",N/A,https://www.bluepillow.com/search?p_id=589dfd647c00cb10c8dacd0b&dest=bpex&cat=Apartment&accomodationids=65cb86563e6d928972f9350f,N/A,N/A,N/A
"Hidden Gem, Riverview, Pool",N/A,"{'latitude': 27.8588809967041, 'longitude': -82.36117553710938}",N/A,https://www.booking.com/hotel/us/hidden-gem-riverview-pool.en.html?aid=2068758;label=seogooglelocal-link-imagesaow-hotel-11974976_grp-0_gendate-20240917;utm_source=seogooglelocal;utm_medium=description;utm_term=hotel-11974976;utm_campaign=en,N/A,N/A,N/A
"Charming Modern  2-bedroom Riverview Retreat Near Nature, Beaches & Tampa Fun",N/A,"{'latitude': 27.90275764465332, 'longitude': -82.34272766113281}",N/A,https://www.us.despegar.com/hotels/h-6332148,N/A,N/A,N/A
Cute new home close to Tampa Bay,N/A,"{'latitude': 27.881919860839844, 'longitude': -82.306884765625}",N/A,https://www.vrbo.com/3986042?MDPCID=VRBO-META.HPA.WEB-ORGANIC.VR,N/A,N/A,N/A
"Cozy 1 Bedroom Apartment with Pool, 15 minutes from Downtown Tampa",N/A,"{'latitude': 27.894411087036133, 'longitude': -82.35664367675781}",N/A,N/A,N/A,N/A,N/A
Remodeled Riverview 3bd/2bath Apartment,N/A,"{'latitude': 27.888240814208984, 'longitude': -82.34413146972656}",N/A,https://www.bluepillow.com/search?p_id=589dfd647c00cb10c8dacd0b&dest=bpex&cat=Apartment&accomodationids=65cb81c63e6d928972f749ce,N/A,N/A,N/A
Riverview Home w\/ Screened Pool ~ 1 Mi to Marina!,N/A,"{'latitude': 27.856090545654297, 'longitude': -82.30381774902344}",N/A,https://deals.vio.com?sig=73aca13c7f952d2641c156f3e69125e1eb497c325f122828ee5aa8797168b9a12d32303331333438363233&turl=https%3A%2F%2Fwww.vio.com%2FHotel%2FSearch%3FhotelId%3D121952294%26utm_source%3Dgha-vr%26utm_campaign%3Dstatic%26openHotelDetails%3D1,N/A,N/A,N/A
Beautiful Waterfront Home on the Alafia River,N/A,"{'latitude': 27.86741065979004, 'longitude': -82.32250213623047}",N/A,N/A,N/A,12,N/A
Lush Riverfront Escape w/ Private Boat Dock!,N/A,"{'latitude': 27.877254486083984, 'longitude': -82.29326629638672}",N/A,N/A,N/A,N/A,N/A
Discover Your Home Away from Home in Riverview,N/A,"{'latitude': 27.85757064819336, 'longitude': -82.32814025878906}",N/A,https://www.vrbo.com/4055614?MDPCID=VRBO-META.HPA.WEB-ORGANIC.VR,N/A,1,N/A
"Entire home just outside Tampa, FL",N/A,"{'latitude': 27.86549949645996, 'longitude': -82.34912872314453}",N/A,https://www.bluepillow.com/search?p_id=589dfd647c00cb10c8dacd0b&dest=bpvr&cat=House&accomodationids=64906fa4ba24250813c2888e,N/A,2,N/A
Riverview 2 BD - HUGE yard Pet Friendly!,N/A,"{'latitude': 27.865509033203125, 'longitude': -82.34913635253906}",N/A,https://www.us.despegar.com/hotels/h-5954281,N/A,N/A,N/A
