Name,Description,Coordinates,Hotel Class,Link,Ratings,Reviews,Reviews Breakdown
502 Little Harbor Inn,N/A,"{'latitude': 27.72954559326172, 'longitude': -82.47412109375}",N/A,N/A,N/A,18,N/A
"U503 Sunny & 75  ...  U503-Across from the pool! Resort amenities, free parking, self check in!",N/A,"{'latitude': 27.731000900268555, 'longitude': -82.47530364990234}",N/A,https://booklittleharbor.holidayfuture.com/listings/116913?googleVR=1,N/A,33,N/A
201 Little Harbor Inn,N/A,"{'latitude': 27.72829818725586, 'longitude': -82.47599029541016}",N/A,N/A,N/A,N/A,N/A
U214 El Capitan O...  U214- Catch a Sunset Studio- Resort amenities-self checkin- free parking,N/A,"{'latitude': 27.731000900268555, 'longitude': -82.47540283203125}",N/A,https://booklittleharbor.holidayfuture.com/listings/116891?googleVR=1,N/A,29,N/A
3260 Little Harbor,N/A,"{'latitude': 27.724809646606445, 'longitude': -82.47456359863281}",N/A,N/A,N/A,N/A,N/A
448 Little Harbor,N/A,"{'latitude': 27.725954055786133, 'longitude': -82.47382354736328}",N/A,N/A,N/A,20,N/A
3274 Little Harbor,N/A,"{'latitude': 27.72480583190918, 'longitude': -82.47490692138672}",N/A,N/A,N/A,42,N/A
U513 Cool Vibes- ...  U513-Remodeled!Resort beach & amenities! WiFi/Parking. Self Check in!,N/A,"{'latitude': 27.730899810791016, 'longitude': -82.47540283203125}",N/A,https://booklittleharbor.holidayfuture.com/listings/116905?googleVR=1,N/A,26,N/A
437 Little Harbor,N/A,"{'latitude': 27.725845336914062, 'longitude': -82.47319793701172}",N/A,N/A,N/A,3,N/A
"Waterfront condo with community beach, 2 heated pools, hot tub, pickleball, AC",N/A,"{'latitude': 27.731016159057617, 'longitude': -82.47534942626953}",N/A,N/A,N/A,N/A,N/A
Norm's River House,N/A,"{'latitude': 27.70116424560547, 'longitude': -82.45291137695312}",N/A,https://www.booking.com/hotel/us/norms-river-house.en.html?aid=2068758;label=seogooglelocal-link-imagesaow-hotel-11360034_grp-2_gendate-20240917;utm_source=seogooglelocal;utm_medium=description;utm_term=hotel-11360034;utm_campaign=en,N/A,N/A,N/A
Riverview Studio 507 Tampa Bay Florida Resort Beach & Pools,N/A,"{'latitude': 27.73094940185547, 'longitude': -82.47538757324219}",N/A,https://www.britpropertiesllc.com/river-view-507-little-harbor-tampa-bay-florida-beach-resort-orp5b4c30cx,N/A,102,N/A
3216 Little Harbor,N/A,"{'latitude': 27.72480010986328, 'longitude': -82.47329711914062}",N/A,N/A,N/A,N/A,N/A
"STUDIO CONDO, ISLAND ATMOSPHERE, WITH PRIVATE BEACH",N/A,"{'latitude': 27.73082160949707, 'longitude': -82.47518920898438}",N/A,N/A,N/A,N/A,N/A
Manatee Studio 202 Tampa Bay Florida Resort  Beach & Pool,N/A,"{'latitude': 27.73099136352539, 'longitude': -82.47534942626953}",N/A,https://www.britpropertiesllc.com/manatee-studio-202-little-harbor-tampa-bay-florida-beach-resort-orp5b4fc4dx,N/A,121,N/A
The Beach - SUNRISE over looking marina and on canal!,N/A,"{'latitude': 27.726158142089844, 'longitude': -82.47338104248047}",N/A,N/A,N/A,97,N/A
Dolphin Studio 306 Tampa Bay Vacation Resort Beach & Pool,N/A,"{'latitude': 27.731040954589844, 'longitude': -82.47538757324219}",N/A,https://www.britpropertiesllc.com/dolphin-studio-306-little-harbor-ruskin-vacation-beach-resort-orp5b4f468x,N/A,112,N/A
"Riverview, Studio 507, Beach steps away!+pool+WiFi",N/A,"{'latitude': 27.72991943359375, 'longitude': -82.47492218017578}",N/A,N/A,N/A,135,N/A
