Name,Description,Coordinates,Hotel Class,Link,Ratings,Reviews,Reviews Breakdown
"Bright Getaway with Ski Lake, 11 Miles to Dtwn Tampa",N/A,"{'latitude': 27.971969604492188, 'longitude': -82.30107116699219}",N/A,N/A,N/A,1,N/A
Fully Furnished Home,N/A,"{'latitude': 27.996253967285156, 'longitude': -82.2757797241211}",N/A,N/A,N/A,N/A,N/A
Itty Bitty Bliss,N/A,"{'latitude': 27.957809448242188, 'longitude': -82.29771423339844}",N/A,N/A,N/A,N/A,N/A
Family Paradise | Free Heated Pool,N/A,"{'latitude': 27.955162048339844, 'longitude': -82.26887512207031}",N/A,https://floridafamilyparadise.com/,N/A,127,N/A
"Pet-friendly 3-bed 2-bath house with pool, WiFi & open floor plan in Seffner",N/A,"{'latitude': 27.977136611938477, 'longitude': -82.2752914428711}",N/A,https://www.us.despegar.com/hotels/h-6232494,N/A,N/A,N/A
Charming Lakefront Studio w/Lanai  Dock in Lakeview Village,N/A,"{'latitude': 27.967029571533203, 'longitude': -82.30249786376953}",N/A,https://www.bluepillow.com/search?p_id=589dfd8d7c00cb10c8dacf9b&dest=bpex&cat=Apartment&accomodationids=63975425fc70cceab61d6989,N/A,N/A,N/A
New house in Brandon,N/A,"{'latitude': 27.956205368041992, 'longitude': -82.28709411621094}",N/A,https://www.booking.com/hotel/us/new-house-in-brandon.en.html?aid=2068758;label=seogooglelocal-link-imagesaow-hotel-12056338_grp-2_gendate-20240917;utm_source=seogooglelocal;utm_medium=description;utm_term=hotel-12056338;utm_campaign=en,N/A,N/A,N/A
Spacious Brandon Home w/ Private Outdoor Pool,N/A,"{'latitude': 27.96112823486328, 'longitude': -82.28118133544922}",N/A,http://g.rentalsunited.com/gate.aspx?uid=554691&url=1&pid=3236417&lc=google,N/A,7,N/A
"Tampa-Seffner-Brandon FL<br>4 bed 2 bath family, pet- friendly house",N/A,"{'latitude': 27.973039627075195, 'longitude': -82.28163146972656}",N/A,N/A,N/A,7,N/A
Heated Pool in Private House w/ Fire Pit,N/A,"{'latitude': 27.971080780029297, 'longitude': -82.27702331542969}",N/A,N/A,N/A,7,N/A
Cheerful 3 bedroom home. Great outdoor lounge area,N/A,"{'latitude': 27.973920822143555, 'longitude': -82.30085754394531}",N/A,https://mvpluxuryhomes.com/properties/6258c42838a06100356bee29,N/A,N/A,N/A
Seasonal Cottage-Brandon Fl. Lake view 813-376-5015,N/A,"{'latitude': 27.953479766845703, 'longitude': -82.28807067871094}",N/A,https://www.bluepillow.com/search?p_id=589dfd8d7c00cb10c8dacf9b&dest=bpvr&cat=Cottage&accomodationids=621751daa7239796806bc2a8,N/A,15,N/A
Stunning Heated Pool House Close to Tampa & Casino,N/A,"{'latitude': 27.985488891601562, 'longitude': -82.28020477294922}",N/A,https://www.emperorrentals.com/heated-pool-pool-table-sleeps-10-great-orp5b5a233x,N/A,407,N/A
Entire House close to everything.,N/A,"{'latitude': 27.98989486694336, 'longitude': -82.2946548461914}",N/A,N/A,N/A,21,N/A
Charming Lakefront Studio w/Lanai & Dock in Lakeview Village,N/A,"{'latitude': 27.967241287231445, 'longitude': -82.3075180053711}",N/A,https://www.vrbo.com/3058139?MDPCID=VRBO-META.HPA.WEB-ORGANIC.VR,N/A,20,N/A
Idyllic Brandon Home w/ Fenced Yard & Patio!,N/A,"{'latitude': 27.95613670349121, 'longitude': -82.28479766845703}",N/A,https://www.us.despegar.com/hotels/h-4774408,N/A,N/A,N/A
BEAUTIFUL STUDIO IN HEART OF BRANDON,N/A,"{'latitude': 27.962013244628906, 'longitude': -82.31547546386719}",N/A,N/A,N/A,6,N/A
Firepit + Ladder Toss + BBQ+ 8mi to Dinosaur world,N/A,"{'latitude': 27.99995994567871, 'longitude': -82.29792785644531}",N/A,https://www.bluepillow.com/search?p_id=589dfd607c00cb10c8daccdf&dest=bpex&cat=House&accomodationids=65cb28c33e6d928972f2e4cc,N/A,N/A,N/A
