Name,Description,Coordinates,Hotel Class,Link,Ratings,Reviews,Reviews Breakdown
Dolphin Bay - St. Pete Beach,N/A,"{'latitude': 27.81214714050293, 'longitude': -82.76189422607422}",N/A,https://manage.bookingautomation.com/booking.php?propid=182980&sr1-best=1&apisource=58&referer=googlehpa,N/A,10,N/A
Orange Blossom Refuge,N/A,"{'latitude': 27.875429153442383, 'longitude': -82.78596496582031}",N/A,https://pikesplace.lodgify.com/listing/en/456442,N/A,1,N/A
Boca Ciega Resort 307 Waterfront w/Huge Pool Deck and Community Dock,N/A,"{'latitude': 27.812149047851562, 'longitude': -82.76189422607422}",N/A,N/A,N/A,38,N/A
3 BR Retreat in St. Pete's - Close to beaches!,N/A,"{'latitude': 27.821678161621094, 'longitude': -82.78504180908203}",N/A,N/A,N/A,N/A,N/A
The Sea Scallop Minutes to Madeira Beach,N/A,"{'latitude': 27.81591033935547, 'longitude': -82.78548431396484}",N/A,N/A,N/A,N/A,N/A
"Villa Kailāsa. Heated Pool, 6 min drive to the Beach!",N/A,"{'latitude': 27.823318481445312, 'longitude': -82.77864074707031}",N/A,https://google.bookeddirectly.com/g/st.-petersburg/villa-kail%25C4%2581sa.-heated-pool%252C-6-min-drive-to-the-beach%2521/e0e637,N/A,N/A,N/A
510 ft² Condo ∙ 1 bedroom ∙ 4 guests,N/A,"{'latitude': 27.812149047851562, 'longitude': -82.76190185546875}",N/A,N/A,N/A,37,N/A
"Cozy Beach Haven- Heated Pool, Bonfire Pit",N/A,"{'latitude': 27.878881454467773, 'longitude': -82.82595825195312}",N/A,https://clearwater.hospitable.rentals/property/heated-pool-5-min-to-beach-firepit-pet-friendly,N/A,143,N/A
7 mins From the beach and 15 mins Maximo Boat Ramp,N/A,"{'latitude': 27.813859939575195, 'longitude': -82.74674224853516}",N/A,https://app.your.rentals/p/80920?scid=GGLE&lang=en,N/A,12,N/A
"Villa Kailāsa - Pool, 6min drive to the Beach",N/A,"{'latitude': 27.823320388793945, 'longitude': -82.77864074707031}",N/A,N/A,N/A,7,N/A
Centrally Located  & Spacious Pool Home|3BD/2BA,N/A,"{'latitude': 27.866689682006836, 'longitude': -82.7921142578125}",N/A,https://midzhomes.hospitable.rentals/property/new-centrally-located-spacious-pool-home3bd2ba,N/A,20,N/A
Heated Pool~ Mini Golf~ Fire Pit~ Game Room~Arcade,N/A,"{'latitude': 27.870710372924805, 'longitude': -82.82544708251953}",N/A,https://hometeam.guestybookings.com/properties/65d7c72f9990a40013aa38c1,N/A,21,N/A
Heated Pool Mini Golf Game Room Fire Pit,N/A,"{'latitude': 27.87070655822754, 'longitude': -82.82545471191406}",N/A,https://www.booking.com/hotel/us/heated-pool-mini-golf-game-room-fire-pit.en.html?aid=2068758;label=seogooglelocal-link-imagesaow-hotel-11686086_grp-2_gendate-20240917;utm_source=seogooglelocal;utm_medium=description;utm_term=hotel-11686086;utm_campaign=en,N/A,N/A,N/A
Just WOW! + Heated Pool + 10 Mins to Beach + Games + Fire Pit + Foosball & More!,N/A,"{'latitude': 27.847227096557617, 'longitude': -82.7979965209961}",N/A,https://www.emperorrentals.com/seminole-moment-orp5b6889fx,N/A,3,N/A
"Luxury Home, Heated Saltwater Pool, 5-Min to the Beach!",N/A,"{'latitude': 27.85808563232422, 'longitude': -82.82267761230469}",N/A,https://www.emperorrentals.com/luxury-home-heated-saltwater-pool-5min-to-beach-orp5b65760x,N/A,22,N/A
"Modern, Family Friendly Home ~Heated Pool~ 10 min to Beach",N/A,"{'latitude': 27.86850929260254, 'longitude': -82.79286193847656}",N/A,N/A,N/A,3,N/A
Exquisite Lakefront Pool House Awaits | Pool | 10 PPL,N/A,"{'latitude': 27.86176872253418, 'longitude': -82.78528594970703}",N/A,https://www.emperorrentals.com/exquisite-lakefront-pool-house-awaits-pool-10-ppl-orp5b60992x,N/A,37,N/A
Ultimate Beach Getaway · Mins from Beach · Hot Tub · Heated Pool · Game Room,N/A,"{'latitude': 27.856830596923828, 'longitude': -82.82317352294922}",N/A,N/A,N/A,N/A,N/A
