Name,Description,Coordinates,Hotel Class,Link,Ratings,Reviews,Reviews Breakdown
NEW Coastal Loft Living / N Kenwood,N/A,"{'latitude': 27.783811569213867, 'longitude': -82.6727523803711}",N/A,https://www.vakationeer.com/listings/229096?googleVR=1,N/A,15,N/A
Stylish One Bedroom Apartment,N/A,"{'latitude': 27.853805541992188, 'longitude': -82.64061737060547}",N/A,https://www.sunfunin.com/listing/en/507570,N/A,N/A,N/A
Steps to Beach Dr! private patio+parking w/2 bikes,N/A,"{'latitude': 27.78004264831543, 'longitude': -82.63097381591797}",N/A,https://www.stpetevacationrental.com/oldne,N/A,90,N/A
Palms of Treasure Island Resort: Where Modern Comfort Meets Beachfront Bliss,N/A,"{'latitude': 27.765422821044922, 'longitude': -82.76721954345703}",N/A,https://gtravel.pmtsmartsync.com/site_clickthrough.php?hotelid=49826&language=en,N/A,N/A,N/A
Land's End 1-203 Pool View,N/A,"{'latitude': 27.741466522216797, 'longitude': -82.7562255859375}",N/A,N/A,N/A,N/A,N/A
Beachfront Complex - 2b 2b - Beach Place #402,N/A,"{'latitude': 27.78463363647461, 'longitude': -82.78375244140625}",N/A,N/A,N/A,124,N/A
Dolphin Bay - St. Pete Beach,N/A,"{'latitude': 27.81214714050293, 'longitude': -82.76189422607422}",N/A,https://manage.bookingautomation.com/booking.php?propid=182980&sr1-best=1&apisource=58&referer=googlehpa,N/A,10,N/A
Holiday home in Saint Petersburg / FL,N/A,"{'latitude': 27.757930755615234, 'longitude': -82.65473937988281}",N/A,https://www.tourist-paradise.com/63033.htm,N/A,18,N/A
Vista Verde East 7-255 Isla Del Sol Peaceful View,N/A,"{'latitude': 27.706193923950195, 'longitude': -82.71574401855469}",N/A,https://booking.sbvr.com/listings/274182?googleVR=1,N/A,38,N/A
"Land's End 404 building 3 Top floor, stunning view, beach access across bldg.",N/A,"{'latitude': 27.740690231323242, 'longitude': -82.75541687011719}",N/A,N/A,N/A,N/A,N/A
"Beautiful Waterfront Home with amazing view of Boca Ciega Bay, private beach, dock with excellent fishing & beautiful sunrises!",N/A,"{'latitude': 27.723712921142578, 'longitude': -82.72917175292969}",N/A,https://www.booking.com/hotel/us/amazing-waterfront-home-beach-dock-great-fishing-beautiful-sunrises.en.html?aid=2068758;label=seogooglelocal-link-imagesaow-hotel-12095902_grp-2_gendate-20240917;utm_source=seogooglelocal;utm_medium=description;utm_term=hotel-12095902;utm_campaign=en,N/A,N/A,N/A
One bedroom with full amenities,N/A,"{'latitude': 27.780502319335938, 'longitude': -82.64952850341797}",N/A,https://www.sunfunin.com/listing/en/507571,N/A,N/A,N/A
"Sunset Cove: One-Bedroom in Treasure Island, Short",N/A,"{'latitude': 27.75035858154297, 'longitude': -82.76199340820312}",N/A,https://booking.sbvr.com/listings/274261?googleVR=1,N/A,29,N/A
Sunny Studio,N/A,"{'latitude': 27.776987075805664, 'longitude': -82.69062042236328}",N/A,https://cohostalbookings.hospitable.rentals/property/sunny-studio,N/A,8,N/A
Sunrise Resort Unit 502,N/A,"{'latitude': 27.732839584350586, 'longitude': -82.74478912353516}",N/A,N/A,N/A,11,N/A
Palma Del Mar D-606,N/A,"{'latitude': 27.70924949645996, 'longitude': -82.71279907226562}",N/A,N/A,N/A,4,N/A
1br 1b Beach View - King - Surf Song #333,N/A,"{'latitude': 27.785425186157227, 'longitude': -82.78462982177734}",N/A,N/A,N/A,156,N/A
Land's End 203 building 1 Cute Coastal and Comfortable,N/A,"{'latitude': 27.7414608001709, 'longitude': -82.75621795654297}",N/A,N/A,N/A,48,N/A
