Name,Description,Coordinates,Hotel Class,Link,Ratings,Reviews,Reviews Breakdown
"""Riverbend Gem"" - Studio|Courtyard|TPA Heights",N/A,"{'latitude': 28.001779556274414, 'longitude': -82.46595001220703}",N/A,https://www.staytealdoor.com/properties/6621a308c6b93b00326b876f,N/A,3,N/A
"""ARIZONA ROOM"" In South Tampa by Macdill AFB",N/A,"{'latitude': 27.85740089416504, 'longitude': -82.53445434570312}",N/A,https://google.bookeddirectly.com/g/tampa/%2522arizona-room%2522-in-south-tampa-by-macdill-afb/04c457,N/A,N/A,N/A
Treehouse,N/A,"{'latitude': 28.009565353393555, 'longitude': -82.44145965576172}",N/A,N/A,N/A,34,N/A
NEW in Heart of SOHO Minutes to Downtown and Stadium Unit 1,N/A,"{'latitude': 27.9431209564209, 'longitude': -82.4791030883789}",N/A,N/A,N/A,40,N/A
"""HAWAII ROOM"" In South Tampa by Downtown and Soho",N/A,"{'latitude': 27.951168060302734, 'longitude': -82.48236083984375}",N/A,https://google.bookeddirectly.com/g/tampa/%2522hawaii-room%2522-in-south-tampa-by-downtown-and-soho/2b2c53,N/A,N/A,N/A
Focus On Luxury | Premier South Tampa,N/A,"{'latitude': 27.892650604248047, 'longitude': -82.52218627929688}",N/A,https://111578_1.holidayfuture.com/listings/302353?googleVR=1,N/A,N/A,N/A
"8820 Rocky Creek Drive, Unit A",N/A,"{'latitude': 27.996192932128906, 'longitude': -82.58525085449219}",N/A,N/A,N/A,N/A,N/A
"""DELAWARE ROOM"" in South Tampa by Armature Works",N/A,"{'latitude': 27.958759307861328, 'longitude': -82.47479248046875}",N/A,https://google.bookeddirectly.com/g/tampa/%2522delaware-room%2522-in-south-tampa-by-armature-works/3e692c,N/A,N/A,N/A
Waterfront Retreat,N/A,"{'latitude': 27.96347999572754, 'longitude': -82.57219696044922}",N/A,https://book.redsashgroup.com/properties/652e89c2cf36be003c7785e3,N/A,87,N/A
The Blue Bird,N/A,"{'latitude': 27.98048973083496, 'longitude': -82.47257232666016}",N/A,https://www.vacasa.com/unit/106664,N/A,26,N/A
"8818 Rocky Creek Drive, Unit B",N/A,"{'latitude': 27.99617576599121, 'longitude': -82.58507537841797}",N/A,N/A,N/A,N/A,N/A
Busch Gardens Bliss Retreat 1 Bedroom,N/A,"{'latitude': 28.036603927612305, 'longitude': -82.41015625}",N/A,https://www.booking.com/hotel/us/busch-gardens-bliss-retreat-1-bedroom.en.html?aid=2068758;label=seogooglelocal-link-imagesaow-hotel-11078729_grp-1_gendate-20240917;utm_source=seogooglelocal;utm_medium=description;utm_term=hotel-11078729;utm_campaign=en,N/A,N/A,N/A
"Comfy Condo-KING Bed, POOL-Hot Tub, Pets, Wifi,Gym",N/A,"{'latitude': 28.13558578491211, 'longitude': -82.37118530273438}",N/A,https://furnishedstaystampa.com/property/comfy-condoking-bedpoolhot-tubpets-okwifigym,N/A,5,N/A
"""Close Swann"" - 2BR|Grill|Garden|Hyde Park|TGH",N/A,"{'latitude': 27.937870025634766, 'longitude': -82.4922866821289}",N/A,https://www.staytealdoor.com/properties/61704de5363e4700310edf0c,N/A,43,N/A
Private Tampa FL,N/A,"{'latitude': 27.952817916870117, 'longitude': -82.44668579101562}",N/A,https://private-stays.lodgify.com/listing/en/622985,N/A,N/A,N/A
Sunset on the Bay Designer Condo + Private Balcony,N/A,"{'latitude': 27.963499069213867, 'longitude': -82.57219696044922}",N/A,https://tampavacationcollection.com/properties/6480ac9a31b70e004b4f10fb,N/A,71,N/A
Pet Friendly Tampa Studio w/ Shared Pool,N/A,"{'latitude': 28.063133239746094, 'longitude': -82.47956848144531}",N/A,http://g.rentalsunited.com/gate.aspx?uid=554691&url=1&pid=3866658&lc=google,N/A,N/A,N/A
152 m² Ferienhaus ∙ 4 Schlafzimmer ∙ 8 Gäste,N/A,"{'latitude': 28.04227066040039, 'longitude': -82.40676879882812}",N/A,https://www.e-domizil.at/rental/fafa18290438cc24?adword=edom_gvf/DE/s/ct=s/n-a/n-a/5460aeac1d0f1&utm_source=gvf,N/A,N/A,N/A
