Name,Description,Coordinates,Hotel Class,Link,Ratings,Reviews,Reviews Breakdown
Stunning Home w/ Heated Saltwater Pool & Pond View,N/A,"{'latitude': 28.03346824645996, 'longitude': -82.36754608154297}",N/A,https://www.emperorrentals.com/stunning-home-w-heated-saltwater-pool-pond-view-orp5b64f20x,N/A,16,N/A
Temple Terrace and Busch Gardens Hideout,N/A,"{'latitude': 28.031389236450195, 'longitude': -82.38446044921875}",N/A,N/A,N/A,N/A,N/A
Lala’s House,N/A,"{'latitude': 28.024169921875, 'longitude': -82.36705017089844}",N/A,N/A,N/A,86,N/A
Luxurious Resort Style Apt near Busch Gardens/USF,N/A,"{'latitude': 28.030616760253906, 'longitude': -82.39193725585938}",N/A,https://www.us.despegar.com/hotels/h-5409258,N/A,N/A,N/A
"By the River, In-Law Suite",N/A,"{'latitude': 28.0233097076416, 'longitude': -82.38278198242188}",N/A,N/A,N/A,N/A,N/A
Resort Style-2BR-POOL View-HOTUB-Moffitt-Long Stay,N/A,"{'latitude': 28.031095504760742, 'longitude': -82.39200592041016}",N/A,https://furnishedstaystampa.com/property/luxury-long-stay-tampa-pool-viewwifimoffittusf,N/A,2,N/A
Whispering Grove,N/A,"{'latitude': 28.025123596191406, 'longitude': -82.3877944946289}",N/A,N/A,N/A,N/A,N/A
PEACEFUL GETAWAY STUDIO,N/A,"{'latitude': 28.023820877075195, 'longitude': -82.36571502685547}",N/A,https://www.vrbo.com/3930071?MDPCID=VRBO-META.HPA.WEB-ORGANIC.VR,N/A,6,N/A
Cozy townhome 1.5 miles from Busch Gardens and USF,N/A,"{'latitude': 28.043060302734375, 'longitude': -82.40332794189453}",N/A,https://www.us.despegar.com/hotels/h-6063316,N/A,N/A,N/A
1 Bedroom Condo 425161 by Houzlet,N/A,"{'latitude': 28.0162296295166, 'longitude': -82.39392852783203}",N/A,https://www.bluepillow.com/search?p_id=589dfd647c00cb10c8dacd0b&dest=bpex&cat=Apartment&accomodationids=65cb855b3e6d928972f8da70,N/A,N/A,N/A
BayCation,N/A,"{'latitude': 28.048564910888672, 'longitude': -82.4011001586914}",N/A,https://www.vacasa.com/unit/118653,N/A,4,N/A
TownePlace Suites by Marriott Tampa North/I-75 Fletcher,N/A,"{'latitude': 28.067001342773438, 'longitude': -82.37169647216797}",N/A,https://deals.vio.com?sig=73aca13c7f952d2641c156f3e69125e1eb497c325f122828ee5aa8797168b9a12d32303331333438363233&turl=https%3A%2F%2Fwww.vio.com%2FHotel%2FSearch%3FhotelId%3D1086202%26utm_source%3Dgha-vr%26utm_campaign%3Dstatic%26openHotelDetails%3D1,N/A,189,N/A
Park Paradise,N/A,"{'latitude': 28.042476654052734, 'longitude': -82.38817596435547}",N/A,https://www.vacasa.com/unit/91670,N/A,34,N/A
242 m² Ferienhaus ∙ 4 Schlafzimmer ∙ 14 Gäste,N/A,"{'latitude': 28.023799896240234, 'longitude': -82.38578796386719}",N/A,https://www.e-domizil.at/rental/5936d0d6367f5b26?adword=edom_gvf/DE/s/ct=s/n-a/n-a/5460aeac1d0f1&utm_source=gvf,N/A,N/A,N/A
"Fun Oasis - Apt Close to Busch Gardens, USF, Amphitheatre  Florida Fairgrounds",N/A,"{'latitude': 28.02695083618164, 'longitude': -82.38674926757812}",N/A,https://www.bluepillow.com/search?p_id=589dfd657c00cb10c8dacd10&dest=bpvr&cat=Apartment&accomodationids=64906f5fba24250813c24403,N/A,N/A,N/A
BuschGardens*Pool* King Bed*GameRoom*Sleeps15*Pets,N/A,"{'latitude': 28.026334762573242, 'longitude': -82.3969497680664}",N/A,https://itmg.holidayfuture.com/listings/66411?googleVR=1,N/A,121,N/A
Mini Mansion Tampa Oasis,N/A,"{'latitude': 28.043962478637695, 'longitude': -82.39612579345703}",N/A,https://platform.hostfully.com/vacation-rental-property-v2/51094/renovated-quaint-home,N/A,11,N/A
Jungle Oasis By Busch Gardens USF and Amphitheater,N/A,"{'latitude': 28.027320861816406, 'longitude': -82.3899917602539}",N/A,https://deals.vio.com?sig=73aca13c7f952d2641c156f3e69125e1eb497c325f122828ee5aa8797168b9a12d32303331333438363233&turl=https%3A%2F%2Fwww.vio.com%2FHotel%2FSearch%3FhotelId%3D77917599%26utm_source%3Dgha-vr%26utm_campaign%3Dstatic%26openHotelDetails%3D1,N/A,N/A,N/A
