Name,Description,Coordinates,Hotel Class,Link,Ratings,Reviews,Reviews Breakdown
New Port Richey Family Home - 2 Mi to Downtown!,N/A,"{'latitude': 28.220008850097656, 'longitude': -82.7172622680664}",N/A,https://www.booking.com/hotel/us/new-port-richey-family-home-2-mi-to-downtown.en.html?aid=2068758;label=seogooglelocal-link-imagesaow-hotel-12344690_grp-2_gendate-20240917;utm_source=seogooglelocal;utm_medium=description;utm_term=hotel-12344690;utm_campaign=en,N/A,N/A,N/A
New Riverside Retreat w/Pool  Dock,N/A,"{'latitude': 28.17841911315918, 'longitude': -82.71775817871094}",N/A,N/A,N/A,4,N/A
NEW LISTING: Quiet 2-bdrm 2-bath condo by golf course.,N/A,"{'latitude': 28.20802879333496, 'longitude': -82.65462493896484}",N/A,N/A,N/A,21,N/A
"Florida beautiful house, ready for vacations",N/A,"{'latitude': 28.20716094970703, 'longitude': -82.69268035888672}",N/A,N/A,N/A,N/A,N/A
Creek Cabin - Two-Bedroom House,N/A,"{'latitude': 28.21503257751465, 'longitude': -82.69864654541016}",N/A,N/A,N/A,7,N/A
Odessa Lake House w/ Private Pool & Screened Lanai,N/A,"{'latitude': 28.138370513916016, 'longitude': -82.58159637451172}",N/A,http://g.rentalsunited.com/gate.aspx?uid=554691&url=1&pid=3763792&lc=google,N/A,6,N/A
Charming 2-bedroom Vacation House in New Port Richey,N/A,"{'latitude': 28.215364456176758, 'longitude': -82.68988800048828}",N/A,N/A,N/A,N/A,N/A
Odessa Lakeside: 3BR Pool & Hot Tub,N/A,"{'latitude': 28.138370513916016, 'longitude': -82.58154296875}",N/A,https://luxurylodging.holidayfuture.com/listings/314717?googleVR=1,N/A,1,N/A
"Luxury Pool home in Trinity, FL - Monthly rental only. Avail Jan and/or Feb 2025",N/A,"{'latitude': 28.227489471435547, 'longitude': -82.68245697021484}",N/A,https://www.bluepillow.com/search?p_id=589dfd4f7c00cb10c8dacc60&dest=bpvr&cat=House&accomodationids=62175889a7239796806e98e1,N/A,7,N/A
Pet Friendly Waterfront Florida Home With Boat Lift & Kayaks,N/A,"{'latitude': 28.176729202270508, 'longitude': -82.7188720703125}",N/A,https://www.bringfido.com/lodging/131716?aid=googlerentals-website,N/A,56,N/A
"Opulent 6-Bedroom Estate with Heated Pool, Hot Tub, and Luxe Amenities!",N/A,"{'latitude': 28.16071891784668, 'longitude': -82.73054504394531}",N/A,https://www.emperorrentals.com/salt-lake-mary-orp5b66fb2x,N/A,5,N/A
"Home on river with private pool, stunning sunset, fishing, dolphin & manatee",N/A,"{'latitude': 28.173791885375977, 'longitude': -82.7204818725586}",N/A,N/A,N/A,7,N/A
Long Stays Welcome ~ Pet Friendly,N/A,"{'latitude': 28.217138290405273, 'longitude': -82.66595458984375}",N/A,https://www.us.despegar.com/hotels/h-5055776,N/A,N/A,N/A
Free Pool Toys And Sunrises    Sunrise On Lake Tarpon 4 Bed 3.5 Bath    Lake Front Vacation Pool Home,N/A,"{'latitude': 28.10749053955078, 'longitude': -82.72941589355469}",N/A,https://gtravel.pmtsmartsync.com/site_clickthrough.php?hotelid=33560&language=en,N/A,7,N/A
Newly furnished 2-beds condo w\/ golf course view!,N/A,"{'latitude': 28.207014083862305, 'longitude': -82.65550231933594}",N/A,https://deals.vio.com?sig=73aca13c7f952d2641c156f3e69125e1eb497c325f122828ee5aa8797168b9a12d32303331333438363233&turl=https%3A%2F%2Fwww.vio.com%2FHotel%2FSearch%3FhotelId%3D91957813%26utm_source%3Dgha-vr%26utm_campaign%3Dstatic%26openHotelDetails%3D1,N/A,N/A,N/A
Best Holiday Beach Connection!,N/A,"{'latitude': 28.209381103515625, 'longitude': -82.72998046875}",N/A,N/A,N/A,5,N/A
Newly furnished 2-beds condo w/ golf course view!,N/A,"{'latitude': 28.20701026916504, 'longitude': -82.65550231933594}",N/A,N/A,N/A,N/A,N/A
"Private House with Heated Pool, Close to Attractions!",N/A,"{'latitude': 28.202295303344727, 'longitude': -82.72378540039062}",N/A,N/A,N/A,6,N/A
