Name,Description,Coordinates,Hotel Class,Link,Ratings,Reviews,Reviews Breakdown
"2 Bedroom , 2 Bath , Villa",N/A,"{'latitude': 28.04874038696289, 'longitude': -82.67636108398438}",N/A,N/A,N/A,24,N/A
2230 ft² House ∙ 3 bedrooms ∙ 6 guests,N/A,"{'latitude': 28.091089248657227, 'longitude': -82.68289947509766}",N/A,N/A,N/A,8,N/A
Completely renovated!,N/A,"{'latitude': 28.036109924316406, 'longitude': -82.68757629394531}",N/A,https://www.bluepillow.com/search?p_id=589dfd527c00cb10c8dacc7c&dest=bpvr&cat=House&accomodationids=6490708eba24250813c361fa,N/A,3,N/A
Private ground floor apt with a huge deck,N/A,"{'latitude': 28.035480499267578, 'longitude': -82.68439483642578}",N/A,https://www.vrbo.com/1272052?MDPCID=VRBO-META.HPA.WEB-ORGANIC.VR,N/A,11,N/A
Idyllic Oldsmar Vacation Rental: 1 Mi to Beach!,N/A,"{'latitude': 28.021772384643555, 'longitude': -82.6635971069336}",N/A,http://g.rentalsunited.com/gate.aspx?uid=554691&url=1&pid=3789116&lc=google,N/A,N/A,N/A
Ever live in a Tiny Home?,N/A,"{'latitude': 28.037630081176758, 'longitude': -82.68814086914062}",N/A,https://www.bluepillow.com/search?p_id=589dfd527c00cb10c8dacc7c&dest=bpex&cat=Apartment&accomodationids=65cb97873e6d928972fd993e,N/A,N/A,N/A
Oldsmar Home w/ Plunge Pool: 17 Mi to Tampa!,N/A,"{'latitude': 28.0219669342041, 'longitude': -82.66358947753906}",N/A,https://www.us.despegar.com/hotels/h-4772366,N/A,N/A,N/A
Cozy 2BR condo w/Pool in Gated community. close to beaches/resturants/shopping,N/A,"{'latitude': 28.06096839904785, 'longitude': -82.69896697998047}",N/A,https://www.vrbo.com/4087888?MDPCID=VRBO-META.HPA.WEB-ORGANIC.VR,N/A,N/A,N/A
Beautiful home in Oldsmar,N/A,"{'latitude': 28.03643035888672, 'longitude': -82.66645812988281}",N/A,https://www.bluepillow.com/search?p_id=589dfd527c00cb10c8dacc7c&dest=bpex&cat=House&accomodationids=6233a8e14c4d8d9b9b7dbbe6,N/A,N/A,N/A
Pet-Friendly Tampa Bay Getaway: Walk to the Water!,N/A,"{'latitude': 28.035572052001953, 'longitude': -82.66348266601562}",N/A,http://g.rentalsunited.com/gate.aspx?uid=554691&url=1&pid=3854475&lc=google,N/A,7,N/A
!GOLF COURSE VIEW/SPACIOUS POOL/LANAI/PIANO/FOOSBALL-NEAR BEACH/MUSEUM/AQUARIUM!,N/A,"{'latitude': 28.022605895996094, 'longitude': -82.71551513671875}",N/A,https://10starshomes.hospitable.rentals/property/golfcourse-view-spacious-poollanai-pianofoosball,N/A,4,N/A
"2 bedroom, 1.5 bath,  cottage, close to airport, beaches and attractions",N/A,"{'latitude': 28.04146957397461, 'longitude': -82.63613891601562}",N/A,https://www.bluepillow.com/search?p_id=589dfd647c00cb10c8dacd0b&dest=bpex&cat=Cottage&accomodationids=62df2f162d760a9969f25093,N/A,N/A,N/A
Quiet 2-BR house w/ pool & office. Monthly rental.,N/A,"{'latitude': 28.019071578979492, 'longitude': -82.69648742675781}",N/A,N/A,N/A,N/A,N/A
Cozy Two Bedroom Condo Tucked Away In The Serene Settings Of East Lake Woodlands,N/A,"{'latitude': 28.058170318603516, 'longitude': -82.70297241210938}",N/A,N/A,N/A,43,N/A
"Beautifully, Renovated Home in Quiet Cul de Sac! Close to EVERYTHING!",N/A,"{'latitude': 28.041187286376953, 'longitude': -82.69487762451172}",N/A,N/A,N/A,155,N/A
Hideaway in Serenity!,N/A,"{'latitude': 28.043838500976562, 'longitude': -82.71842193603516}",N/A,https://www.booking.com/hotel/us/hideaway-in-serenity.en.html?aid=2068758;label=seogooglelocal-link-imagesaow-hotel-12021104_grp-0_gendate-20240917;utm_source=seogooglelocal;utm_medium=description;utm_term=hotel-12021104;utm_campaign=en,N/A,N/A,N/A
Beautiful Condo in prime Florida location within premier gated community.,N/A,"{'latitude': 28.058271408081055, 'longitude': -82.70413208007812}",N/A,N/A,N/A,122,N/A
Oldsmar Home with Plunge Pool 17 Mi to Tampa!,N/A,"{'latitude': 28.021970748901367, 'longitude': -82.66358947753906}",N/A,https://www.bluepillow.com/search?p_id=589dfd527c00cb10c8dacc7c&dest=bkng&cat=House&accomodationids=63990027c551970d3c76e116,N/A,N/A,N/A
