Name,Description,Coordinates,Latitude,Longitude,Hotel Class,Link,Ratings,Reviews,Reviews Breakdown,Address
"Admiral Fell Inn Baltimore Harbor, Ascend Hotel Collection","Storied inn featuring unique, classically furnished rooms & suites, plus dining options.","{'latitude': 39.2818587, 'longitude': -76.5936531}",39.2818587,-76.5936531,3,https://www.choicehotels.com/maryland/baltimore/ascend-hotels/md280?mc=llgoxxpx,"[{'stars': 5, 'count': 423}, {'stars': 4, 'count': 205}, {'stars': 3, 'count': 89}, {'stars': 2, 'count': 54}, {'stars': 1, 'count': 75}]",846,"[{'name': 'Bar', 'description': 'Bar or lounge', 'total_mentioned': 95, 'positive': 76, 'negative': 10, 'neutral': 9}, {'name': 'Pets', 'description': 'Pets', 'total_mentioned': 30, 'positive': 21, 'negative': 7, 'neutral': 2}, {'name': 'Property', 'description': 'Property', 'total_mentioned': 309, 'positive': 201, 'negative': 81, 'neutral': 27}, {'name': 'Service', 'description': 'Service', 'total_mentioned': 255, 'positive': 196, 'negative': 39, 'neutral': 20}, {'name': 'Location', 'description': 'Location', 'total_mentioned': 188, 'positive': 152, 'negative': 20, 'neutral': 16}, {'name': 'Sleep', 'description': 'Sleep', 'total_mentioned': 114, 'positive': 21, 'negative': 82, 'neutral': 11}]","Admiral Fell Inn, 888, South Broadway, Fell's Point, Baltimore, Maryland, 21231, United States"
AKA Central Park,"Extended-stay hotel offering studios & suites with full kitchens, plus espresso & cocktail bars.","{'latitude': 40.7644076, 'longitude': -73.97558649999999}",40.7644076,-73.97558649999999,4,https://www.stayaka.com/aka-central-park,"[{'stars': 5, 'count': 175}, {'stars': 4, 'count': 74}, {'stars': 3, 'count': 17}, {'stars': 2, 'count': 8}, {'stars': 1, 'count': 16}]",290,"[{'name': 'Location', 'description': 'Location', 'total_mentioned': 69, 'positive': 59, 'negative': 5, 'neutral': 5}, {'name': 'Kitchen', 'description': 'Kitchen', 'total_mentioned': 23, 'positive': 15, 'negative': 4, 'neutral': 4}, {'name': 'Service', 'description': 'Service', 'total_mentioned': 72, 'positive': 55, 'negative': 13, 'neutral': 4}, {'name': 'Gym', 'description': 'Gym', 'total_mentioned': 10, 'positive': 8, 'negative': 0, 'neutral': 2}, {'name': 'Fitness', 'description': 'Fitness', 'total_mentioned': 11, 'positive': 8, 'negative': 1, 'neutral': 2}, {'name': 'Property', 'description': 'Property', 'total_mentioned': 70, 'positive': 60, 'negative': 6, 'neutral': 4}]","AKA Central Park, 42, West 58th Street, Manhattan Community Board 5, Manhattan, New York County, City of New York, New York, 10019, United States"
AKA Sutton Place,"Trendy apartments in a contemporary hotel featuring a sleek bar, a 24-hour gym & an indoor pool.","{'latitude': 40.7579627, 'longitude': -73.9645773}",40.7579627,-73.9645773,4,http://www.stayaka.com/aka-sutton-place,"[{'stars': 5, 'count': 66}, {'stars': 4, 'count': 12}, {'stars': 3, 'count': 2}, {'stars': 2, 'count': 1}, {'stars': 1, 'count': 3}]",84,"[{'name': 'Service', 'description': 'Service', 'total_mentioned': 33, 'positive': 29, 'negative': 2, 'neutral': 2}, {'name': 'Bar', 'description': 'Bar or lounge', 'total_mentioned': 7, 'positive': 6, 'negative': 1, 'neutral': 0}, {'name': 'Property', 'description': 'Property', 'total_mentioned': 22, 'positive': 20, 'negative': 0, 'neutral': 2}, {'name': 'Room', 'description': 'Room amenities', 'total_mentioned': 8, 'positive': 6, 'negative': 1, 'neutral': 1}, {'name': 'Location', 'description': 'Location', 'total_mentioned': 8, 'positive': 7, 'negative': 0, 'neutral': 1}, {'name': 'Cleanliness', 'description': 'Cleanliness', 'total_mentioned': 5, 'positive': 4, 'negative': 1, 'neutral': 0}]","AKA Sutton Place, 330, East 56th Street, Sutton, Manhattan Community Board 6, Manhattan, New York County, City of New York, New York, 10022, United States"
A-Lodge Boulder (Boulder Adventure Lodge),"Casual creekside lodge featuring rooms & cabins, as well as free breakfast, a pool & a hot tub.","{'latitude': 40.017989, 'longitude': -105.326301}",40.017989,-105.326301,3,http://www.a-lodge.com/,"[{'stars': 5, 'count': 493}, {'stars': 4, 'count': 97}, {'stars': 3, 'count': 37}, {'stars': 2, 'count': 21}, {'stars': 1, 'count': 33}]",681,"[{'name': 'Service', 'description': 'Service', 'total_mentioned': 250, 'positive': 214, 'negative': 29, 'neutral': 7}, {'name': 'Property', 'description': 'Property', 'total_mentioned': 259, 'positive': 203, 'negative': 36, 'neutral': 20}, {'name': 'Location', 'description': 'Location', 'total_mentioned': 166, 'positive': 134, 'negative': 12, 'neutral': 20}, {'name': 'Air Conditioning', 'description': 'Air conditioning', 'total_mentioned': 16, 'positive': 1, 'negative': 14, 'neutral': 1}]","98, Fourmile Canyon Drive, Orodell, Boulder County, Colorado, 80302, United States"
Aloft Harlem,"Contemporary hotel with hip rooms & a fashionable 24-hour cafe/bar, plus a courtyard & a 24/7 gym.","{'latitude': 40.809071100000004, 'longitude': -73.9515102}",40.8090711,-73.9515102,3,https://www.marriott.com/en-us/hotels/nyclh-aloft-harlem/overview/?scid=f2ae0541-1279-4f24-b197-a979c79310b0,"[{'stars': 5, 'count': 531}, {'stars': 4, 'count': 344}, {'stars': 3, 'count': 130}, {'stars': 2, 'count': 48}, {'stars': 1, 'count': 58}]",1111,"[{'name': 'Bar', 'description': 'Bar or lounge', 'total_mentioned': 88, 'positive': 69, 'negative': 11, 'neutral': 8}, {'name': 'Service', 'description': 'Service', 'total_mentioned': 300, 'positive': 229, 'negative': 59, 'neutral': 12}, {'name': 'Property', 'description': 'Property', 'total_mentioned': 333, 'positive': 235, 'negative': 67, 'neutral': 31}, {'name': 'Location', 'description': 'Location', 'total_mentioned': 153, 'positive': 132, 'negative': 5, 'neutral': 16}, {'name': 'Cleanliness', 'description': 'Cleanliness', 'total_mentioned': 190, 'positive': 130, 'negative': 48, 'neutral': 12}, {'name': 'Nightlife', 'description': 'Nightlife', 'total_mentioned': 31, 'positive': 21, 'negative': 5, 'neutral': 5}]","Aloft Hotel, 2296, Frederick Douglass Boulevard, Manhattan Community Board 10, Manhattan, New York County, City of New York, New York, 10039, United States"
Aloft Portland Downtown Waterfront ME,"Colorful rooms in a relaxed, contemporary hotel featuring a gym & a lobby bar, plus harbor views.","{'latitude': 43.6517918, 'longitude': -70.2568908}",43.6517918,-70.2568908,3,https://www.marriott.com/en-us/hotels/pwmal-aloft-portland-downtown-waterfront-me/overview/?scid=f2ae0541-1279-4f24-b197-a979c79310b0,"[{'stars': 5, 'count': 242}, {'stars': 4, 'count': 83}, {'stars': 3, 'count': 46}, {'stars': 2, 'count': 25}, {'stars': 1, 'count': 40}]",436,"[{'name': 'Bar', 'description': 'Bar or lounge', 'total_mentioned': 112, 'positive': 96, 'negative': 9, 'neutral': 7}, {'name': 'Parking', 'description': 'Parking', 'total_mentioned': 79, 'positive': 32, 'negative': 38, 'neutral': 9}, {'name': 'Bathroom', 'description': 'Bathroom and toiletries', 'total_mentioned': 69, 'positive': 13, 'negative': 52, 'neutral': 4}, {'name': 'Pets', 'description': 'Pets', 'total_mentioned': 18, 'positive': 9, 'negative': 6, 'neutral': 3}, {'name': 'Room', 'description': 'Room amenities', 'total_mentioned': 49, 'positive': 24, 'negative': 18, 'neutral': 7}, {'name': 'Service', 'description': 'Service', 'total_mentioned': 154, 'positive': 104, 'negative': 39, 'neutral': 11}]","Commercial Street, Old Port, Portland, Cumberland County, Maine, 04101, United States"
Aloft Tampa Downtown,A contemporary selection offering modern rooms with a casual bar & a 24-hour convenience store.,"{'latitude': 27.9468025, 'longitude': -82.45989809999999}",27.9468025,-82.45989809999999,3,https://www.marriott.com/en-us/hotels/tpatl-aloft-tampa-downtown/overview/?scid=f2ae0541-1279-4f24-b197-a979c79310b0,"[{'stars': 5, 'count': 787}, {'stars': 4, 'count': 375}, {'stars': 3, 'count': 145}, {'stars': 2, 'count': 77}, {'stars': 1, 'count': 133}]",1517,"[{'name': 'Bar', 'description': 'Bar or lounge', 'total_mentioned': 244, 'positive': 172, 'negative': 48, 'neutral': 24}, {'name': 'Location', 'description': 'Location', 'total_mentioned': 264, 'positive': 222, 'negative': 18, 'neutral': 24}, {'name': 'Parking', 'description': 'Parking', 'total_mentioned': 144, 'positive': 60, 'negative': 71, 'neutral': 13}, {'name': 'Service', 'description': 'Service', 'total_mentioned': 406, 'positive': 264, 'negative': 117, 'neutral': 25}, {'name': 'Room', 'description': 'Room amenities', 'total_mentioned': 150, 'positive': 85, 'negative': 54, 'neutral': 11}, {'name': 'Nature', 'description': 'Nature and outdoor activities', 'total_mentioned': 51, 'positive': 50, 'negative': 0, 'neutral': 1}]","Kennedy Boulevard @ Ashley Drive, 100, West Kennedy Boulevard, Riverside, Tampa, Hillsborough County, Florida, 33602, United States"
AmericInn by Wyndham Memphis East,,"{'latitude': 35.1680534, 'longitude': -89.86369839999999}",35.1680534,-89.86369839999999,2,https://www.wyndhamhotels.com/americinn/memphis-tennessee/americinn-memphis-east/overview?CID=LC:div7epuxsaire17:55749&iata=00093796,"[{'stars': 5, 'count': 37}, {'stars': 4, 'count': 10}, {'stars': 3, 'count': 19}, {'stars': 2, 'count': 16}, {'stars': 1, 'count': 82}]",164,"[{'name': 'Bathroom', 'description': 'Bathroom and toiletries', 'total_mentioned': 44, 'positive': 0, 'negative': 43, 'neutral': 1}, {'name': 'Sleep', 'description': 'Sleep', 'total_mentioned': 47, 'positive': 4, 'negative': 41, 'neutral': 2}, {'name': 'Fitness', 'description': 'Fitness', 'total_mentioned': 16, 'positive': 1, 'negative': 14, 'neutral': 1}, {'name': 'Pool', 'description': 'Pool', 'total_mentioned': 11, 'positive': 1, 'negative': 9, 'neutral': 1}, {'name': 'Cleanliness', 'description': 'Cleanliness', 'total_mentioned': 62, 'positive': 7, 'negative': 55, 'neutral': 0}, {'name': 'Breakfast', 'description': 'Breakfast', 'total_mentioned': 14, 'positive': 0, 'negative': 14, 'neutral': 0}]","Comfort Inn & Suites, 1556, Sycamore View Road, Memphis, Shelby County, West Tennessee, Tennessee, 38134, United States"
Angler's Lodge & Riverfront Restaurant,"Riverfront quarters in a low-key lodge with a seasonal restaurant/bar, plus fishing & snowmobiling.","{'latitude': 44.3689436, 'longitude': -111.4018356}",44.3689436,-111.4018356,3,http://www.anglerslodge.net/,"[{'stars': 5, 'count': 347}, {'stars': 4, 'count': 64}, {'stars': 3, 'count': 24}, {'stars': 2, 'count': 18}, {'stars': 1, 'count': 44}]",497,"[{'name': 'Dining', 'description': 'Food and Beverage', 'total_mentioned': 91, 'positive': 68, 'negative': 18, 'neutral': 5}, {'name': 'Bar', 'description': 'Bar or lounge', 'total_mentioned': 35, 'positive': 31, 'negative': 2, 'neutral': 2}, {'name': 'Service', 'description': 'Service', 'total_mentioned': 130, 'positive': 104, 'negative': 24, 'neutral': 2}, {'name': 'Room', 'description': 'Room amenities', 'total_mentioned': 63, 'positive': 49, 'negative': 10, 'neutral': 4}, {'name': 'Cleanliness', 'description': 'Cleanliness', 'total_mentioned': 64, 'positive': 47, 'negative': 16, 'neutral': 1}, {'name': 'Property', 'description': 'Property', 'total_mentioned': 148, 'positive': 126, 'negative': 16, 'neutral': 6}]","Old Highway, Last Chance, Island Park, Fremont County, Idaho, United States"
Aqua Blue Hotel,Upscale rooms & suites with whirlpool tubs in a modern hotel offering an indoor pool & ocean views.,"{'latitude': 41.4312742, 'longitude': -71.4580557}",41.4312742,-71.4580557,3,http://aquabluehotels.com/,"[{'stars': 5, 'count': 143}, {'stars': 4, 'count': 104}, {'stars': 3, 'count': 69}, {'stars': 2, 'count': 52}, {'stars': 1, 'count': 105}]",473,"[{'name': 'Fitness', 'description': 'Fitness', 'total_mentioned': 44, 'positive': 8, 'negative': 34, 'neutral': 2}, {'name': 'Accessibility', 'description': 'Accessibility', 'total_mentioned': 28, 'positive': 1, 'negative': 24, 'neutral': 3}, {'name': 'Service', 'description': 'Service', 'total_mentioned': 163, 'positive': 65, 'negative': 80, 'neutral': 18}, {'name': 'Hot Tub', 'description': 'Hot tub', 'total_mentioned': 22, 'positive': 5, 'negative': 17, 'neutral': 0}, {'name': 'Room', 'description': 'Room amenities', 'total_mentioned': 82, 'positive': 28, 'negative': 47, 'neutral': 7}, {'name': 'Sleep', 'description': 'Sleep', 'total_mentioned': 70, 'positive': 14, 'negative': 47, 'neutral': 9}]","The Village Inn, 1, Beach Street, Narragansett Beach, Narragansett Pier, Narragansett, South County, Rhode Island, 02882, United States"
