Name,Description,Coordinates,Hotel Class,Link,Ratings,Reviews,Reviews Breakdown
Emerald Greens Hotel Condo Resort,"Polished hotel surrounded by golfing greens, plus a pool, a playground & 8 tennis courts.","{'latitude': 28.0745267, 'longitude': -82.5124739}",3,http://www.egresort.com/,"[{'stars': 5, 'count': 169}, {'stars': 4, 'count': 45}, {'stars': 3, 'count': 9}, {'stars': 2, 'count': 2}, {'stars': 1, 'count': 7}]",232,"[{'name': 'Property', 'description': 'Property', 'total_mentioned': 53, 'positive': 47, 'negative': 2, 'neutral': 4}, {'name': 'Service', 'description': 'Service', 'total_mentioned': 48, 'positive': 47, 'negative': 1, 'neutral': 0}, {'name': 'Cleanliness', 'description': 'Cleanliness', 'total_mentioned': 39, 'positive': 35, 'negative': 3, 'neutral': 1}]"
Residence Inn Tampa Suncoast Parkway at NorthPointe Village,"Modern extended-stay hotel with an outdoor pool & a fitness room, plus free Wi-Fi & hot breakfast.","{'latitude': 28.1880971, 'longitude': -82.5403047}",3,https://www.marriott.com/en-us/hotels/tpasc-residence-inn-tampa-suncoast-parkway-at-northpointe-village/overview/?scid=f2ae0541-1279-4f24-b197-a979c79310b0,"[{'stars': 5, 'count': 306}, {'stars': 4, 'count': 105}, {'stars': 3, 'count': 26}, {'stars': 2, 'count': 8}, {'stars': 1, 'count': 20}]",465,"[{'name': 'Pets', 'description': 'Pets', 'total_mentioned': 27, 'positive': 15, 'negative': 9, 'neutral': 3}, {'name': 'Air Conditioning', 'description': 'Air conditioning', 'total_mentioned': 6, 'positive': 1, 'negative': 4, 'neutral': 1}, {'name': 'Service', 'description': 'Service', 'total_mentioned': 151, 'positive': 124, 'negative': 22, 'neutral': 5}, {'name': 'Property', 'description': 'Property', 'total_mentioned': 159, 'positive': 135, 'negative': 10, 'neutral': 14}, {'name': 'Cleanliness', 'description': 'Cleanliness', 'total_mentioned': 98, 'positive': 80, 'negative': 13, 'neutral': 5}, {'name': 'Breakfast', 'description': 'Breakfast', 'total_mentioned': 72, 'positive': 54, 'negative': 12, 'neutral': 6}]"
Blue Bayou Inn,"Chic guesthouse featuring understated rooms, plus a wraparound porch & a hip living/dining room.","{'latitude': 28.1464663, 'longitude': -82.7516182}",N/A,http://bluebayouinn.net/,"[{'stars': 5, 'count': 48}, {'stars': 4, 'count': 0}, {'stars': 3, 'count': 1}, {'stars': 2, 'count': 0}, {'stars': 1, 'count': 1}]",50,"[{'name': 'Bar', 'description': 'Bar or lounge', 'total_mentioned': 5, 'positive': 5, 'negative': 0, 'neutral': 0}, {'name': 'Cleanliness', 'description': 'Cleanliness', 'total_mentioned': 14, 'positive': 14, 'negative': 0, 'neutral': 0}, {'name': 'Sleep', 'description': 'Sleep', 'total_mentioned': 11, 'positive': 10, 'negative': 0, 'neutral': 1}, {'name': 'Dining', 'description': 'Food and Beverage', 'total_mentioned': 5, 'positive': 5, 'negative': 0, 'neutral': 0}, {'name': 'Breakfast', 'description': 'Breakfast', 'total_mentioned': 10, 'positive': 10, 'negative': 0, 'neutral': 0}, {'name': 'Atmosphere', 'description': 'Atmosphere', 'total_mentioned': 6, 'positive': 6, 'negative': 0, 'neutral': 0}]"
Innisbrook Resort,"Sprawling resort with 4 golf courses, 11 tennis courts & a spa, plus a pool with water slides.","{'latitude': 28.105005799999997, 'longitude': -82.7549827}",4,http://www.innisbrookgolfresort.com/,"[{'stars': 5, 'count': 2577}, {'stars': 4, 'count': 674}, {'stars': 3, 'count': 240}, {'stars': 2, 'count': 101}, {'stars': 1, 'count': 135}]",3727,"[{'name': 'Fitness', 'description': 'Fitness', 'total_mentioned': 702, 'positive': 558, 'negative': 90, 'neutral': 54}, {'name': 'Wellness', 'description': 'Wellness', 'total_mentioned': 78, 'positive': 70, 'negative': 7, 'neutral': 1}, {'name': 'Dining', 'description': 'Food and Beverage', 'total_mentioned': 193, 'positive': 150, 'negative': 27, 'neutral': 16}, {'name': 'Spa', 'description': 'Spa', 'total_mentioned': 61, 'positive': 55, 'negative': 4, 'neutral': 2}, {'name': 'Business', 'description': 'Business', 'total_mentioned': 82, 'positive': 50, 'negative': 11, 'neutral': 21}, {'name': 'Couples', 'description': 'Couple friendly', 'total_mentioned': 47, 'positive': 30, 'negative': 5, 'neutral': 12}]"
SpringHill Suites Tampa Suncoast Parkway,"Casual all-suite hotel offering airy quarters, plus an outdoor pool & a terrace with a fire pit.","{'latitude': 28.1967058, 'longitude': -82.5415384}",N/A,https://www.marriott.com/en-us/hotels/tpask-springhill-suites-tampa-suncoast-parkway/overview/?scid=f2ae0541-1279-4f24-b197-a979c79310b0,"[{'stars': 5, 'count': 297}, {'stars': 4, 'count': 52}, {'stars': 3, 'count': 12}, {'stars': 2, 'count': 5}, {'stars': 1, 'count': 12}]",378,"[{'name': 'Restaurant', 'description': 'Restaurant', 'total_mentioned': 27, 'positive': 20, 'negative': 6, 'neutral': 1}, {'name': 'Breakfast', 'description': 'Breakfast', 'total_mentioned': 55, 'positive': 46, 'negative': 6, 'neutral': 3}, {'name': 'Pets', 'description': 'Pets', 'total_mentioned': 11, 'positive': 6, 'negative': 3, 'neutral': 2}, {'name': 'Location', 'description': 'Location', 'total_mentioned': 31, 'positive': 22, 'negative': 3, 'neutral': 6}, {'name': 'Fitness', 'description': 'Fitness', 'total_mentioned': 30, 'positive': 27, 'negative': 1, 'neutral': 2}, {'name': 'Bathroom', 'description': 'Bathroom and toiletries', 'total_mentioned': 21, 'positive': 7, 'negative': 8, 'neutral': 6}]"
Clearwater / Lake Tarpon KOA Holiday,N/A,"{'latitude': 28.1089377, 'longitude': -82.7392677}",N/A,https://koa.com/campgrounds/clearwater-lake/?utm_source=google&utm_medium=organic&utm_campaign=gbp,"[{'stars': 5, 'count': 363}, {'stars': 4, 'count': 102}, {'stars': 3, 'count': 31}, {'stars': 2, 'count': 9}, {'stars': 1, 'count': 22}]",527,"[{'name': 'Service', 'description': 'Service', 'total_mentioned': 161, 'positive': 141, 'negative': 16, 'neutral': 4}, {'name': 'Fitness', 'description': 'Fitness', 'total_mentioned': 76, 'positive': 64, 'negative': 3, 'neutral': 9}, {'name': 'Parking', 'description': 'Parking', 'total_mentioned': 16, 'positive': 6, 'negative': 7, 'neutral': 3}, {'name': 'Bathroom', 'description': 'Bathroom and toiletries', 'total_mentioned': 46, 'positive': 36, 'negative': 6, 'neutral': 4}, {'name': 'Location', 'description': 'Location', 'total_mentioned': 75, 'positive': 56, 'negative': 10, 'neutral': 9}, {'name': 'Restaurant', 'description': 'Restaurant', 'total_mentioned': 12, 'positive': 10, 'negative': 1, 'neutral': 1}]"
Hudson Dockside Inn,Unfussy 1-bedroom kitchenette apartments on the water with 2 flat-screen TVs & free Wi-Fi.,"{'latitude': 28.360844500000002, 'longitude': -82.70612969999999}",N/A,http://www.hudsondocksideinn.com/,"[{'stars': 5, 'count': 93}, {'stars': 4, 'count': 7}, {'stars': 3, 'count': 2}, {'stars': 2, 'count': 3}, {'stars': 1, 'count': 2}]",107,"[{'name': 'Family', 'description': 'Family friendly', 'total_mentioned': 7, 'positive': 6, 'negative': 0, 'neutral': 1}, {'name': 'Kitchen', 'description': 'Kitchen', 'total_mentioned': 11, 'positive': 11, 'negative': 0, 'neutral': 0}, {'name': 'Nature', 'description': 'Nature and outdoor activities', 'total_mentioned': 9, 'positive': 9, 'negative': 0, 'neutral': 0}, {'name': 'Atmosphere', 'description': 'Atmosphere', 'total_mentioned': 5, 'positive': 5, 'negative': 0, 'neutral': 0}, {'name': 'Property', 'description': 'Property', 'total_mentioned': 42, 'positive': 40, 'negative': 1, 'neutral': 1}, {'name': 'Service', 'description': 'Service', 'total_mentioned': 33, 'positive': 31, 'negative': 2, 'neutral': 0}]"
Fairfield Inn & Suites Holiday Tarpon Springs,"Bright hotel with an outdoor pool & fitness facilities, plus free breakfast, Wi-Fi & parking.","{'latitude': 28.2032664, 'longitude': -82.7388659}",3,https://www.marriott.com/en-us/hotels/tpahf-fairfield-inn-and-suites-holiday-tarpon-springs/overview/?scid=f2ae0541-1279-4f24-b197-a979c79310b0,"[{'stars': 5, 'count': 451}, {'stars': 4, 'count': 157}, {'stars': 3, 'count': 54}, {'stars': 2, 'count': 26}, {'stars': 1, 'count': 32}]",720,"[{'name': 'Service', 'description': 'Service', 'total_mentioned': 214, 'positive': 180, 'negative': 28, 'neutral': 6}, {'name': 'Cleanliness', 'description': 'Cleanliness', 'total_mentioned': 191, 'positive': 158, 'negative': 24, 'neutral': 9}, {'name': 'Property', 'description': 'Property', 'total_mentioned': 212, 'positive': 162, 'negative': 39, 'neutral': 11}, {'name': 'TV', 'description': 'Room entertainment', 'total_mentioned': 14, 'positive': 2, 'negative': 8, 'neutral': 4}, {'name': 'Air Conditioning', 'description': 'Air conditioning', 'total_mentioned': 17, 'positive': 4, 'negative': 12, 'neutral': 1}, {'name': 'Bathroom', 'description': 'Bathroom and toiletries', 'total_mentioned': 30, 'positive': 9, 'negative': 17, 'neutral': 4}]"
The Vue Lake Tarpon,"Mediterranean-style hotel offering informal accommodations, plus an outdoor pool & free breakfast.","{'latitude': 28.1142714, 'longitude': -82.7392236}",3,N/A,"[{'stars': 5, 'count': 363}, {'stars': 4, 'count': 226}, {'stars': 3, 'count': 129}, {'stars': 2, 'count': 46}, {'stars': 1, 'count': 105}]",869,"[{'name': 'Dining', 'description': 'Food and Beverage', 'total_mentioned': 38, 'positive': 17, 'negative': 15, 'neutral': 6}, {'name': 'Breakfast', 'description': 'Breakfast', 'total_mentioned': 63, 'positive': 38, 'negative': 22, 'neutral': 3}, {'name': 'Bathroom', 'description': 'Bathroom and toiletries', 'total_mentioned': 78, 'positive': 23, 'negative': 49, 'neutral': 6}, {'name': 'Service', 'description': 'Service', 'total_mentioned': 186, 'positive': 131, 'negative': 49, 'neutral': 6}, {'name': 'Room', 'description': 'Room amenities', 'total_mentioned': 87, 'positive': 52, 'negative': 24, 'neutral': 11}, {'name': 'Hot Tub', 'description': 'Hot tub', 'total_mentioned': 18, 'positive': 11, 'negative': 6, 'neutral': 1}]"
Inn on the Gulf Hotel,Unpretentious budget hotel opposite the beach offering a seafood restaurant & a terrace.,"{'latitude': 28.3622376, 'longitude': -82.70944399999999}",N/A,http://www.innonthegulf.com/,"[{'stars': 5, 'count': 104}, {'stars': 4, 'count': 21}, {'stars': 3, 'count': 5}, {'stars': 2, 'count': 5}, {'stars': 1, 'count': 7}]",142,"[{'name': 'Dining', 'description': 'Food and Beverage', 'total_mentioned': 31, 'positive': 23, 'negative': 4, 'neutral': 4}, {'name': 'Breakfast', 'description': 'Breakfast', 'total_mentioned': 17, 'positive': 14, 'negative': 2, 'neutral': 1}, {'name': 'Nature', 'description': 'Nature and outdoor activities', 'total_mentioned': 20, 'positive': 12, 'negative': 1, 'neutral': 7}, {'name': 'Bar', 'description': 'Bar or lounge', 'total_mentioned': 5, 'positive': 4, 'negative': 0, 'neutral': 1}, {'name': 'Atmosphere', 'description': 'Atmosphere', 'total_mentioned': 8, 'positive': 8, 'negative': 0, 'neutral': 0}, {'name': 'Kitchen', 'description': 'Kitchen', 'total_mentioned': 6, 'positive': 4, 'negative': 1, 'neutral': 1}]"
