Name,Description,Coordinates,Hotel Class,Link,Ratings,Reviews,Reviews Breakdown
Four Points by Sheraton Suites Tampa Airport Westshore,"Casual quarters with kitchenettes in an informal hotel offering dining, a gym & a free area shuttle.","{'latitude': 27.951507499999998, 'longitude': -82.5185012}",3,https://www.marriott.com/en-us/hotels/tpafp-four-points-suites-tampa-airport-westshore/overview/?scid=f2ae0541-1279-4f24-b197-a979c79310b0,"[{'stars': 5, 'count': 1004}, {'stars': 4, 'count': 501}, {'stars': 3, 'count': 211}, {'stars': 2, 'count': 99}, {'stars': 1, 'count': 168}]",1983,"[{'name': 'Service', 'description': 'Service', 'total_mentioned': 531, 'positive': 328, 'negative': 175, 'neutral': 28}, {'name': 'Location', 'description': 'Location', 'total_mentioned': 226, 'positive': 168, 'negative': 29, 'neutral': 29}, {'name': 'Property', 'description': 'Property', 'total_mentioned': 704, 'positive': 506, 'negative': 139, 'neutral': 59}, {'name': 'Transit', 'description': 'Public transit', 'total_mentioned': 107, 'positive': 79, 'negative': 20, 'neutral': 8}, {'name': 'Room', 'description': 'Room amenities', 'total_mentioned': 162, 'positive': 60, 'negative': 85, 'neutral': 17}, {'name': 'Bathroom', 'description': 'Bathroom and toiletries', 'total_mentioned': 154, 'positive': 31, 'negative': 110, 'neutral': 13}]"
Safety Harbor Resort and Spa,"This 22-acre landmark resort features traditional lodging & a 50,000-sq-ft spa & fitness center.","{'latitude': 27.991013499999998, 'longitude': -82.6873143}",3,http://www.safetyharborspa.com/,"[{'stars': 5, 'count': 2618}, {'stars': 4, 'count': 868}, {'stars': 3, 'count': 376}, {'stars': 2, 'count': 190}, {'stars': 1, 'count': 284}]",4336,"[{'name': 'Wellness', 'description': 'Wellness', 'total_mentioned': 770, 'positive': 509, 'negative': 181, 'neutral': 80}, {'name': 'Spa', 'description': 'Spa', 'total_mentioned': 607, 'positive': 400, 'negative': 137, 'neutral': 70}, {'name': 'Fitness', 'description': 'Fitness', 'total_mentioned': 397, 'positive': 252, 'negative': 87, 'neutral': 58}, {'name': 'Dining', 'description': 'Food and Beverage', 'total_mentioned': 440, 'positive': 311, 'negative': 92, 'neutral': 37}, {'name': 'Breakfast', 'description': 'Breakfast', 'total_mentioned': 231, 'positive': 177, 'negative': 42, 'neutral': 12}, {'name': 'Couples', 'description': 'Couple friendly', 'total_mentioned': 154, 'positive': 110, 'negative': 20, 'neutral': 24}]"
SpringHill Suites Tampa North/I-75 Tampa Palms,"Informal all-suite hotel with an outdoor pool & a fitness center, plus free hot breakfast & Wi-Fi.","{'latitude': 28.1274058, 'longitude': -82.377622}",3,https://www.marriott.com/en-us/hotels/tpanp-springhill-suites-tampa-north-i-75-tampa-palms/overview/?scid=f2ae0541-1279-4f24-b197-a979c79310b0,"[{'stars': 5, 'count': 605}, {'stars': 4, 'count': 216}, {'stars': 3, 'count': 60}, {'stars': 2, 'count': 19}, {'stars': 1, 'count': 56}]",956,"[{'name': 'Breakfast', 'description': 'Breakfast', 'total_mentioned': 160, 'positive': 117, 'negative': 23, 'neutral': 20}, {'name': 'Service', 'description': 'Service', 'total_mentioned': 315, 'positive': 259, 'negative': 43, 'neutral': 13}, {'name': 'Restaurant', 'description': 'Restaurant', 'total_mentioned': 89, 'positive': 69, 'negative': 15, 'neutral': 5}, {'name': 'Property', 'description': 'Property', 'total_mentioned': 317, 'positive': 268, 'negative': 35, 'neutral': 14}, {'name': 'Cleanliness', 'description': 'Cleanliness', 'total_mentioned': 248, 'positive': 201, 'negative': 42, 'neutral': 5}, {'name': 'Bathroom', 'description': 'Bathroom and toiletries', 'total_mentioned': 80, 'positive': 32, 'negative': 39, 'neutral': 9}]"
Tampa Marriott Water Street,"Modern waterfront hotel with laid-back rooms, an outdoor pool & dining, plus meeting & event space.","{'latitude': 27.940718, 'longitude': -82.454534}",4,https://www.marriott.com/en-us/hotels/tpamc-tampa-marriott-water-street/overview/?scid=f2ae0541-1279-4f24-b197-a979c79310b0,"[{'stars': 5, 'count': 3770}, {'stars': 4, 'count': 1163}, {'stars': 3, 'count': 289}, {'stars': 2, 'count': 105}, {'stars': 1, 'count': 172}]",5499,"[{'name': 'Location', 'description': 'Location', 'total_mentioned': 713, 'positive': 642, 'negative': 27, 'neutral': 44}, {'name': 'Service', 'description': 'Service', 'total_mentioned': 1168, 'positive': 970, 'negative': 148, 'neutral': 50}, {'name': 'Bar', 'description': 'Bar or lounge', 'total_mentioned': 414, 'positive': 301, 'negative': 60, 'neutral': 53}, {'name': 'Room', 'description': 'Room amenities', 'total_mentioned': 480, 'positive': 346, 'negative': 92, 'neutral': 42}, {'name': 'Parking', 'description': 'Parking', 'total_mentioned': 255, 'positive': 77, 'negative': 135, 'neutral': 43}, {'name': 'Nature', 'description': 'Nature and outdoor activities', 'total_mentioned': 140, 'positive': 138, 'negative': 0, 'neutral': 2}]"
Tahitian Inn,"South Seas-themed quarters with free Wi-Fi, plus a spa & a heated outdoor pool with a tiki bar.","{'latitude': 27.939229899999997, 'longitude': -82.5064773}",3,http://www.tahitianinn.com/,"[{'stars': 5, 'count': 534}, {'stars': 4, 'count': 277}, {'stars': 3, 'count': 181}, {'stars': 2, 'count': 99}, {'stars': 1, 'count': 232}]",1323,"[{'name': 'Fitness', 'description': 'Fitness', 'total_mentioned': 207, 'positive': 132, 'negative': 55, 'neutral': 20}, {'name': 'Bar', 'description': 'Bar or lounge', 'total_mentioned': 181, 'positive': 125, 'negative': 38, 'neutral': 18}, {'name': 'Service', 'description': 'Service', 'total_mentioned': 334, 'positive': 218, 'negative': 93, 'neutral': 23}, {'name': 'Property', 'description': 'Property', 'total_mentioned': 478, 'positive': 239, 'negative': 187, 'neutral': 52}, {'name': 'Bathroom', 'description': 'Bathroom and toiletries', 'total_mentioned': 164, 'positive': 26, 'negative': 127, 'neutral': 11}, {'name': 'Dining', 'description': 'Food and Beverage', 'total_mentioned': 138, 'positive': 101, 'negative': 26, 'neutral': 11}]"
Chase Suite Hotel Tampa/Rocky Point,"Relaxed getaway offering contemporary studios & suites, plus a pool & happy hour with free drinks.","{'latitude': 27.9705394, 'longitude': -82.5618504}",3,https://www.chasehoteltampa.com/?utm_source=google&utm_medium=organic&utm_campaign=gbp_listing,"[{'stars': 5, 'count': 494}, {'stars': 4, 'count': 237}, {'stars': 3, 'count': 154}, {'stars': 2, 'count': 77}, {'stars': 1, 'count': 196}]",1158,"[{'name': 'Kitchen', 'description': 'Kitchen', 'total_mentioned': 129, 'positive': 61, 'negative': 54, 'neutral': 14}, {'name': 'Room', 'description': 'Room amenities', 'total_mentioned': 149, 'positive': 44, 'negative': 89, 'neutral': 16}, {'name': 'Service', 'description': 'Service', 'total_mentioned': 296, 'positive': 161, 'negative': 119, 'neutral': 16}, {'name': 'Location', 'description': 'Location', 'total_mentioned': 148, 'positive': 109, 'negative': 22, 'neutral': 17}, {'name': 'Breakfast', 'description': 'Breakfast', 'total_mentioned': 108, 'positive': 59, 'negative': 36, 'neutral': 13}, {'name': 'Property', 'description': 'Property', 'total_mentioned': 393, 'positive': 197, 'negative': 160, 'neutral': 36}]"
Grand Hyatt Tampa Bay,"Refined rooms with flat-screens, plus a nature preserve, 2 pools & an on-site Italian restaurant.","{'latitude': 27.965196199999998, 'longitude': -82.55008579999999}",4,https://www.hyatt.com/grand-hyatt/en-US/tparw-grand-hyatt-tampa-bay?src=corp_lclb_google_seo_tparw&%3Futm_source=google&utm_medium=organic&utm_campaign=lmr,"[{'stars': 5, 'count': 2596}, {'stars': 4, 'count': 670}, {'stars': 3, 'count': 168}, {'stars': 2, 'count': 76}, {'stars': 1, 'count': 126}]",3636,"[{'name': 'Nature', 'description': 'Nature and outdoor activities', 'total_mentioned': 204, 'positive': 177, 'negative': 14, 'neutral': 13}, {'name': 'Service', 'description': 'Service', 'total_mentioned': 873, 'positive': 732, 'negative': 102, 'neutral': 39}, {'name': 'Fitness', 'description': 'Fitness', 'total_mentioned': 222, 'positive': 137, 'negative': 59, 'neutral': 26}, {'name': 'Location', 'description': 'Location', 'total_mentioned': 343, 'positive': 266, 'negative': 45, 'neutral': 32}, {'name': 'Room', 'description': 'Room amenities', 'total_mentioned': 334, 'positive': 262, 'negative': 46, 'neutral': 26}, {'name': 'Property', 'description': 'Property', 'total_mentioned': 945, 'positive': 781, 'negative': 102, 'neutral': 62}]"
The Barrymore Hotel Tampa Riverwalk,"Classic rooms, an art gallery & an outdoor pool, plus a free local shuttle & a casual eatery/bar.","{'latitude': 27.952850299999998, 'longitude': -82.46382899999999}",3,https://www.barrymorehotel.com/,"[{'stars': 5, 'count': 882}, {'stars': 4, 'count': 514}, {'stars': 3, 'count': 286}, {'stars': 2, 'count': 119}, {'stars': 1, 'count': 148}]",1949,"[{'name': 'Location', 'description': 'Location', 'total_mentioned': 397, 'positive': 331, 'negative': 33, 'neutral': 33}, {'name': 'Service', 'description': 'Service', 'total_mentioned': 504, 'positive': 358, 'negative': 118, 'neutral': 28}, {'name': 'Bathroom', 'description': 'Bathroom and toiletries', 'total_mentioned': 191, 'positive': 39, 'negative': 126, 'neutral': 26}, {'name': 'Property', 'description': 'Property', 'total_mentioned': 562, 'positive': 343, 'negative': 170, 'neutral': 49}, {'name': 'Room', 'description': 'Room amenities', 'total_mentioned': 163, 'positive': 74, 'negative': 67, 'neutral': 22}, {'name': 'Cleanliness', 'description': 'Cleanliness', 'total_mentioned': 360, 'positive': 225, 'negative': 116, 'neutral': 19}]"
The Godfrey Hotel & Cabanas Tampa,"Breezy waterfront property with Wi-Fi, plus an outdoor pool, live music & al fresco dining.","{'latitude': 27.9663352, 'longitude': -82.5705871}",3,https://www.godfreyhoteltampa.com/?utm_source=local-directories&utm_medium=organic&utm_campaign=travelclick-localconnect,"[{'stars': 5, 'count': 1549}, {'stars': 4, 'count': 810}, {'stars': 3, 'count': 569}, {'stars': 2, 'count': 360}, {'stars': 1, 'count': 763}]",4051,"[{'name': 'Nature', 'description': 'Nature and outdoor activities', 'total_mentioned': 254, 'positive': 198, 'negative': 34, 'neutral': 22}, {'name': 'Room', 'description': 'Room amenities', 'total_mentioned': 737, 'positive': 312, 'negative': 350, 'neutral': 75}, {'name': 'Bathroom', 'description': 'Bathroom and toiletries', 'total_mentioned': 669, 'positive': 43, 'negative': 591, 'neutral': 35}, {'name': 'Service', 'description': 'Service', 'total_mentioned': 1167, 'positive': 552, 'negative': 510, 'neutral': 105}, {'name': 'Fitness', 'description': 'Fitness', 'total_mentioned': 445, 'positive': 221, 'negative': 177, 'neutral': 47}, {'name': 'Nightlife', 'description': 'Nightlife', 'total_mentioned': 222, 'positive': 79, 'negative': 101, 'neutral': 42}]"
JW Marriott Tampa Water Street,"Refined quarters in an upmarket hotel with a spa, a gym & a rooftop pool, plus restaurants & a bar.","{'latitude': 27.9407848, 'longitude': -82.4538954}",4,https://www.marriott.com/en-us/hotels/tpajd-jw-marriott-tampa-water-street/overview/?scid=f2ae0541-1279-4f24-b197-a979c79310b0,"[{'stars': 5, 'count': 873}, {'stars': 4, 'count': 117}, {'stars': 3, 'count': 28}, {'stars': 2, 'count': 14}, {'stars': 1, 'count': 53}]",1085,"[{'name': 'Wellness', 'description': 'Wellness', 'total_mentioned': 35, 'positive': 30, 'negative': 4, 'neutral': 1}, {'name': 'Bar', 'description': 'Bar or lounge', 'total_mentioned': 127, 'positive': 94, 'negative': 26, 'neutral': 7}, {'name': 'Spa', 'description': 'Spa', 'total_mentioned': 26, 'positive': 22, 'negative': 3, 'neutral': 1}, {'name': 'Service', 'description': 'Service', 'total_mentioned': 311, 'positive': 255, 'negative': 51, 'neutral': 5}, {'name': 'Location', 'description': 'Location', 'total_mentioned': 132, 'positive': 115, 'negative': 5, 'neutral': 12}, {'name': 'Fitness', 'description': 'Fitness', 'total_mentioned': 84, 'positive': 68, 'negative': 10, 'neutral': 6}]"
