Name,Description,Coordinates,Hotel Class,Link,Ratings,Reviews,Reviews Breakdown
Hidden Gem in SE Boise with hot tub and wood burning fireplace,N/A,"{'latitude': 43.568790435791016, 'longitude': -116.18079376220703}",N/A,N/A,N/A,2,N/A
Boise's Hidden Gem with hot tub and wood burning fireplace,N/A,"{'latitude': 43.56878662109375, 'longitude': -116.1807861328125}",N/A,https://BnbBoise.holidayfuture.com/listings/209463?googleVR=1,N/A,42,N/A
CUTE Remodeled Basement Studio Blocks To Dwntwn,N/A,"{'latitude': 43.627017974853516, 'longitude': -116.21465301513672}",N/A,https://www.myshorttermhome.com/north-end-cottage-basement-studio-orp5b4418ax,N/A,171,N/A
#HabitueHomes - Green Spot Studio,N/A,"{'latitude': 43.64377975463867, 'longitude': -116.22418212890625}",N/A,N/A,N/A,17,N/A
NorthEnd Cozy Modern Gem Near BSU,N/A,"{'latitude': 43.63939666748047, 'longitude': -116.21045684814453}",N/A,N/A,N/A,26,N/A
"Historic Boise Studio w/ Courtyard, Blocks to Dtwn",N/A,"{'latitude': 43.61221694946289, 'longitude': -116.19519805908203}",N/A,http://g.rentalsunited.com/gate.aspx?uid=554691&url=1&pid=3859773&lc=google,N/A,N/A,N/A
9 min to Downtown Boise! Walk to Sunset Park and Hiking Trails!,N/A,"{'latitude': 43.643306732177734, 'longitude': -116.22732543945312}",N/A,N/A,N/A,65,N/A
Modern Downstairs North End Bungalow in Hyde Park,N/A,"{'latitude': 43.63163757324219, 'longitude': -116.1977767944336}",N/A,https://BnbBoise.holidayfuture.com/listings/181968?googleVR=1,N/A,83,N/A
Red Ivy #5,N/A,"{'latitude': 43.62651443481445, 'longitude': -116.20622253417969}",N/A,https://vacayhome.com/property/35435,N/A,11,N/A
Historic Northend One Bedroom Home Near Foothills,N/A,"{'latitude': 43.625038146972656, 'longitude': -116.19302368164062}",N/A,N/A,N/A,13,N/A
The Industrial Suite - Pet Friendly Home with Garage by Boise Fairgrounds,N/A,"{'latitude': 43.644744873046875, 'longitude': -116.28756713867188}",N/A,https://google.bookeddirectly.com/g/boise/the-industrial-suite---pet-friendly-home-with-garage-by-boise-fairgrounds/a05228,N/A,N/A,N/A
5 min to BSU + 8 min to Downtown | Brand New Build! Modern Comforts + Happy Decor!,N/A,"{'latitude': 43.589111328125, 'longitude': -116.21151733398438}",N/A,N/A,N/A,N/A,N/A
SweetPea Tiny Home,N/A,"{'latitude': 43.596580505371094, 'longitude': -116.19954681396484}",N/A,N/A,N/A,72,N/A
Park View Townhouse,N/A,"{'latitude': 43.576988220214844, 'longitude': -116.21585845947266}",N/A,https://www.vacasa.com/unit/13837,N/A,89,N/A
Hotel No More! Home Base for Traveling WorkPro or Small Fam! 2 Master en Suites! Walk to Coffee!,N/A,"{'latitude': 43.61825180053711, 'longitude': -116.32441711425781}",N/A,N/A,N/A,N/A,N/A
Modern & Classy 4BR Boise Home w/ Jacuzzi tub,N/A,"{'latitude': 43.562381744384766, 'longitude': -116.30097198486328}",N/A,https://www.premiumrentals.com/modern-classy-4br-boise-home-w-jacuzzi-tub-orp5b6ac4ex,N/A,N/A,N/A
The Haven - Spacious Custom Home In Boise,N/A,"{'latitude': 43.58319854736328, 'longitude': -116.2926025390625}",N/A,https://www.redawning.com/rental-property/haven-spacious-custom-home-boise-boise,N/A,49,N/A
Red Ivy #4,N/A,"{'latitude': 43.62651443481445, 'longitude': -116.20623779296875}",N/A,https://vacayhome.com/property/35438,N/A,19,N/A
