Name,Description,Coordinates,Hotel Class,Link,Ratings,Reviews,Reviews Breakdown
Luxurious Fully Equipped 3BR Private Home in Eagle,N/A,"{'latitude': 43.698036193847656, 'longitude': -116.34513092041016}",N/A,https://www.booking.com/hotel/us/luxurious-fully-equipped-3br-private-home-in-eagle.en.html?aid=2068758;label=seogooglelocal-link-imagesaow-hotel-10274022_grp-2_gendate-20240917;utm_source=seogooglelocal;utm_medium=description;utm_term=hotel-10274022;utm_campaign=en,N/A,N/A,N/A
Roe Haus,N/A,"{'latitude': 43.67713928222656, 'longitude': -116.28842163085938}",N/A,N/A,N/A,4,N/A
Cozy Townhome in Downtown Eagle,N/A,"{'latitude': 43.69674301147461, 'longitude': -116.35783386230469}",N/A,N/A,N/A,107,N/A
Luxury Townhome in Downtown Eagle,N/A,"{'latitude': 43.698368072509766, 'longitude': -116.35787963867188}",N/A,https://www.us.despegar.com/hotels/h-6063318,N/A,N/A,N/A
*NEW* The Eagle Townhome - Newly Renovated - Pet Friendly - Walk Downtown,N/A,"{'latitude': 43.697349548339844, 'longitude': -116.35755157470703}",N/A,https://www.bluepillow.com/search?p_id=589dfd347c00cb10c8dacba5&dest=bpex&cat=House&accomodationids=65cb801b3e6d928972f6808c,N/A,N/A,N/A
"Gorgeous, Updated 3 Bed Downtown Eagle Home",N/A,"{'latitude': 43.69866180419922, 'longitude': -116.3420639038086}",N/A,N/A,N/A,4,N/A
Beautiful home in downtown Eagle.  Best location in Eagle!,N/A,"{'latitude': 43.69251251220703, 'longitude': -116.3572006225586}",N/A,N/A,N/A,79,N/A
Clean and Close To Boise & Meridian  Downtown Eagle,N/A,"{'latitude': 43.69681930541992, 'longitude': -116.35689544677734}",N/A,N/A,N/A,101,N/A
Comfy and Charming Eagle Townhome,N/A,"{'latitude': 43.7005615234375, 'longitude': -116.35694885253906}",N/A,N/A,N/A,230,N/A
Clean and Close To Boise  Meridian  Downtown Eagle,N/A,"{'latitude': 43.69681167602539, 'longitude': -116.35688781738281}",N/A,https://www.bluepillow.com/search?p_id=589dfd347c00cb10c8dacba5&dest=bpex&cat=House&accomodationids=62338c584c4d8d9b9b78d4ef,N/A,N/A,N/A
NEW REMODEL in the Heart of Eagle near BOISE,N/A,"{'latitude': 43.697818756103516, 'longitude': -116.35697937011719}",N/A,N/A,N/A,48,N/A
Spacious Downtown Eagle Retreat Perfect for Groups,N/A,"{'latitude': 43.69748306274414, 'longitude': -116.37127685546875}",N/A,https://www.seeyahbye.com/downtown-eagle-gateway-highway-55-sleeps-22-sports-teams-orp5b672c7x,N/A,5,N/A
"Updated Townhome, walk to shops, patio w\/ grill, Relocation Specialists",N/A,"{'latitude': 43.69838333129883, 'longitude': -116.35704803466797}",N/A,https://deals.vio.com?sig=73aca13c7f952d2641c156f3e69125e1eb497c325f122828ee5aa8797168b9a12d32303331333438363233&turl=https%3A%2F%2Fwww.vio.com%2FHotel%2FSearch%3FhotelId%3D76803614%26utm_source%3Dgha-vr%26utm_campaign%3Dstatic%26openHotelDetails%3D1,N/A,N/A,N/A
"Private Cottage - 1 BD, 1BA + Kitchen + TV Room - Eagle, ID",N/A,"{'latitude': 43.70452880859375, 'longitude': -116.35121154785156}",N/A,https://www.us.despegar.com/hotels/h-6034619,N/A,N/A,N/A
Private Oasis On 2 Acres w/ Indoor Pool & Theater!,N/A,"{'latitude': 43.71383285522461, 'longitude': -116.39451599121094}",N/A,https://abundantlife.holidayfuture.com/listings/207815?googleVR=1,N/A,25,N/A
Peaceful Hideaway In Wonderful Neighborhood,N/A,"{'latitude': 43.68619918823242, 'longitude': -116.29070281982422}",N/A,https://www.super.com/travel/hotels/j9gDYkRW?utm_source=gha_vr&utm_campaign=static,N/A,N/A,N/A
Ranch Home Nest In Eagle W/Fully Fenced Yard,N/A,"{'latitude': 43.69390869140625, 'longitude': -116.36160278320312}",N/A,https://www.bluepillow.com/search?p_id=589dfd347c00cb10c8dacba5&dest=bpex&cat=House&accomodationids=65cb29d63e6d928972f36153,N/A,N/A,N/A
NEW Corner Unit Townhome in Downtown Eagle - Quiet/Centralized - Walk everywhere,N/A,"{'latitude': 43.69242858886719, 'longitude': -116.34976959228516}",N/A,https://www.vrbo.com/4186014?MDPCID=VRBO-META.HPA.WEB-ORGANIC.VR,N/A,N/A,N/A
