Name,Description,Coordinates,Hotel Class,Link,Ratings,Reviews,Reviews Breakdown
CUTE Remodeled Midcentury Cottage on Boise Bench,N/A,"{'latitude': 43.62078094482422, 'longitude': -116.2514419555664}",N/A,https://www.myshorttermhome.com/mid-century-cottage-21-orp5b56010x,N/A,63,N/A
Art Garden Cottage,N/A,"{'latitude': 43.635135650634766, 'longitude': -116.24848937988281}",N/A,https://www.vacasa.com/unit/116676,N/A,3,N/A
Urban Cowgirl on Boise Greenbelt,N/A,"{'latitude': 43.643978118896484, 'longitude': -116.25692749023438}",N/A,N/A,N/A,1,N/A
The Industrial Suite - Pet Friendly Home with Garage by Boise Fairgrounds,N/A,"{'latitude': 43.644744873046875, 'longitude': -116.28756713867188}",N/A,https://google.bookeddirectly.com/g/boise/the-industrial-suite---pet-friendly-home-with-garage-by-boise-fairgrounds/a05228,N/A,N/A,N/A
Roe Haus,N/A,"{'latitude': 43.67713928222656, 'longitude': -116.28842163085938}",N/A,N/A,N/A,4,N/A
The Farmhouse Suite - A Large Pet Friendly Home with Garage near Fairgrounds,N/A,"{'latitude': 43.64460372924805, 'longitude': -116.28748321533203}",N/A,https://google.bookeddirectly.com/g/boise/the-farmhouse-suite---a-large-pet-friendly-home-with-garage-near-fairgrounds/119405,N/A,3,N/A
3BD/1BA Getaway! - 5 mins from Quinn's Pond & DWTN,N/A,"{'latitude': 43.62820053100586, 'longitude': -116.2249984741211}",N/A,https://ionequities.holidayfuture.com/listings/111961?googleVR=1,N/A,23,N/A
LAUREL HOUSE  Peaceful Boise Neighborhood Near St. Al's,N/A,"{'latitude': 43.620784759521484, 'longitude': -116.24752807617188}",N/A,https://www.frostcabins.com/listings/161983?googleVR=1,N/A,115,N/A
"Blackfoot, Idaho, United States",N/A,"{'latitude': 43.677032470703125, 'longitude': -116.29924774169922}",N/A,https://www.booking.com/hotel/us/blackfoot-idaho-united-states.en.html?aid=2068758;label=seogooglelocal-link-imagesaow-hotel-11475778_grp-2_gendate-20240917;utm_source=seogooglelocal;utm_medium=description;utm_term=hotel-11475778;utm_campaign=en,N/A,N/A,N/A
Beautiful New Villas,N/A,"{'latitude': 43.657779693603516, 'longitude': -116.28524017333984}",N/A,https://platform.hostfully.com/vacation-rental-property-v2/79495/beautiful-new-villas,N/A,N/A,N/A
Charming riverfront studio cottage with patio - steps to Boise River Greenbelt,N/A,"{'latitude': 43.64796829223633, 'longitude': -116.26316833496094}",N/A,https://www.bluepillow.com/search?p_id=589dfda97c00cb10c8dad102&dest=bpex&cat=Apartment&accomodationids=65cb7fef3e6d928972f66d08,N/A,1,N/A
Lakeharbor,N/A,"{'latitude': 43.6505012512207, 'longitude': -116.25180053710938}",N/A,https://www.super.com/travel/hotels/GabNz8DW?utm_source=gha_vr&utm_campaign=static,N/A,N/A,N/A
2B/2B Desert Oasis Hideaway minutes to downtown Boise and Boise River Greenbelt,N/A,"{'latitude': 43.635955810546875, 'longitude': -116.25419616699219}",N/A,https://www.us.despegar.com/hotels/h-5021749,N/A,N/A,N/A
Downtown Boise Sunset Ave Romantic Private Suite,N/A,"{'latitude': 43.643009185791016, 'longitude': -116.23136901855469}",N/A,https://www.seeyahbye.com/little-sunset-sanctuary-orp5b65ee5x,N/A,15,N/A
Lake Front Studio with Kayaks Bikes near Greenbelt,N/A,"{'latitude': 43.664737701416016, 'longitude': -116.27458953857422}",N/A,https://www.booking.com/hotel/us/lake-front-studio-with-kayaks-bikes-near-greenbelt.en.html?aid=2068758;label=seogooglelocal-link-imagesaow-hotel-9331451_grp-3_gendate-20240917;utm_source=seogooglelocal;utm_medium=description;utm_term=hotel-9331451;utm_campaign=en,N/A,17,N/A
Modern Cozy 1 Bedroom Apt in Central Boise,N/A,"{'latitude': 43.63410949707031, 'longitude': -116.26492309570312}",N/A,N/A,N/A,7,N/A
"Cozy Corner House by the Boise Greenbelt, Fairgrounds, Revolution Concert House.",N/A,"{'latitude': 43.659786224365234, 'longitude': -116.28400421142578}",N/A,https://www.vrbo.com/4021266?MDPCID=VRBO-META.HPA.WEB-ORGANIC.VR,N/A,1,N/A
The *Minimalists Escape*  near Greenbelt & Winery,N/A,"{'latitude': 43.636844635009766, 'longitude': -116.25145721435547}",N/A,https://cozybnb.hospitable.rentals/property/the-minimalists-escape-near-greenbelt-winery,N/A,64,N/A
