Name,Description,Coordinates,Hotel Class,Link,Ratings,Reviews,Reviews Breakdown
Meridian Townhome w/ Patio & Yard: Near Downtown!,N/A,"{'latitude': 43.611454010009766, 'longitude': -116.39623260498047}",N/A,http://g.rentalsunited.com/gate.aspx?uid=554691&url=1&pid=3862048&lc=google,N/A,4,N/A
Meridian Cozy Casita,N/A,"{'latitude': 43.60578155517578, 'longitude': -116.39071655273438}",N/A,https://Hostit.holidayfuture.com/listings/212360?googleVR=1,N/A,19,N/A
Pet Friendly ~ Modern Home W/Parks Freeway & Shops,N/A,"{'latitude': 43.60266876220703, 'longitude': -116.44102478027344}",N/A,https://www.serenitystaysidaho.com/pet-friendly-modern-home-wparks-freeway-shops-orp5b63b00x,N/A,2,N/A
Hotel No More! Home Base for Traveling WorkPro or Small Fam! 2 Master en Suites! Walk to Coffee!,N/A,"{'latitude': 43.61825180053711, 'longitude': -116.32441711425781}",N/A,N/A,N/A,N/A,N/A
The Brick Bungalow | Private 4 Bedroom Home,N/A,"{'latitude': 43.66394805908203, 'longitude': -116.45606231689453}",N/A,https://www.premiumrentals.com/the-brick-bungalow-private-4-bedroom-home-orp5b65261x,N/A,7,N/A
Quail Run,N/A,"{'latitude': 43.64817428588867, 'longitude': -116.46721649169922}",N/A,https://www.vacasa.com/unit/94419,N/A,43,N/A
4 Bedroom Home with Full Office Space and Hot tub!,N/A,"{'latitude': 43.6514892578125, 'longitude': -116.45830535888672}",N/A,https://www.premiumrentals.com/4-bedroom-home-with-full-office-space-and-hot-tub-orp5b63265x,N/A,29,N/A
"Near St Lukes, Sleep Number Bed, Perfect Location",N/A,"{'latitude': 43.566184997558594, 'longitude': -116.37196350097656}",N/A,"https://book.getawayproperties.co/property-details/70e37d39-a95d-43f7-af1f-9406423a0269/Massage%20Chair,%20Sleep%20Number%20Bed,%20Best%20Location",N/A,7,N/A
The White Custom Farmhouse 5 bedroom Home,N/A,"{'latitude': 43.659549713134766, 'longitude': -116.42555236816406}",N/A,https://www.premiumrentals.com/the-white-custom-farmhouse-5-bedroom-home-orp5b4d196x,N/A,53,N/A
Amazing Meridian 3 Bedroom Custom Home in Central Meridian,N/A,"{'latitude': 43.62324142456055, 'longitude': -116.36898040771484}",N/A,N/A,N/A,N/A,N/A
Family home in desirable neighborhood with pool access,N/A,"{'latitude': 43.63990783691406, 'longitude': -116.42467498779297}",N/A,https://www.premiumrentals.com/family-home-in-desirable-neighborhood-with-pool-access-orp5b5ae36x,N/A,65,N/A
Tuscany Retreat Large - Upscale - Best Location,N/A,"{'latitude': 43.568138122558594, 'longitude': -116.36373901367188}",N/A,N/A,N/A,N/A,N/A
Meridian BnB ID - Pristine 4BR 2BA Spacious Home In The Heart Of Meridian Near Boise,N/A,"{'latitude': 43.631370544433594, 'longitude': -116.4308090209961}",N/A,N/A,N/A,1,N/A
Spacious 5-Bedroom Retreat with Pool Access,N/A,"{'latitude': 43.65925216674805, 'longitude': -116.42716217041016}",N/A,https://www.premiumrentals.com/spacious-5bedroom-retreat-with-pool-access-orp5b622eax,N/A,4,N/A
"Meridian Marvel: Pet Friendly, Pickleball Court, Seasonal Pool!",N/A,"{'latitude': 43.61441421508789, 'longitude': -116.36946868896484}",N/A,https://www.shortandsweetstaysllc.com/meridian-marvel-orp5b64634x,N/A,1,N/A
King Cottage in downtown Meridian,N/A,"{'latitude': 43.605960845947266, 'longitude': -116.3898696899414}",N/A,N/A,N/A,74,N/A
Gorgeous Meridian Home W/Community Pool,N/A,"{'latitude': 43.64459991455078, 'longitude': -116.41010284423828}",N/A,https://www.super.com/travel/hotels/G8OdyX9j?utm_source=gha_vr&utm_campaign=static,N/A,N/A,N/A
Landing at Cortland at Ten Mile - 1 Bedroom in Downtown Meridian,N/A,"{'latitude': 43.607643127441406, 'longitude': -116.44136047363281}",N/A,https://landing.holidayfuture.com/listings/224199?googleVR=1,N/A,N/A,N/A
